Slovo;Pád;Slovo2;Pád2
,;;;
ktorý;nominatív;;nominatív
cestuje;;;
za;;;
svojím;inštrumentál;;inštrumentál
obchodom;inštrumentál;;inštrumentál
alebo;;;
za;;;
svojou;inštrumentál;;inštrumentál
dovolenkou;inštrumentál;;inštrumentál
.;;;
Ľubomír;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
Pojem;nominatív;;nominatív
slavico;;;
-;;;
bohemicus;;;
zo;;;
začiatku;genitív;;genitív
XVIII;;;
.;;;
storočia;genitív;;genitív
je;;;
začiatok;nominatív;;nominatív
pojmu;genitív;;genitív
česko;;;
(;;;
-;;;
);;;
slovenský;nominatív;;nominatív
.;;;
Krman;nominatív;;nominatív
si;;;
bol;;;
vedomý;nominatív;;nominatív
,;;;
že;;;
meno;akuzatív;;akuzatív
Slovákov;genitív;;genitív
treba;;;
aj;;;
v;;;
latinčine;lokál;;lokál
odlišovať;;;
od;;;
všeobecného;genitív;;genitív
názvu;genitív;;genitív
slavi;genitív;;
a;;;
vytvoril;;;
nové;akuzatív;;akuzatív
slovo;akuzatív;;akuzatív
slovacii;genitív;;
.;;;
Druhá;nominatív;;nominatív
Doležalova;nominatív;;nominatív
inovácia;nominatív;;nominatív
je;;;
v;;;
gramatickom;lokál;;lokál
popise;lokál;;lokál
tohto;genitív;;genitív
jazyka;genitív;;genitív
.;;;
Obsiahly;akuzatív;;akuzatív
vlastivedný;akuzatív;;akuzatív
úvod;akuzatív;;akuzatív
(;;;
Praefatio;;;
);;;
k;;;
Doležalovej;datív;;datív
gramatike;datív;;datív
napísal;;;
o;;;
generáciu;akuzatív;;akuzatív
starší;nominatív;;nominatív
Matej;nominatív;;nominatív
Bel;nominatív;;nominatív
.;;;
V;;;
každom;lokál;;lokál
prípade;lokál;;lokál
aj;;;
text;nominatív;;nominatív
jeho;genitív;;genitív
úvodu;genitív;;genitív
dal;;;
Doležalovej;datív;;datív
gramatike;datív;;datív
punc;akuzatív;;akuzatív
najautoritatívnejšieho;genitív;;genitív
zdroja;genitív;;genitív
poznania;genitív;;genitív
vtedajšieho;genitív;;genitív
spisovného;genitív;;genitív
jazyka;genitív;;genitív
Čechov;genitív;;genitív
i;;;
Slovákov;genitív;;genitív
.;;;
Táto;nominatív;;nominatív
kralická;nominatív;;nominatív
norma;nominatív;;nominatív
je;;;
dodnes;;;
základom;inštrumentál;;inštrumentál
spisovnej;genitív;;genitív
češtiny;genitív;;genitív
.;;;
Štúrovský;nominatív;;nominatív
nový;nominatív;;nominatív
slovenský;nominatív;;nominatív
spisovný;nominatív;;nominatív
jazyk;nominatív;;nominatív
má;;;
niekoľko;akuzatív;;akuzatív
vrstiev;genitív;;genitív
.;;;
Radikálnou;inštrumentál;;inštrumentál
inováciou;inštrumentál;;inštrumentál
je;;;
hláskoslovie;nominatív;;nominatív
a;;;
tvaroslovie;nominatív;;nominatív
.;;;
Ľubomír;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
Profesor;nominatív;;nominatív
Eugen;nominatív;;nominatív
Jóna;nominatív;;nominatív
,;;;
ktorý;nominatív;;nominatív
sa;;;
dejinami;inštrumentál;;inštrumentál
spisovnej;genitív;;genitív
slovenčiny;genitív;;genitív
dlhé;akuzatív;;akuzatív
roky;akuzatív;;akuzatív
zaoberal;;;
,;;;
si;;;
uvedomil;;;
potrebu;akuzatív;;akuzatív
dať;;;
do;;;
rúk;genitív;;genitív
slovenskej;genitív;;genitív
i;;;
medzinárodnej;genitív;;genitív
vedeckej;genitív;;genitív
verejnosti;genitív;;genitív
dostatočne;;;
prístupný;akuzatív;;akuzatív
skutočný;akuzatív;;akuzatív
text;akuzatív;;akuzatív
tohto;genitív;;genitív
základného;genitív;;genitív
diela;genitív;;genitív
.;;;
Ľubomír;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
Ľubomír;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
profesor;nominatív;;nominatív
slovanských;genitív;;genitív
jazykov;genitív;;genitív
Česko;;;
-;;;
slovenské;nominatív;;nominatív
kultúrne;nominatív;;nominatív
kontinuum;nominatív;;nominatív
Ku;;;
konfliktom;datív;;datív
a;;;
nedorozumeniam;datív;;datív
výrazne;;;
prispelo;;;
aj;;;
to;nominatív;;nominatív
,;;;
že;;;
sa;;;
maďarské;nominatív;;nominatív
„;;;
nemzet;nominatív;;
“;;;
dá;;;
používať;;;
v;;;
oboch;lokál;;lokál
týchto;lokál;;lokál
významoch;lokál;;lokál
.;;;
To;nominatív;;nominatív
malo;;;
obrovský;akuzatív;;akuzatív
národnozáchovný;akuzatív;;akuzatív
význam;akuzatív;;akuzatív
v;;;
druhej;lokál;;lokál
polovici;lokál;;lokál
XIX;;;
.;;;
storočia;genitív;;genitív
,;;;
keď;;;
maďarizácia;nominatív;;nominatív
reálne;;;
ohrozovala;;;
samotnú;akuzatív;;akuzatív
existenciu;akuzatív;;akuzatív
slovenského;genitív;;genitív
národa;genitív;;genitív
.;;;
Ľubomír;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
Mal;;;
som;;;
veľké;akuzatív;;akuzatív
potešenie;akuzatív;;akuzatív
z;;;
knižky;genitív;;genitív
Antona;genitív;;genitív
Dinku;genitív;;genitív
Skalica;nominatív;;nominatív
–;;;
moja;nominatív;;nominatív
láska;nominatív;;nominatív
,;;;
osud;nominatív;;nominatív
a;;;
poťešeňí;nominatív;;
.;;;
Jeho;nominatív;;nominatív
obaja;nominatív;;nominatív
starší;nominatív;;nominatív
bratia;nominatív;;nominatív
išli;;;
do;;;
škôl;genitív;;genitív
a;;;
Ferda;nominatív;;nominatív
mal;;;
prevziať;;;
obchod;akuzatív;;akuzatív
.;;;
Intenzívne;;;
sa;;;
pamätám;;;
na;;;
prístavbu;akuzatív;;akuzatív
javiska;genitív;;genitív
k;;;
cirkevnej;datív;;datív
sieni;datív;;datív
na;;;
evanjelickej;lokál;;lokál
fare;lokál;;lokál
.;;;
Potom;;;
prišiel;;;
koniec;nominatív;;nominatív
vojny;genitív;;genitív
,;;;
bolo;;;
obnovené;nominatív;;nominatív
Československo;nominatív;;nominatív
,;;;
začali;;;
sa;;;
celkom;;;
iné;nominatív;;nominatív
pomery;nominatív;;nominatív
.;;;
Činnosť;nominatív;;akuzatív
nášho;genitív;;genitív
združenia;genitív;;genitív
zatisli;;;
do;;;
pozadia;genitív;;genitív
iné;nominatív;;nominatív
potreby;nominatív;;nominatív
.;;;
To;nominatív;;nominatív
sa;;;
menuje;;;
iniciatívnosť;nominatív;;nominatív
a;;;
innovatívnosť;nominatív;;nominatív
.;;;
Ľubomír;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
ODCHODY;nominatív;;nominatív
A;;;
návraty;nominatív;;nominatív
ĽUBOMÍRA;genitív;;genitív
Ďuroviča;genitív;;genitív
(;;;
I;;;
.;;;
);;;
„;;;
Nebyť;;;
toho;genitív;;genitív
,;;;
Slovensko;nominatív;;nominatív
by;;;
dnes;;;
neexistovalo;;;
,;;;
“;;;
hovorí;;;
Ľubomír;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
.;;;
To;nominatív;;nominatív
je;;;
MOŽNO;;;
tá;nominatív;;nominatív
pozitívna;nominatív;;nominatív
stránka;nominatív;;nominatív
ROZDELENIA;genitív;;genitív
REPUBLIKY;genitív;;genitív
.;;;
Negatívnych;genitív;;genitív
stránok;genitív;;genitív
je;;;
množstvo;nominatív;;nominatív
.;;;
Nakoniec;;;
,;;;
takisto;;;
môže;;;
aj;;;
Čech;nominatív;;nominatív
čítať;;;
slovenské;akuzatív;;akuzatív
,;;;
keby;;;
chcel;;;
,;;;
oni;nominatív;;nominatív
však;;;
tú;akuzatív;;akuzatív
potrebu;akuzatív;;akuzatív
V;;;
ROVNAKEJ;lokál;;lokál
MIERE;lokál;;lokál
nemajú;;;
.;;;
“;;;
„;;;
Konkrétne;nominatív;;
je;;;
to;nominatív;;nominatív
obdobie;nominatív;;nominatív
od;;;
roku;genitív;;genitív
1963;;;
do;;;
roku;genitív;;genitív
1968;;;
.;;;
Vtedy;;;
sa;;;
naraz;;;
ukázalo;;;
,;;;
že;;;
komunistická;nominatív;;nominatív
strana;nominatív;;nominatív
s;;;
jej;inštrumentál;;inštrumentál
zločineckými;inštrumentál;;inštrumentál
spôsobmi;inštrumentál;;inštrumentál
skrachovala;;;
.;;;
Vtedy;;;
vyšla;;;
moja;nominatív;;nominatív
KNIHA;nominatív;;nominatív
Paradigmatika;nominatív;;nominatív
spisovnej;genitív;;genitív
ruštiny;genitív;;genitív
,;;;
ktorá;nominatív;;nominatív
sa;;;
stala;;;
celoštátnou;inštrumentál;;inštrumentál
univerzitnou;inštrumentál;;inštrumentál
učebnicou;inštrumentál;;inštrumentál
ruskej;genitív;;genitív
TEORETICKEJ;genitív;;genitív
morfológie;genitív;;genitív
.;;;
Uvedomovali;;;
sme;;;
si;;;
,;;;
že;;;
„;;;
sa;;;
môže;;;
“;;;
.;;;
Dovtedy;;;
to;nominatív;;nominatív
však;;;
bolo;;;
obdobie;nominatív;;nominatív
veľkej;genitív;;genitív
nádeje;genitív;;genitív
.;;;
Ja;nominatív;;nominatív
ich;akuzatív;;akuzatív
poznám;;;
.;;;
A;;;
mal;;;
pravdu;akuzatív;;akuzatív
.;;;
Sklamanie;nominatív;;nominatív
po;;;
vojne;lokál;;lokál
Ľubomír;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
do;;;
komunistickej;genitív;;genitív
strany;genitív;;genitív
nevstúpil;;;
.;;;
Piateho;genitív;;genitív
mája;genitív;;genitív
sa;;;
začalo;;;
Pražské;nominatív;;nominatív
povstanie;nominatív;;nominatív
a;;;
z;;;
rádia;genitív;;genitív
sa;;;
ozývala;;;
výzva;nominatív;;nominatív
o;;;
pomoc;akuzatív;;akuzatív
.;;;
To;nominatív;;nominatív
bola;;;
tá;nominatív;;nominatív
zločinecká;nominatív;;nominatív
časť;nominatív;;nominatív
komunistickej;genitív;;genitív
strany;genitív;;genitív
.;;;
„;;;
Môj;nominatív;;nominatív
otec;nominatív;;nominatív
bol;;;
selfmademan;nominatív;;nominatív
.;;;
Nedávno;;;
som;;;
odovzdal;;;
do;;;
skalického;genitív;;genitív
Záhorského;genitív;;genitív
múzea;genitív;;genitív
otcove;akuzatív;;akuzatív
denníky;akuzatív;;akuzatív
.;;;
Je;;;
to;nominatív;;nominatív
cenná;nominatív;;nominatív
a;;;
zaujímavá;nominatív;;nominatív
pamiatka;nominatív;;nominatív
o;;;
20;;;
.;;;
storočí;lokál;;lokál
.;;;
Polovicu;akuzatív;;akuzatív
zo;;;
všetkého;genitív;;genitív
,;;;
čo;nominatív;;nominatív
vo;;;
mne;lokál;;datív
je;;;
,;;;
mám;;;
z;;;
domu;genitív;;genitív
,;;;
z;;;
toho;genitív;;genitív
,;;;
čo;nominatív;;nominatív
sa;;;
doma;;;
povedalo;;;
,;;;
napríklad;;;
pri;;;
stole;lokál;;lokál
.;;;
Otec;nominatív;;nominatív
veľa;;;
rozprával;;;
o;;;
svojom;lokál;;lokál
literárnovednom;lokál;;lokál
výskume;lokál;;lokál
,;;;
ale;;;
nevyhýbali;;;
sme;;;
sa;;;
,;;;
samozrejme;;;
,;;;
ani;;;
súčasným;datív;;datív
problémom;datív;;datív
.;;;
Vtedy;;;
mi;datív;;datív
utkveli;;;
v;;;
pamäti;lokál;;lokál
dátumy;nominatív;;nominatív
,;;;
mená;nominatív;;nominatív
i;;;
dôležité;nominatív;;nominatív
udalosti;nominatív;;nominatív
z;;;
minulosti;genitív;;genitív
,;;;
medzi;;;
ktoré;akuzatív;;akuzatív
bolo;;;
neskôr;;;
ľahšie;;;
dokladať;;;
nové;akuzatív;;akuzatív
dátumy;akuzatív;;akuzatív
,;;;
mená;akuzatív;;akuzatív
i;;;
vzťahy;akuzatív;;akuzatív
.;;;
Mama;nominatív;;nominatív
pochádzala;;;
z;;;
rodiny;genitív;;genitív
s;;;
generáciami;inštrumentál;;inštrumentál
evanjelických;genitív;;genitív
farárov;genitív;;genitív
.;;;
Vzdelanecké;nominatív;;nominatív
pozadie;nominatív;;nominatív
rodiny;genitív;;genitív
malo;;;
pre;;;
moju;akuzatív;;akuzatív
budúcnosť;akuzatív;;akuzatív
VEĽMI;;;
DÔLEŽITÚ;akuzatív;;akuzatív
úlohu;akuzatív;;akuzatív
.;;;
“;;;
Rešpektovali;;;
ste;;;
otca;akuzatív;;akuzatív
bezvýhradne;;;
?;;;
„;;;
Viera;nominatív;;nominatív
môže;;;
dávať;;;
človeku;datív;;datív
životnú;akuzatív;;akuzatív
istotu;akuzatív;;akuzatív
“;;;
,;;;
mieni;;;
profesor;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
.;;;
Faktom;inštrumentál;;inštrumentál
je;;;
,;;;
že;;;
náboženský;nominatív;;nominatív
fundamentalizmus;nominatív;;nominatív
prežíva;;;
svoju;akuzatív;;akuzatív
regeneráciu;akuzatív;;akuzatív
.;;;
“;;;
Bavilo;;;
ma;akuzatív;;akuzatív
písať;;;
kompozície;nominatív;;akuzatív
a;;;
na;;;
vynikajúcom;lokál;;lokál
skalickom;lokál;;lokál
gymnáziu;lokál;;lokál
boli;;;
veľmi;;;
dobré;nominatív;;nominatív
podmienky;nominatív;;nominatív
pre;;;
kultúru;akuzatív;;akuzatív
.;;;
Nevyhýbali;;;
sme;;;
sa;;;
ani;;;
politike;datív;;datív
.;;;
Môj;nominatív;;nominatív
otec;nominatív;;nominatív
po;;;
jeho;lokál;;lokál
rozpade;lokál;;lokál
niekoľko;akuzatív;;akuzatív
týždňov;genitív;;genitív
nespal;;;
.;;;
.;;;
.;;;
.;;;
.;;;
.;;;
MÔJ;nominatív;;nominatív
PRIMÁRNY;nominatív;;nominatív
ZÁUJEM;nominatív;;nominatív
BOLI;;;
HUMANIÓRA;nominatív;;nominatív
.;;;
Umožniť;;;
jazykovedcovi;datív;;datív
rozhovoriť;;;
sa;;;
o;;;
systéme;lokál;;lokál
v;;;
jazyku;lokál;;lokál
,;;;
prináša;;;
zdanlivo;;;
nebezpečenstvo;akuzatív;;akuzatív
,;;;
že;;;
sa;;;
vstúpi;;;
do;;;
nezaujímavého;genitív;;genitív
a;;;
nudného;genitív;;genitív
sveta;genitív;;genitív
.;;;
„;;;
Ypsilon;nominatív;;nominatív
ako;;;
hláska;nominatív;;nominatív
nie;;;
je;;;
funkčný;nominatív;;nominatív
a;;;
v;;;
slovenskom;lokál;;lokál
jazyku;lokál;;lokál
takej;genitív;;genitív
hlásky;genitív;;genitív
niet;;;
.;;;
Ale;;;
takto;;;
sa;;;
hovorí;;;
v;;;
Mikuláši;lokál;;lokál
!;;;
Ukazuje;;;
sa;;;
teda;;;
,;;;
že;;;
tým;inštrumentál;;inštrumentál
stredoslovenským;inštrumentál;;inštrumentál
nárečím;inštrumentál;;inštrumentál
,;;;
ktorÉ;akuzatív;;akuzatív
Štúrovci;nominatív;;nominatív
povýšili;;;
na;;;
spisovný;akuzatív;;akuzatív
JAZYK;akuzatív;;akuzatív
,;;;
bol;;;
prestížny;nominatív;;nominatív
liptovský;nominatív;;nominatív
mestský;nominatív;;nominatív
jazyk;nominatív;;nominatív
.;;;
Presvedčil;;;
Záborského;akuzatív;;akuzatív
,;;;
že;;;
správna;nominatív;;nominatív
slovenská;nominatív;;nominatív
výslovnosť;nominatív;;nominatív
je;;;
„;;;
ľist;nominatív;;
“;;;
.;;;
V;;;
lete;lokál;;lokál
1948;;;
v;;;
Prahe;lokál;;lokál
zažiadal;;;
o;;;
zahraničné;akuzatív;;akuzatív
štipendium;akuzatív;;akuzatív
.;;;
VEĽMI;;;
KOMPLIKOVANOU;inštrumentál;;inštrumentál
ZHODOU;inštrumentál;;inštrumentál
OKOLNOSTÍ;genitív;;genitív
HO;akuzatív;;akuzatív
PO;;;
ROKU;lokál;;lokál
dostal;;;
a;;;
odišiel;;;
;;;
ROK;akuzatív;;akuzatív
do;;;
Nórska;genitív;;genitív
.;;;
Keď;;;
sa;;;
začal;;;
semester;nominatív;;nominatív
,;;;
pustil;;;
som;;;
sa;;;
pod;;;
vedením;inštrumentál;;inštrumentál
profesora;genitív;;genitív
SommerfelTa;genitív;;genitív
do;;;
čítania;genitív;;genitív
textov;genitív;;genitív
.;;;
Rozprávanie;akuzatív;;nominatív
Ľubomíra;genitív;;genitív
Ďuroviča;genitív;;genitív
PRIPRAVILA;;;
Kveta;nominatív;;nominatív
Škvarková;nominatív;;nominatív
.;;;
Protiprávna;nominatív;;nominatív
vojna;nominatív;;nominatív
v;;;
Iraku;lokál;;lokál
,;;;
ktorú;akuzatív;;akuzatív
rozpútala;;;
nesvätá;nominatív;;nominatív
aliancia;nominatív;;nominatív
náboženských;genitív;;genitív
fundamentalistov;genitív;;genitív
,;;;
megalománov;genitív;;genitív
a;;;
kšeftárov;genitív;;genitív
,;;;
je;;;
cynickým;inštrumentál;;inštrumentál
výsmechom;inštrumentál;;inštrumentál
všetkých;genitív;;genitív
hodnôt;genitív;;genitív
,;;;
ktoré;nominatív;;akuzatív
naša;nominatív;;nominatív
západná;nominatív;;nominatív
civilizácia;nominatív;;nominatív
pokladá;;;
za;;;
nedotknuteľné;akuzatív;;akuzatív
.;;;
Po;;;
ukončení;lokál;;lokál
tejto;genitív;;genitív
vojny;genitív;;genitív
nádejou;inštrumentál;;inštrumentál
sveta;genitív;;genitív
je;;;
zmena;nominatív;;nominatív
.;;;
Koruna;nominatív;;nominatív
Sv;;;
.;;;
Štefana;genitív;;genitív
a;;;
ostrihomský;nominatív;;nominatív
Primas;;;
Hungariae;;;
sa;;;
stali;;;
symbolom;inštrumentál;;inštrumentál
Uhorského;genitív;;genitív
štátu;genitív;;genitív
.;;;
Boja;genitív;;genitív
,;;;
ktorého;genitív;;genitív
medze;genitív;;akuzatív
určovala;;;
Zlatá;nominatív;;nominatív
bulla;nominatív;;nominatív
.;;;
Náš;nominatív;;nominatív
dnešný;nominatív;;nominatív
spisovný;nominatív;;nominatív
jazyk;nominatív;;nominatív
je;;;
skutočným;inštrumentál;;inštrumentál
kompromisom;inštrumentál;;inštrumentál
medzi;;;
radikálnou;inštrumentál;;inštrumentál
normou;inštrumentál;;inštrumentál
štúrovcov;genitív;;genitív
a;;;
požiadavkami;inštrumentál;;inštrumentál
bernolákovcov;genitív;;genitív
i;;;
tradíciou;inštrumentál;;inštrumentál
českou;inštrumentál;;inštrumentál
či;;;
československou;inštrumentál;;inštrumentál
.;;;
Starú;akuzatív;;akuzatív
meravú;akuzatív;;akuzatív
nekompromisnosť;akuzatív;;akuzatív
a;;;
nekomunikatívnosť;akuzatív;;akuzatív
oživila;;;
idea;nominatív;;nominatív
odtrhnutia;genitív;;genitív
Slovenska;genitív;;genitív
od;;;
tisícročného;genitív;;genitív
Uhorska;genitív;;genitív
a;;;
najmä;;;
štátneho;genitív;;genitív
spojenia;genitív;;genitív
s;;;
Čechmi;inštrumentál;;inštrumentál
.;;;
Takže;;;
nacionalisticko;;;
-;;;
sociálny;nominatív;;nominatív
populizmus;nominatív;;nominatív
Mečiarov;nominatív;;nominatív
je;;;
,;;;
povedal;;;
by;;;
som;;;
,;;;
prirodzeným;inštrumentál;;inštrumentál
plodom;inštrumentál;;inštrumentál
stáročného;genitív;;genitív
vývinu;genitív;;genitív
slovenskej;genitív;;genitív
spoločnosti;genitív;;genitív
.;;;
Ľubomír;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
Pre;;;
časopis;akuzatív;;akuzatív
Záhorského;genitív;;genitív
múzea;genitív;;genitív
v;;;
Skalici;lokál;;lokál
„;;;
Záhorie;nominatív;;nominatív
“;;;
Výstava;nominatív;;nominatív
vzorného;genitív;;genitív
balenia;genitív;;genitív
potravín;genitív;;genitív
v;;;
Skalici;lokál;;lokál
Nemôžem;;;
pritom;;;
nespomenúť;;;
ešte;;;
jednu;akuzatív;;akuzatív
vec;akuzatív;;akuzatív
.;;;
Kto;nominatív;;nominatív
by;;;
to;akuzatív;;akuzatív
kupoval;;;
?;;;
!;;;
A;;;
obchody;nominatív;;nominatív
,;;;
ktoré;nominatív;;nominatív
chcú;;;
predávať;;;
zaručene;;;
čerstvý;akuzatív;;akuzatív
,;;;
v;;;
noci;lokál;;lokál
upečený;akuzatív;;akuzatív
a;;;
nezabalený;akuzatív;;akuzatív
chlieb;akuzatív;;akuzatív
,;;;
musia;;;
ho;akuzatív;;akuzatív
držať;;;
v;;;
osobitných;lokál;;lokál
zasklených;lokál;;lokál
policiach;lokál;;lokál
,;;;
takže;;;
skôr;;;
nebalenie;nominatív;;nominatív
chlieb;nominatív;;akuzatív
zdražuje;;;
.;;;
Ľubomír;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
Vlastný;nominatív;;nominatív
gól;nominatív;;nominatív
slovenskej;genitív;;genitív
inteligencie;genitív;;genitív
Pred;;;
voľbami;inštrumentál;;inštrumentál
bolo;;;
–;;;
v;;;
neposlednom;lokál;;lokál
rade;lokál;;lokál
v;;;
Mostoch;lokál;;lokál
–;;;
mnoho;akuzatív;;akuzatív
krásnych;genitív;;genitív
vzletných;genitív;;genitív
výkladov;genitív;;genitív
,;;;
prečo;;;
treba;;;
voliť;;;
Martina;akuzatív;;akuzatív
Bútoru;akuzatív;;akuzatív
.;;;
Takže;;;
teraz;;;
veľmi;;;
čakám;;;
,;;;
či;;;
niekto;nominatív;;nominatív
z;;;
mienkotvorných;genitív;;genitív
hláv;genitív;;genitív
Bútorovho;genitív;;genitív
elektorátu;genitív;;genitív
urobí;;;
sebakritickú;akuzatív;;akuzatív
analýzu;akuzatív;;akuzatív
tohto;genitív;;genitív
svojho;genitív;;genitív
fatálneho;genitív;;genitív
politického;genitív;;genitív
omylu;genitív;;genitív
.;;;
Že;;;
Mečiar;nominatív;;nominatív
,;;;
suverénny;nominatív;;nominatív
víťaz;nominatív;;nominatív
prvého;genitív;;genitív
kola;genitív;;genitív
,;;;
v;;;
druhom;lokál;;lokál
kole;lokál;;lokál
bol;;;
spektakulárne;;;
odmietnutý;nominatív;;nominatív
,;;;
je;;;
spravodlivý;nominatív;;nominatív
trest;nominatív;;nominatív
za;;;
roky;akuzatív;;akuzatív
jeho;genitív;;genitív
vládnutia;genitív;;genitív
.;;;
Ľubomír;nominatív;;nominatív
Ďurovič;nominatív;;nominatív
profesor;nominatív;;nominatív
emeritus;;;
slovanských;genitív;;genitív
jazykov;genitív;;genitív
Scenár;nominatív;;nominatív
:;;;
Adam;nominatív;;nominatív
Rifkin;nominatív;;nominatív
,;;;
Gavin;nominatív;;nominatív
Scott;nominatív;;nominatív
Réžia;nominatív;;nominatív
:;;;
Joe;nominatív;;nominatív
Dante;nominatív;;nominatív
Kamera;nominatív;;nominatív
:;;;
Jamie;nominatív;;nominatív
Anderson;nominatív;;nominatív
Hudba;nominatív;;nominatív
:;;;
Jerry;nominatív;;nominatív
Goldsmith;nominatív;;nominatív
DOLBY;;;
STERO;;;
Gil;nominatív;;nominatív
Mars;nominatív;;nominatív
,;;;
najbohatší;nominatív;;nominatív
muž;nominatív;;nominatív
sveta;genitív;;genitív
,;;;
je;;;
majiteľom;inštrumentál;;inštrumentál
počítačovej;genitív;;genitív
spoločnosti;genitív;;genitív
MarsTech;;;
,;;;
ktorá;nominatív;;nominatív
vyrába;;;
aj;;;
hračky;akuzatív;;akuzatív
pre;;;
deti;akuzatív;;akuzatív
tretieho;genitív;;genitív
tisícročia;genitív;;genitív
.;;;
Dnes;;;
je;;;
autogramiáda;nominatív;;nominatív
Ivy;genitív;;genitív
Janžurovej;genitív;;genitív
a;;;
Markéty;genitív;;genitív
Hrubešovej;genitív;;genitív
a;;;
potom;;;
je;;;
