Slovo;Pád;Slovo2;Pád2
Ľubomír;nominatív;Ľubomír;nominatív
To;nominatív;To;nominatív
je;;je;
MOŽNO;;MOŽNO;
tá;nominatív;tá;nominatív
pozitívna;nominatív;pozitívna;nominatív
stránka;nominatív;stránka;nominatív
ROZDELENIA;nominatív;ROZDELENIA;genitív
REPUBLIKY;nominatív;REPUBLIKY;genitív
Negatívnych;genitív;Negatívnych;genitív
stránok;genitív;stránok;genitív
je;;je;
množstvo;nominatív;množstvo;nominatív
Nakoniec;;Nakoniec;
takisto;;takisto;
môže;;môže;
aj;;aj;
Čech;nominatív;Čech;nominatív
čítať;;čítať;
slovenské;nominatív;slovenské;akuzatív
keby;;keby;
chcel;;chcel;
oni;nominatív;oni;nominatív
však;;však;
tú;;tú;akuzatív
potrebu;akuzatív;potrebu;akuzatív
V;;V;
ROVNAKEJ;genitív;ROVNAKEJ;lokál
MIERE;datív;MIERE;lokál
Konkrétne;;Konkrétne;
je;;je;
to;nominatív;to;nominatív
obdobie;nominatív;obdobie;nominatív
od;genitív;od;
roku;genitív;roku;genitív
do;;do;
roku;genitív;roku;genitív
Vtedy;;Vtedy;
sa;akuzatív;sa;
naraz;;naraz;
ukázalo;;ukázalo;
že;;že;
komunistická;nominatív;komunistická;nominatív
strana;nominatív;strana;nominatív
s;nominatív;s;
jej;nominatív;jej;inštrumentál
zločineckými;inštrumentál;zločineckými;inštrumentál
spôsobmi;inštrumentál;spôsobmi;inštrumentál
skrachovala;;skrachovala;
Vtedy;;Vtedy;
vyšla;;vyšla;
moja;nominatív;moja;nominatív
KNIHA;nominatív;KNIHA;nominatív
spisovnej;genitív;spisovnej;genitív
ruštiny;nominatív;ruštiny;genitív
ktorá;nominatív;ktorá;nominatív
sa;akuzatív;sa;
stala;;stala;
celoštátnou;inštrumentál;celoštátnou;inštrumentál
univerzitnou;inštrumentál;univerzitnou;inštrumentál
učebnicou;inštrumentál;učebnicou;inštrumentál
ruskej;genitív;ruskej;genitív
TEORETICKEJ;genitív;TEORETICKEJ;genitív
morfológie;nominatív;morfológie;genitív
Uvedomovali;;Uvedomovali;
sme;;sme;
si;datív;si;
že;;že;
sa;akuzatív;sa;
môže;;môže;
Dovtedy;;Dovtedy;
to;nominatív;to;nominatív
však;;však;
bolo;;bolo;
obdobie;nominatív;obdobie;nominatív
veľkej;genitív;veľkej;genitív
nádeje;nominatív;nádeje;genitív
Ja;nominatív;Ja;nominatív
ich;nominatív;ich;akuzatív
poznám;;poznám;
A;;A;
mal;;mal;
pravdu;akuzatív;pravdu;akuzatív
Sklamanie;nominatív;Sklamanie;nominatív
po;akuzatív;po;
vojne;datív;vojne;lokál
Ľubomír;nominatív;Ľubomír;nominatív
do;;do;
komunistickej;genitív;komunistickej;genitív
strany;nominatív;strany;genitív
Piateho;genitív;Piateho;genitív
mája;genitív;mája;genitív
sa;akuzatív;sa;
začalo;;začalo;
Pražské;nominatív;Pražské;nominatív
povstanie;nominatív;povstanie;nominatív
a;nominatív;a;
z;nominatív;z;
rádia;genitív;rádia;genitív
sa;akuzatív;sa;
ozývala;;ozývala;
výzva;nominatív;výzva;nominatív
o;;o;
pomoc;;pomoc;akuzatív
To;nominatív;To;nominatív
bola;nominatív;bola;
tá;nominatív;tá;nominatív
zločinecká;nominatív;zločinecká;nominatív
časť;nominatív;časť;nominatív
komunistickej;genitív;komunistickej;genitív
strany;nominatív;strany;genitív
Môj;nominatív;Môj;nominatív
otec;nominatív;otec;nominatív
bol;genitív;bol;
Nedávno;;Nedávno;
som;;som;
odovzdal;;odovzdal;
do;;do;
skalického;genitív;skalického;genitív
Záhorského;genitív;Záhorského;genitív
múzea;genitív;múzea;genitív
otcove;nominatív;otcove;akuzatív
denníky;nominatív;denníky;akuzatív
Je;;Je;
to;nominatív;to;nominatív
cenná;nominatív;cenná;nominatív
a;nominatív;a;
zaujímavá;nominatív;zaujímavá;nominatív
pamiatka;nominatív;pamiatka;nominatív
o;;o;
storočí;genitív;storočí;lokál
Polovicu;akuzatív;Polovicu;akuzatív
zo;;zo;
všetkého;genitív;všetkého;genitív
čo;nominatív;čo;nominatív
vo;akuzatív;vo;
mne;datív;mne;datív
je;;je;
mám;;mám;
z;nominatív;z;
domu;genitív;domu;genitív
z;nominatív;z;
toho;genitív;toho;genitív
čo;nominatív;čo;nominatív
sa;akuzatív;sa;
doma;;doma;
povedalo;;povedalo;
napríklad;;napríklad;
pri;lokál;pri;
stole;lokál;stole;lokál
Otec;nominatív;Otec;nominatív
veľa;;veľa;
rozprával;;rozprával;
o;;o;
svojom;lokál;svojom;lokál
literárnovednom;lokál;literárnovednom;lokál
výskume;lokál;výskume;lokál
ale;;ale;
sme;;sme;
sa;akuzatív;sa;
samozrejme;;samozrejme;
ani;;ani;
súčasným;datív;súčasným;datív
problémom;datív;problémom;datív
Vtedy;;Vtedy;
mi;datív;mi;datív
utkveli;;utkveli;
v;akuzatív;v;
pamäti;nominatív;pamäti;lokál
dátumy;nominatív;dátumy;nominatív
mená;nominatív;mená;nominatív
i;nominatív;i;
dôležité;nominatív;dôležité;nominatív
udalosti;nominatív;udalosti;nominatív
z;nominatív;z;
minulosti;nominatív;minulosti;genitív
medzi;akuzatív;medzi;
ktoré;nominatív;ktoré;akuzatív
bolo;;bolo;
neskôr;;neskôr;
ľahšie;;ľahšie;
dokladať;;dokladať;
nové;nominatív;nové;akuzatív
dátumy;nominatív;dátumy;akuzatív
mená;nominatív;mená;akuzatív
i;nominatív;i;
vzťahy;nominatív;vzťahy;akuzatív
Mama;nominatív;Mama;nominatív
pochádzala;;pochádzala;
z;nominatív;z;
rodiny;nominatív;rodiny;genitív
s;nominatív;s;
generáciami;inštrumentál;generáciami;inštrumentál
evanjelických;genitív;evanjelických;genitív
farárov;genitív;farárov;genitív
Vzdelanecké;nominatív;Vzdelanecké;nominatív
pozadie;nominatív;pozadie;nominatív
rodiny;nominatív;rodiny;genitív
malo;;malo;
pre;akuzatív;pre;
moju;akuzatív;moju;akuzatív
budúcnosť;nominatív;budúcnosť;akuzatív
VEĽMI;;VEĽMI;
DÔLEŽITÚ;akuzatív;DÔLEŽITÚ;akuzatív
úlohu;akuzatív;úlohu;akuzatív
Rešpektovali;;Rešpektovali;
ste;lokál;ste;
otca;genitív;otca;akuzatív
bezvýhradne;;bezvýhradne;
Viera;nominatív;Viera;nominatív
môže;;môže;
dávať;;dávať;
človeku;datív;človeku;datív
životnú;akuzatív;životnú;akuzatív
istotu;akuzatív;istotu;akuzatív
mieni;;mieni;
profesor;nominatív;profesor;nominatív
Faktom;datív;Faktom;inštrumentál
je;;je;
že;;že;
náboženský;nominatív;náboženský;nominatív
fundamentalizmus;nominatív;fundamentalizmus;nominatív
prežíva;;prežíva;
svoju;akuzatív;svoju;akuzatív
regeneráciu;akuzatív;regeneráciu;akuzatív
Bavilo;;Bavilo;
ma;genitív;ma;akuzatív
písať;;písať;
kompozície;nominatív;kompozície;akuzatív
a;nominatív;a;
na;;na;
vynikajúcom;lokál;vynikajúcom;lokál
skalickom;lokál;skalickom;lokál
gymnáziu;datív;gymnáziu;lokál
boli;;boli;
veľmi;;veľmi;
dobré;nominatív;dobré;nominatív
podmienky;nominatív;podmienky;nominatív
pre;akuzatív;pre;
kultúru;akuzatív;kultúru;akuzatív
sme;;sme;
sa;akuzatív;sa;
ani;;ani;
politike;datív;politike;datív
Môj;nominatív;Môj;nominatív
otec;nominatív;otec;nominatív
po;akuzatív;po;
jeho;nominatív;jeho;lokál
rozpade;lokál;rozpade;lokál
niekoľko;nominatív;niekoľko;akuzatív
týždňov;genitív;týždňov;genitív
MÔJ;nominatív;MÔJ;nominatív
PRIMÁRNY;nominatív;PRIMÁRNY;nominatív
ZÁUJEM;nominatív;ZÁUJEM;nominatív
BOLI;;BOLI;
Umožniť;;Umožniť;
jazykovedcovi;datív;jazykovedcovi;datív
rozhovoriť;;rozhovoriť;
sa;akuzatív;sa;
o;;o;
systéme;lokál;systéme;lokál
v;akuzatív;v;
jazyku;datív;jazyku;lokál
prináša;;prináša;
zdanlivo;;zdanlivo;
nebezpečenstvo;nominatív;nebezpečenstvo;akuzatív
že;;že;
sa;akuzatív;sa;
vstúpi;;vstúpi;
do;;do;
a;nominatív;a;
nudného;genitív;nudného;genitív
sveta;genitív;sveta;genitív
Ypsilon;nominatív;Ypsilon;nominatív
ako;;ako;
hláska;nominatív;hláska;nominatív
nie;;nie;
je;;je;
funkčný;nominatív;funkčný;nominatív
a;nominatív;a;
v;akuzatív;v;
slovenskom;lokál;slovenskom;lokál
jazyku;datív;jazyku;lokál
takej;genitív;takej;genitív
hlásky;nominatív;hlásky;genitív
niet;;niet;
Ale;;Ale;
takto;;takto;
sa;akuzatív;sa;
hovorí;;hovorí;
v;akuzatív;v;
Mikuláši;lokál;Mikuláši;lokál
Ukazuje;;Ukazuje;
sa;akuzatív;sa;
teda;;teda;
že;;že;
tým;;tým;inštrumentál
stredoslovenským;datív;stredoslovenským;inštrumentál
nárečím;inštrumentál;nárečím;inštrumentál
ktorÉ;nominatív;ktorÉ;akuzatív
Štúrovci;nominatív;Štúrovci;nominatív
povýšili;;povýšili;
na;;na;
spisovný;nominatív;spisovný;akuzatív
JAZYK;nominatív;JAZYK;akuzatív
bol;genitív;bol;
prestížny;nominatív;prestížny;nominatív
liptovský;nominatív;liptovský;nominatív
mestský;nominatív;mestský;nominatív
jazyk;nominatív;jazyk;nominatív
Presvedčil;;Presvedčil;
Záborského;genitív;Záborského;akuzatív
že;;že;
správna;nominatív;správna;nominatív
slovenská;nominatív;slovenská;nominatív
výslovnosť;nominatív;výslovnosť;nominatív
je;;je;
V;;V;
lete;lokál;lete;lokál
v;akuzatív;v;
Prahe;datív;Prahe;lokál
zažiadal;;zažiadal;
o;;o;
zahraničné;nominatív;zahraničné;akuzatív
štipendium;nominatív;štipendium;akuzatív
VEĽMI;;VEĽMI;
KOMPLIKOVANOU;inštrumentál;KOMPLIKOVANOU;inštrumentál
ZHODOU;inštrumentál;ZHODOU;inštrumentál
OKOLNOSTÍ;genitív;OKOLNOSTÍ;genitív
HO;;HO;akuzatív
PO;;PO;
ROKU;genitív;ROKU;lokál
dostal;;dostal;
a;nominatív;a;
odišiel;;odišiel;
na;;na;
ROK;nominatív;ROK;akuzatív
do;;do;
Nórska;genitív;Nórska;genitív
Keď;;Keď;
sa;akuzatív;sa;
začal;;začal;
semester;nominatív;semester;nominatív
pustil;;pustil;
som;;som;
sa;akuzatív;sa;
pod;akuzatív;pod;
vedením;inštrumentál;vedením;inštrumentál
profesora;genitív;profesora;genitív
do;;do;
čítania;nominatív;čítania;genitív
textov;genitív;textov;genitív
Rozprávanie;nominatív;Rozprávanie;nominatív
Ľubomíra;nominatív;Ľubomíra;genitív
PRIPRAVILA;;PRIPRAVILA;
Škvarková;nominatív;Škvarková;nominatív
Protiprávna;nominatív;Protiprávna;nominatív
vojna;nominatív;vojna;nominatív
v;akuzatív;v;
Iraku;genitív;Iraku;lokál
ktorú;akuzatív;ktorú;akuzatív
rozpútala;;rozpútala;
aliancia;nominatív;aliancia;nominatív
náboženských;genitív;náboženských;genitív
fundamentalistov;genitív;fundamentalistov;genitív
a;nominatív;a;
je;;je;
cynickým;datív;cynickým;inštrumentál
výsmechom;datív;výsmechom;inštrumentál
všetkých;genitív;všetkých;genitív
hodnôt;genitív;hodnôt;genitív
ktoré;nominatív;ktoré;akuzatív
naša;nominatív;naša;nominatív
západná;nominatív;západná;nominatív
civilizácia;nominatív;civilizácia;nominatív
pokladá;;pokladá;
za;genitív;za;
nedotknuteľné;nominatív;nedotknuteľné;akuzatív
Po;akuzatív;Po;
ukončení;genitív;ukončení;lokál
tejto;genitív;tejto;genitív
vojny;nominatív;vojny;genitív
nádejou;inštrumentál;nádejou;inštrumentál
sveta;genitív;sveta;genitív
je;;je;
zmena;nominatív;zmena;nominatív
Koruna;nominatív;Koruna;nominatív
Sv;;Sv;
Štefana;genitív;Štefana;genitív
a;nominatív;a;
ostrihomský;nominatív;ostrihomský;nominatív
sa;akuzatív;sa;
stali;;stali;
symbolom;datív;symbolom;inštrumentál
Uhorského;genitív;Uhorského;genitív
štátu;genitív;štátu;genitív
Boja;genitív;Boja;genitív
ktorého;genitív;ktorého;genitív
medze;nominatív;medze;akuzatív
určovala;;určovala;
Zlatá;nominatív;Zlatá;nominatív
Náš;nominatív;Náš;nominatív
dnešný;nominatív;dnešný;nominatív
spisovný;nominatív;spisovný;nominatív
jazyk;nominatív;jazyk;nominatív
je;;je;
skutočným;datív;skutočným;inštrumentál
kompromisom;datív;kompromisom;inštrumentál
medzi;akuzatív;medzi;
radikálnou;inštrumentál;radikálnou;inštrumentál
normou;inštrumentál;normou;inštrumentál
štúrovcov;genitív;štúrovcov;genitív
a;nominatív;a;
požiadavkami;inštrumentál;požiadavkami;inštrumentál
i;nominatív;i;
tradíciou;inštrumentál;tradíciou;inštrumentál
českou;inštrumentál;českou;inštrumentál
či;;či;
československou;inštrumentál;československou;inštrumentál
Starú;akuzatív;Starú;akuzatív
meravú;akuzatív;meravú;akuzatív
nekompromisnosť;nominatív;nekompromisnosť;akuzatív
a;nominatív;a;
oživila;;oživila;
idea;nominatív;idea;nominatív
Slovenska;genitív;Slovenska;genitív
od;genitív;od;
tisícročného;genitív;tisícročného;genitív
Uhorska;genitív;Uhorska;genitív
a;nominatív;a;
najmä;;najmä;
štátneho;genitív;štátneho;genitív
spojenia;nominatív;spojenia;genitív
s;nominatív;s;
Čechmi;inštrumentál;Čechmi;inštrumentál
Takže;;Takže;
sociálny;nominatív;sociálny;nominatív
populizmus;nominatív;populizmus;nominatív
je;;je;
povedal;;povedal;
by;;by;
som;;som;
prirodzeným;datív;prirodzeným;inštrumentál
plodom;datív;plodom;inštrumentál
stáročného;genitív;stáročného;genitív
vývinu;genitív;vývinu;genitív
slovenskej;genitív;slovenskej;genitív
spoločnosti;nominatív;spoločnosti;genitív
Ľubomír;nominatív;Ľubomír;nominatív
Pre;akuzatív;Pre;
časopis;nominatív;časopis;akuzatív
Záhorského;genitív;Záhorského;genitív
múzea;genitív;múzea;genitív
v;akuzatív;v;
Skalici;datív;Skalici;lokál
Výstava;nominatív;Výstava;nominatív
vzorného;genitív;vzorného;genitív
balenia;nominatív;balenia;genitív
potravín;genitív;potravín;genitív
v;akuzatív;v;
Skalici;datív;Skalici;lokál
pritom;;pritom;
ešte;;ešte;
jednu;akuzatív;jednu;akuzatív
vec;nominatív;vec;akuzatív
Kto;nominatív;Kto;nominatív
by;;by;
to;nominatív;to;akuzatív
kupoval;;kupoval;
A;;A;
obchody;nominatív;obchody;nominatív
ktoré;nominatív;ktoré;nominatív
chcú;;chcú;
predávať;;predávať;
zaručene;;zaručene;
čerstvý;nominatív;čerstvý;akuzatív
v;akuzatív;v;
noci;nominatív;noci;lokál
a;nominatív;a;
chlieb;nominatív;chlieb;akuzatív
musia;;musia;
ho;;ho;akuzatív
držať;;držať;
v;akuzatív;v;
osobitných;genitív;osobitných;lokál
policiach;lokál;policiach;lokál
takže;;takže;
skôr;;skôr;
chlieb;nominatív;chlieb;akuzatív
zdražuje;;zdražuje;
Ľubomír;nominatív;Ľubomír;nominatív
Vlastný;nominatív;Vlastný;nominatív
gól;nominatív;gól;nominatív
slovenskej;genitív;slovenskej;genitív
inteligencie;nominatív;inteligencie;genitív
Pred;akuzatív;Pred;
voľbami;inštrumentál;voľbami;inštrumentál
bolo;;bolo;
v;akuzatív;v;
neposlednom;lokál;neposlednom;lokál
rade;lokál;rade;lokál
v;akuzatív;v;
Mostoch;lokál;Mostoch;lokál
mnoho;;mnoho;akuzatív
krásnych;genitív;krásnych;genitív
vzletných;genitív;vzletných;genitív
výkladov;genitív;výkladov;genitív
prečo;;prečo;
treba;;treba;
voliť;;voliť;
Martina;nominatív;Martina;akuzatív
Takže;;Takže;
teraz;;teraz;
