Slovo;Číslo;Slovo2;Číslo2
latinčine;jednotné;latinčine;jednotné
odlišovať;;odlišovať;
od;;od;
všeobecného;jednotné;všeobecného;jednotné
názvu;jednotné;názvu;jednotné
a;množné;a;
vytvoril;jednotné;vytvoril;jednotné
nové;množné;nové;jednotné
slovo;jednotné;slovo;jednotné
Druhá;jednotné;Druhá;jednotné
inovácia;jednotné;inovácia;jednotné
je;jednotné;je;jednotné
v;;v;
gramatickom;jednotné;gramatickom;jednotné
popise;jednotné;popise;jednotné
tohto;jednotné;tohto;jednotné
jazyka;jednotné;jazyka;jednotné
Obsiahly;jednotné;Obsiahly;jednotné
vlastivedný;jednotné;vlastivedný;jednotné
úvod;jednotné;úvod;jednotné
k;množné;k;
gramatike;jednotné;gramatike;jednotné
napísal;jednotné;napísal;jednotné
o;;o;
generáciu;jednotné;generáciu;jednotné
starší;jednotné;starší;množné
Matej;jednotné;Matej;jednotné
V;;V;
každom;jednotné;každom;jednotné
prípade;jednotné;prípade;jednotné
aj;;aj;
text;jednotné;text;jednotné
jeho;množné;jeho;jednotné
úvodu;jednotné;úvodu;jednotné
dal;jednotné;dal;jednotné
gramatike;jednotné;gramatike;jednotné
punc;jednotné;punc;jednotné
najautoritatívnejšieho;jednotné;najautoritatívnejšieho;jednotné
zdroja;jednotné;zdroja;jednotné
poznania;množné;poznania;jednotné
vtedajšieho;jednotné;vtedajšieho;jednotné
spisovného;jednotné;spisovného;jednotné
jazyka;jednotné;jazyka;jednotné
Čechov;množné;Čechov;množné
i;množné;i;
Slovákov;množné;Slovákov;množné
Táto;jednotné;Táto;jednotné
norma;jednotné;norma;jednotné
je;jednotné;je;jednotné
dodnes;;dodnes;
základom;množné;základom;jednotné
spisovnej;jednotné;spisovnej;jednotné
češtiny;množné;češtiny;jednotné
Štúrovský;jednotné;Štúrovský;jednotné
nový;jednotné;nový;jednotné
slovenský;jednotné;slovenský;jednotné
spisovný;jednotné;spisovný;jednotné
jazyk;jednotné;jazyk;jednotné
má;jednotné;má;jednotné
niekoľko;jednotné;niekoľko;jednotné
vrstiev;množné;vrstiev;množné
Radikálnou;jednotné;Radikálnou;jednotné
inováciou;jednotné;inováciou;jednotné
je;jednotné;je;jednotné
hláskoslovie;jednotné;hláskoslovie;jednotné
a;množné;a;
tvaroslovie;jednotné;tvaroslovie;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
Profesor;jednotné;Profesor;jednotné
Eugen;jednotné;Eugen;jednotné
ktorý;jednotné;ktorý;jednotné
sa;;sa;
dejinami;množné;dejinami;množné
spisovnej;jednotné;spisovnej;jednotné
slovenčiny;množné;slovenčiny;jednotné
dlhé;množné;dlhé;množné
roky;množné;roky;množné
zaoberal;jednotné;zaoberal;jednotné
si;;si;
uvedomil;jednotné;uvedomil;jednotné
potrebu;jednotné;potrebu;jednotné
dať;;dať;
do;;do;
rúk;množné;rúk;množné
slovenskej;jednotné;slovenskej;jednotné
i;množné;i;
medzinárodnej;jednotné;medzinárodnej;jednotné
vedeckej;jednotné;vedeckej;jednotné
verejnosti;množné;verejnosti;jednotné
dostatočne;;dostatočne;
prístupný;jednotné;prístupný;jednotné
skutočný;jednotné;skutočný;jednotné
text;jednotné;text;jednotné
tohto;jednotné;tohto;jednotné
základného;jednotné;základného;jednotné
diela;množné;diela;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
profesor;jednotné;profesor;jednotné
slovanských;množné;slovanských;množné
jazykov;množné;jazykov;množné
Česko;jednotné;Česko;
slovenské;množné;slovenské;jednotné
kultúrne;;kultúrne;jednotné
kontinuum;jednotné;kontinuum;jednotné
Ku;;Ku;
konfliktom;množné;konfliktom;množné
a;množné;a;
nedorozumeniam;množné;nedorozumeniam;množné
výrazne;;výrazne;
prispelo;jednotné;prispelo;jednotné
aj;;aj;
to;jednotné;to;jednotné
že;;že;
sa;;sa;
maďarské;množné;maďarské;jednotné
dá;;dá;jednotné
používať;;používať;
v;;v;
oboch;množné;oboch;množné
týchto;množné;týchto;množné
významoch;množné;významoch;množné
To;jednotné;To;jednotné
malo;;malo;jednotné
obrovský;jednotné;obrovský;jednotné
význam;jednotné;význam;jednotné
v;;v;
druhej;jednotné;druhej;jednotné
polovici;jednotné;polovici;jednotné
storočia;množné;storočia;jednotné
keď;;keď;
maďarizácia;jednotné;maďarizácia;jednotné
reálne;;reálne;
ohrozovala;jednotné;ohrozovala;jednotné
samotnú;jednotné;samotnú;jednotné
existenciu;jednotné;existenciu;jednotné
slovenského;jednotné;slovenského;jednotné
národa;jednotné;národa;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
Mal;;Mal;jednotné
som;jednotné;som;jednotné
veľké;množné;veľké;jednotné
potešenie;jednotné;potešenie;jednotné
z;množné;z;
knižky;množné;knižky;jednotné
Antona;jednotné;Antona;jednotné
Skalica;jednotné;Skalica;jednotné
moja;jednotné;moja;jednotné
láska;jednotné;láska;jednotné
osud;jednotné;osud;jednotné
a;množné;a;
Jeho;množné;Jeho;množné
obaja;množné;obaja;množné
starší;jednotné;starší;množné
bratia;množné;bratia;množné
išli;množné;išli;množné
do;;do;
škôl;množné;škôl;množné
a;množné;a;
mal;;mal;jednotné
prevziať;;prevziať;
obchod;jednotné;obchod;jednotné
Intenzívne;;Intenzívne;
sa;;sa;
pamätám;jednotné;pamätám;jednotné
na;;na;
prístavbu;jednotné;prístavbu;jednotné
javiska;jednotné;javiska;jednotné
k;množné;k;
cirkevnej;jednotné;cirkevnej;jednotné
sieni;jednotné;sieni;jednotné
na;;na;
evanjelickej;jednotné;evanjelickej;jednotné
fare;jednotné;fare;jednotné
Potom;;Potom;
prišiel;jednotné;prišiel;jednotné
koniec;jednotné;koniec;jednotné
vojny;množné;vojny;jednotné
bolo;jednotné;bolo;jednotné
obnovené;množné;obnovené;jednotné
Československo;jednotné;Československo;jednotné
začali;množné;začali;množné
sa;;sa;
celkom;;celkom;
iné;množné;iné;množné
pomery;množné;pomery;množné
Činnosť;jednotné;Činnosť;jednotné
nášho;jednotné;nášho;jednotné
združenia;množné;združenia;jednotné
zatisli;množné;zatisli;množné
do;;do;
pozadia;množné;pozadia;jednotné
iné;množné;iné;množné
potreby;množné;potreby;množné
To;jednotné;To;jednotné
sa;;sa;
menuje;jednotné;menuje;jednotné
iniciatívnosť;jednotné;iniciatívnosť;jednotné
a;množné;a;
Ľubomír;jednotné;Ľubomír;jednotné
ODCHODY;množné;ODCHODY;množné
A;;A;
návraty;množné;návraty;množné
ĽUBOMÍRA;jednotné;ĽUBOMÍRA;jednotné
I;;I;
toho;jednotné;toho;jednotné
Slovensko;jednotné;Slovensko;jednotné
by;jednotné;by;
dnes;;dnes;
hovorí;jednotné;hovorí;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
To;jednotné;To;jednotné
je;jednotné;je;jednotné
MOŽNO;;MOŽNO;
tá;jednotné;tá;jednotné
pozitívna;jednotné;pozitívna;jednotné
stránka;jednotné;stránka;jednotné
ROZDELENIA;množné;ROZDELENIA;jednotné
REPUBLIKY;množné;REPUBLIKY;jednotné
Negatívnych;množné;Negatívnych;množné
stránok;množné;stránok;množné
je;jednotné;je;jednotné
množstvo;jednotné;množstvo;jednotné
Nakoniec;;Nakoniec;
takisto;;takisto;
môže;jednotné;môže;jednotné
aj;;aj;
Čech;jednotné;Čech;jednotné
čítať;;čítať;
slovenské;množné;slovenské;množné
keby;jednotné;keby;
chcel;jednotné;chcel;jednotné
oni;množné;oni;množné
však;;však;
tú;;tú;jednotné
potrebu;jednotné;potrebu;jednotné
V;;V;
ROVNAKEJ;jednotné;ROVNAKEJ;jednotné
MIERE;jednotné;MIERE;jednotné
Konkrétne;;Konkrétne;
je;jednotné;je;jednotné
to;jednotné;to;jednotné
obdobie;jednotné;obdobie;jednotné
od;;od;
roku;jednotné;roku;jednotné
do;;do;
roku;jednotné;roku;jednotné
Vtedy;;Vtedy;
sa;;sa;
naraz;;naraz;
ukázalo;jednotné;ukázalo;jednotné
že;;že;
komunistická;jednotné;komunistická;jednotné
strana;jednotné;strana;jednotné
s;množné;s;
jej;množné;jej;množné
zločineckými;množné;zločineckými;množné
spôsobmi;množné;spôsobmi;množné
skrachovala;jednotné;skrachovala;jednotné
Vtedy;;Vtedy;
vyšla;jednotné;vyšla;jednotné
moja;jednotné;moja;jednotné
KNIHA;jednotné;KNIHA;jednotné
spisovnej;jednotné;spisovnej;jednotné
ruštiny;množné;ruštiny;jednotné
ktorá;jednotné;ktorá;jednotné
sa;;sa;
stala;jednotné;stala;jednotné
celoštátnou;jednotné;celoštátnou;jednotné
univerzitnou;jednotné;univerzitnou;jednotné
učebnicou;jednotné;učebnicou;jednotné
ruskej;jednotné;ruskej;jednotné
TEORETICKEJ;jednotné;TEORETICKEJ;jednotné
morfológie;množné;morfológie;jednotné
Uvedomovali;množné;Uvedomovali;množné
sme;množné;sme;množné
si;;si;
že;;že;
sa;;sa;
môže;jednotné;môže;jednotné
Dovtedy;;Dovtedy;
to;jednotné;to;jednotné
však;;však;
bolo;jednotné;bolo;jednotné
obdobie;jednotné;obdobie;jednotné
veľkej;jednotné;veľkej;jednotné
nádeje;množné;nádeje;jednotné
Ja;množné;Ja;jednotné
ich;množné;ich;množné
poznám;jednotné;poznám;jednotné
A;;A;
mal;;mal;jednotné
pravdu;jednotné;pravdu;jednotné
Sklamanie;jednotné;Sklamanie;jednotné
po;;po;
vojne;jednotné;vojne;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
do;;do;
komunistickej;jednotné;komunistickej;jednotné
strany;množné;strany;jednotné
Piateho;jednotné;Piateho;jednotné
mája;jednotné;mája;jednotné
sa;;sa;
začalo;jednotné;začalo;jednotné
Pražské;množné;Pražské;jednotné
povstanie;jednotné;povstanie;jednotné
a;množné;a;
z;množné;z;
rádia;jednotné;rádia;jednotné
sa;;sa;
ozývala;jednotné;ozývala;jednotné
výzva;jednotné;výzva;jednotné
o;;o;
pomoc;;pomoc;jednotné
To;jednotné;To;jednotné
bola;jednotné;bola;jednotné
tá;jednotné;tá;jednotné
zločinecká;jednotné;zločinecká;jednotné
časť;jednotné;časť;jednotné
komunistickej;jednotné;komunistickej;jednotné
strany;množné;strany;jednotné
Môj;jednotné;Môj;jednotné
otec;jednotné;otec;jednotné
bol;množné;bol;jednotné
Nedávno;;Nedávno;
som;jednotné;som;jednotné
odovzdal;jednotné;odovzdal;jednotné
do;;do;
skalického;jednotné;skalického;jednotné
Záhorského;jednotné;Záhorského;jednotné
múzea;jednotné;múzea;jednotné
otcove;množné;otcove;množné
denníky;množné;denníky;množné
Je;jednotné;Je;jednotné
to;jednotné;to;jednotné
cenná;jednotné;cenná;jednotné
a;množné;a;
zaujímavá;jednotné;zaujímavá;jednotné
pamiatka;jednotné;pamiatka;jednotné
o;;o;
storočí;množné;storočí;jednotné
Polovicu;jednotné;Polovicu;jednotné
zo;;zo;
všetkého;jednotné;všetkého;jednotné
čo;jednotné;čo;jednotné
vo;;vo;
mne;jednotné;mne;jednotné
je;jednotné;je;jednotné
mám;jednotné;mám;jednotné
z;množné;z;
domu;jednotné;domu;jednotné
z;množné;z;
toho;jednotné;toho;jednotné
čo;jednotné;čo;jednotné
sa;;sa;
doma;;doma;
povedalo;jednotné;povedalo;jednotné
napríklad;;napríklad;
pri;;pri;
stole;jednotné;stole;jednotné
Otec;jednotné;Otec;jednotné
veľa;;veľa;
rozprával;jednotné;rozprával;jednotné
o;;o;
svojom;jednotné;svojom;jednotné
literárnovednom;jednotné;literárnovednom;jednotné
výskume;jednotné;výskume;jednotné
ale;;ale;
sme;množné;sme;množné
sa;;sa;
samozrejme;;samozrejme;
ani;;ani;
súčasným;množné;súčasným;množné
problémom;množné;problémom;množné
Vtedy;;Vtedy;
mi;jednotné;mi;jednotné
utkveli;množné;utkveli;množné
v;;v;
pamäti;množné;pamäti;jednotné
dátumy;množné;dátumy;množné
mená;množné;mená;množné
i;množné;i;
dôležité;množné;dôležité;množné
udalosti;množné;udalosti;množné
z;množné;z;
minulosti;množné;minulosti;jednotné
medzi;;medzi;
ktoré;množné;ktoré;množné
bolo;jednotné;bolo;jednotné
neskôr;;neskôr;
ľahšie;;ľahšie;
dokladať;;dokladať;
nové;množné;nové;množné
dátumy;množné;dátumy;množné
mená;množné;mená;množné
i;množné;i;
vzťahy;množné;vzťahy;množné
Mama;jednotné;Mama;jednotné
pochádzala;jednotné;pochádzala;jednotné
z;množné;z;
rodiny;množné;rodiny;jednotné
s;množné;s;
generáciami;množné;generáciami;množné
evanjelických;množné;evanjelických;množné
farárov;množné;farárov;množné
Vzdelanecké;množné;Vzdelanecké;jednotné
pozadie;jednotné;pozadie;jednotné
rodiny;množné;rodiny;jednotné
malo;;malo;jednotné
pre;;pre;
moju;jednotné;moju;jednotné
budúcnosť;jednotné;budúcnosť;jednotné
VEĽMI;;VEĽMI;
DÔLEŽITÚ;jednotné;DÔLEŽITÚ;jednotné
úlohu;jednotné;úlohu;jednotné
Rešpektovali;množné;Rešpektovali;množné
ste;jednotné;ste;množné
otca;jednotné;otca;jednotné
bezvýhradne;;bezvýhradne;
Viera;jednotné;Viera;jednotné
môže;jednotné;môže;jednotné
dávať;;dávať;
človeku;jednotné;človeku;jednotné
životnú;jednotné;životnú;jednotné
istotu;jednotné;istotu;jednotné
mieni;jednotné;mieni;jednotné
profesor;jednotné;profesor;jednotné
Faktom;množné;Faktom;jednotné
je;jednotné;je;jednotné
že;;že;
náboženský;jednotné;náboženský;jednotné
fundamentalizmus;jednotné;fundamentalizmus;jednotné
prežíva;jednotné;prežíva;jednotné
svoju;jednotné;svoju;jednotné
regeneráciu;jednotné;regeneráciu;jednotné
Bavilo;jednotné;Bavilo;jednotné
ma;jednotné;ma;jednotné
písať;;písať;
kompozície;množné;kompozície;množné
a;množné;a;
na;;na;
vynikajúcom;jednotné;vynikajúcom;jednotné
skalickom;jednotné;skalickom;jednotné
gymnáziu;jednotné;gymnáziu;jednotné
boli;množné;boli;množné
veľmi;;veľmi;
dobré;jednotné;dobré;množné
podmienky;množné;podmienky;množné
pre;;pre;
kultúru;jednotné;kultúru;jednotné
sme;množné;sme;množné
sa;;sa;
ani;;ani;
politike;jednotné;politike;jednotné
Môj;jednotné;Môj;jednotné
otec;jednotné;otec;jednotné
po;;po;
jeho;množné;jeho;jednotné
rozpade;jednotné;rozpade;jednotné
niekoľko;jednotné;niekoľko;jednotné
týždňov;množné;týždňov;množné
MÔJ;jednotné;MÔJ;jednotné
PRIMÁRNY;jednotné;PRIMÁRNY;jednotné
ZÁUJEM;jednotné;ZÁUJEM;jednotné
BOLI;množné;BOLI;množné
Umožniť;;Umožniť;
jazykovedcovi;jednotné;jazykovedcovi;jednotné
rozhovoriť;;rozhovoriť;
sa;;sa;
o;;o;
systéme;jednotné;systéme;jednotné
v;;v;
jazyku;jednotné;jazyku;jednotné
prináša;jednotné;prináša;jednotné
zdanlivo;;zdanlivo;
nebezpečenstvo;jednotné;nebezpečenstvo;jednotné
že;;že;
sa;;sa;
vstúpi;jednotné;vstúpi;jednotné
do;;do;
a;množné;a;
nudného;jednotné;nudného;jednotné
sveta;jednotné;sveta;jednotné
Ypsilon;jednotné;Ypsilon;jednotné
ako;;ako;
hláska;jednotné;hláska;jednotné
nie;;nie;
je;jednotné;je;jednotné
funkčný;jednotné;funkčný;jednotné
a;množné;a;
v;;v;
slovenskom;jednotné;slovenskom;jednotné
jazyku;jednotné;jazyku;jednotné
takej;jednotné;takej;jednotné
hlásky;množné;hlásky;jednotné
niet;jednotné;niet;jednotné
Ale;;Ale;
takto;;takto;
sa;;sa;
hovorí;jednotné;hovorí;jednotné
v;;v;
Mikuláši;jednotné;Mikuláši;jednotné
Ukazuje;jednotné;Ukazuje;jednotné
sa;;sa;
teda;;teda;
že;;že;
tým;;tým;jednotné
stredoslovenským;množné;stredoslovenským;jednotné
nárečím;jednotné;nárečím;jednotné
ktorÉ;množné;ktorÉ;jednotné
Štúrovci;množné;Štúrovci;množné
povýšili;množné;povýšili;množné
na;;na;
spisovný;jednotné;spisovný;jednotné
JAZYK;jednotné;JAZYK;jednotné
bol;množné;bol;jednotné
prestížny;jednotné;prestížny;jednotné
liptovský;jednotné;liptovský;jednotné
mestský;jednotné;mestský;jednotné
jazyk;jednotné;jazyk;jednotné
Presvedčil;jednotné;Presvedčil;jednotné
Záborského;jednotné;Záborského;jednotné
že;;že;
správna;jednotné;správna;jednotné
slovenská;jednotné;slovenská;jednotné
výslovnosť;jednotné;výslovnosť;jednotné
je;jednotné;je;jednotné
V;;V;
lete;jednotné;lete;jednotné
v;;v;
Prahe;jednotné;Prahe;jednotné
zažiadal;jednotné;zažiadal;jednotné
o;;o;
zahraničné;množné;zahraničné;jednotné
štipendium;jednotné;štipendium;jednotné
VEĽMI;;VEĽMI;
KOMPLIKOVANOU;jednotné;KOMPLIKOVANOU;jednotné
ZHODOU;jednotné;ZHODOU;jednotné
OKOLNOSTÍ;množné;OKOLNOSTÍ;množné
HO;;HO;jednotné
PO;;PO;
ROKU;jednotné;ROKU;jednotné
dostal;jednotné;dostal;jednotné
a;množné;a;
odišiel;jednotné;odišiel;jednotné
na;;na;
ROK;jednotné;ROK;jednotné
do;;do;
Nórska;jednotné;Nórska;jednotné
Keď;;Keď;
sa;;sa;
začal;jednotné;začal;jednotné
semester;jednotné;semester;jednotné
pustil;jednotné;pustil;jednotné
som;jednotné;som;jednotné
sa;;sa;
pod;;pod;
vedením;jednotné;vedením;jednotné
profesora;jednotné;profesora;jednotné
do;;do;
čítania;množné;čítania;jednotné
textov;množné;textov;množné
Rozprávanie;jednotné;Rozprávanie;jednotné
Ľubomíra;jednotné;Ľubomíra;jednotné
PRIPRAVILA;jednotné;PRIPRAVILA;jednotné
Škvarková;jednotné;Škvarková;jednotné
Protiprávna;jednotné;Protiprávna;jednotné
vojna;jednotné;vojna;jednotné
v;;v;
Iraku;jednotné;Iraku;jednotné
ktorú;jednotné;ktorú;jednotné
rozpútala;jednotné;rozpútala;jednotné
aliancia;jednotné;aliancia;jednotné
náboženských;množné;náboženských;množné
fundamentalistov;množné;fundamentalistov;množné
a;množné;a;
je;jednotné;je;jednotné
cynickým;množné;cynickým;jednotné
výsmechom;množné;výsmechom;jednotné
všetkých;množné;všetkých;množné
hodnôt;množné;hodnôt;množné
ktoré;množné;ktoré;množné
naša;jednotné;naša;jednotné
západná;jednotné;západná;jednotné
civilizácia;jednotné;civilizácia;jednotné
pokladá;jednotné;pokladá;jednotné
za;;za;
nedotknuteľné;množné;nedotknuteľné;množné
Po;;Po;
ukončení;množné;ukončení;jednotné
tejto;jednotné;tejto;jednotné
vojny;množné;vojny;jednotné
nádejou;jednotné;nádejou;jednotné
sveta;jednotné;sveta;jednotné
je;jednotné;je;jednotné
zmena;jednotné;zmena;jednotné
Koruna;jednotné;Koruna;jednotné
Sv;;Sv;
Štefana;jednotné;Štefana;jednotné
a;množné;a;
ostrihomský;jednotné;ostrihomský;jednotné
sa;;sa;
stali;množné;stali;množné
symbolom;množné;symbolom;jednotné
Uhorského;jednotné;Uhorského;jednotné
štátu;jednotné;štátu;jednotné
Boja;jednotné;Boja;jednotné
ktorého;jednotné;ktorého;jednotné
medze;množné;medze;množné
určovala;jednotné;určovala;jednotné
Zlatá;množné;Zlatá;jednotné
Náš;jednotné;Náš;jednotné
dnešný;jednotné;dnešný;jednotné
spisovný;jednotné;spisovný;jednotné
jazyk;jednotné;jazyk;jednotné
je;jednotné;je;jednotné
skutočným;množné;skutočným;jednotné
kompromisom;množné;kompromisom;jednotné
medzi;;medzi;
radikálnou;jednotné;radikálnou;jednotné
normou;jednotné;normou;jednotné
štúrovcov;množné;štúrovcov;množné
a;množné;a;
požiadavkami;množné;požiadavkami;množné
i;množné;i;
tradíciou;jednotné;tradíciou;jednotné
českou;jednotné;českou;jednotné
či;;či;
československou;jednotné;československou;jednotné
Starú;jednotné;Starú;jednotné
meravú;jednotné;meravú;jednotné
nekompromisnosť;jednotné;nekompromisnosť;jednotné
a;množné;a;
oživila;jednotné;oživila;jednotné
idea;jednotné;idea;jednotné
Slovenska;jednotné;Slovenska;jednotné
od;;od;
tisícročného;jednotné;tisícročného;jednotné
Uhorska;jednotné;Uhorska;jednotné
a;množné;a;
najmä;;najmä;
štátneho;jednotné;štátneho;jednotné
spojenia;množné;spojenia;jednotné
s;množné;s;
Čechmi;množné;Čechmi;množné
Takže;;Takže;
sociálny;jednotné;sociálny;jednotné
populizmus;jednotné;populizmus;jednotné
je;jednotné;je;jednotné
povedal;jednotné;povedal;jednotné
by;jednotné;by;
som;jednotné;som;jednotné
prirodzeným;množné;prirodzeným;jednotné
plodom;množné;plodom;jednotné
stáročného;jednotné;stáročného;jednotné
vývinu;jednotné;vývinu;jednotné
slovenskej;jednotné;slovenskej;jednotné
spoločnosti;množné;spoločnosti;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
Pre;;Pre;
časopis;jednotné;časopis;jednotné
Záhorského;jednotné;Záhorského;jednotné
múzea;jednotné;múzea;jednotné
v;;v;
Skalici;jednotné;Skalici;jednotné
Výstava;jednotné;Výstava;jednotné
vzorného;jednotné;vzorného;jednotné
balenia;množné;balenia;jednotné
potravín;množné;potravín;množné
v;;v;
Skalici;jednotné;Skalici;jednotné
pritom;;pritom;
ešte;;ešte;
jednu;jednotné;jednu;jednotné
vec;jednotné;vec;jednotné
Kto;jednotné;Kto;jednotné
by;jednotné;by;
to;jednotné;to;jednotné
kupoval;jednotné;kupoval;jednotné
A;;A;
obchody;množné;obchody;množné
ktoré;množné;ktoré;množné
chcú;množné;chcú;množné
predávať;;predávať;
zaručene;;zaručene;
čerstvý;jednotné;čerstvý;jednotné
v;;v;
noci;množné;noci;jednotné
a;množné;a;
chlieb;jednotné;chlieb;jednotné
musia;množné;musia;množné
ho;;ho;jednotné
držať;;držať;
v;;v;
osobitných;množné;osobitných;množné
policiach;množné;policiach;množné
takže;;takže;
skôr;;skôr;
chlieb;jednotné;chlieb;jednotné
zdražuje;jednotné;zdražuje;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
Vlastný;jednotné;Vlastný;jednotné
gól;jednotné;gól;jednotné
slovenskej;jednotné;slovenskej;jednotné
inteligencie;množné;inteligencie;jednotné
Pred;;Pred;
voľbami;množné;voľbami;množné
bolo;jednotné;bolo;jednotné
v;;v;
