;Slovo;Slovný druh-Majka;Slovo2;Slovný druh-SNK;Jazykový štýl
169;aj;Citoslovce;aj;Častica;naucny_historia
170;text;Podstatné meno;text;Podstatné meno;naucny_historia
171;jeho;Zámeno;jeho;Zámeno;naucny_historia
172;úvodu;Podstatné meno;úvodu;Podstatné meno;naucny_historia
173;dal;Sloveso;dal;Sloveso;naucny_historia
174;najautoritatívnejšieho;Prídavné meno;najautoritatívnejšieho;Prídavné meno;naucny_historia
175;zdroja;Podstatné meno;zdroja;Podstatné meno;naucny_historia
176;poznania;Podstatné meno;poznania;Podstatné meno;naucny_historia
177;vtedajšieho;Prídavné meno;vtedajšieho;Prídavné meno;naucny_historia
178;spisovného;Prídavné meno;spisovného;Prídavné meno;naucny_historia
179;jazyka;Podstatné meno;jazyka;Podstatné meno;naucny_historia
180;Čechov;Podstatné meno;Čechov;Podstatné meno;naucny_historia
181;i;Spojka;i;Spojka;naucny_historia
182;Slovákov;Podstatné meno;Slovákov;Podstatné meno;naucny_historia
183;Táto;Zámeno;Táto;Zámeno;naucny_historia
184;češtiny;Podstatné meno;češtiny;Podstatné meno;naucny_historia
185;Štúrovský;Prídavné meno;Štúrovský;Prídavné meno;naucny_historia
186;nový;Prídavné meno;nový;Prídavné meno;naucny_historia
187;slovenský;Prídavné meno;slovenský;Prídavné meno;naucny_historia
188;spisovný;Prídavné meno;spisovný;Prídavné meno;naucny_historia
189;jazyk;Podstatné meno;jazyk;Podstatné meno;naucny_historia
190;má;Sloveso;má;Sloveso;naucny_historia
191;niekoľko;Číslovka;niekoľko;Zámeno;naucny_historia
192;vrstiev;Podstatné meno;vrstiev;Podstatné meno;naucny_historia
193;Radikálnou;Prídavné meno;Radikálnou;Prídavné meno;naucny_historia
194;inováciou;Podstatné meno;inováciou;Podstatné meno;naucny_historia
195;je;Sloveso;je;Sloveso;naucny_historia
196;hláskoslovie;Podstatné meno;hláskoslovie;Podstatné meno;naucny_historia
197;a;Spojka;a;Spojka;naucny_historia
198;tvaroslovie;Podstatné meno;tvaroslovie;Podstatné meno;naucny_historia
199;Ľubomír;Podstatné meno;Ľubomír;Podstatné meno;naucny_historia
200;dejinami;Podstatné meno;dejinami;Podstatné meno;naucny_historia
201;spisovnej;Prídavné meno;spisovnej;Prídavné meno;naucny_historia
202;slovenčiny;Podstatné meno;slovenčiny;Podstatné meno;naucny_historia
203;dlhé;Prídavné meno;dlhé;Prídavné meno;naucny_historia
204;roky;Podstatné meno;roky;Podstatné meno;naucny_historia
205;zaoberal;Sloveso;zaoberal;Sloveso;naucny_historia
206;si;Zámeno;si;Zvratné zámeno;naucny_historia
207;uvedomil;Sloveso;uvedomil;Sloveso;naucny_historia
208;potrebu;Podstatné meno;potrebu;Podstatné meno;naucny_historia
209;dať;Sloveso;dať;Sloveso;naucny_historia
210;do;Citoslovce;do;Predložka;naucny_historia
211;rúk;Podstatné meno;rúk;Podstatné meno;naucny_historia
212;slovenskej;Prídavné meno;slovenskej;Prídavné meno;naucny_historia
213;i;Spojka;i;Spojka;naucny_historia
214;medzinárodnej;Prídavné meno;medzinárodnej;Prídavné meno;naucny_historia
215;vedeckej;Prídavné meno;vedeckej;Prídavné meno;naucny_historia
216;verejnosti;Podstatné meno;verejnosti;Podstatné meno;naucny_historia
217;dostatočne;Príslovka;dostatočne;Príslovka;naucny_historia
218;prístupný;Prídavné meno;prístupný;Prídavné meno;naucny_historia
219;skutočný;Prídavné meno;skutočný;Prídavné meno;naucny_historia
220;text;Podstatné meno;text;Podstatné meno;naucny_historia
221;tohto;Zámeno;tohto;Zámeno;naucny_historia
222;základného;Prídavné meno;základného;Prídavné meno;naucny_historia
223;diela;Podstatné meno;diela;Podstatné meno;naucny_historia
224;Ľubomír;Podstatné meno;Ľubomír;Podstatné meno;naucny_historia
225;jazykov;Podstatné meno;jazykov;Podstatné meno;naucny_historia
226;Česko;Podstatné meno;Česko;Neurčiteľný slovný druh;naucny_historia
227;slovenské;Prídavné meno;slovenské;Prídavné meno;naucny_historia
228;kultúrne;Príslovka;kultúrne;Prídavné meno;naucny_historia
229;kontinuum;Podstatné meno;kontinuum;Podstatné meno;naucny_historia
230;Ku;Predložka;Ku;Predložka;naucny_historia
231;konfliktom;Podstatné meno;konfliktom;Podstatné meno;naucny_historia
232;a;Spojka;a;Spojka;naucny_historia
233;nedorozumeniam;Podstatné meno;nedorozumeniam;Podstatné meno;naucny_historia
234;výrazne;Príslovka;výrazne;Príslovka;naucny_historia
235;prispelo;Sloveso;prispelo;Sloveso;naucny_historia
236;aj;Citoslovce;aj;Častica;naucny_historia
237;to;Zámeno;to;Zámeno;naucny_historia
238;že;Spojka;že;Spojka;naucny_historia
239;sa;Zámeno;sa;Zvratné zámeno;naucny_historia
240;maďarské;Prídavné meno;maďarské;Prídavné meno;naucny_historia
241;v;Predložka;v;Predložka;naucny_historia
242;oboch;Číslovka;oboch;Číslovka;naucny_historia
243;týchto;Zámeno;týchto;Zámeno;naucny_historia
244;významoch;Podstatné meno;významoch;Podstatné meno;naucny_historia
245;To;Zámeno;To;Zámeno;naucny_historia
246;malo;Príslovka;malo;Sloveso;naucny_historia
247;obrovský;Prídavné meno;obrovský;Prídavné meno;naucny_historia
248;druhej;Podstatné meno;druhej;Číslovka;naucny_historia
249;polovici;Podstatné meno;polovici;Podstatné meno;naucny_historia
250;maďarizácia;Podstatné meno;maďarizácia;Podstatné meno;naucny_historia
251;reálne;Príslovka;reálne;Príslovka;naucny_historia
252;ohrozovala;Sloveso;ohrozovala;Sloveso;naucny_historia
253;samotnú;Prídavné meno;samotnú;Prídavné meno;naucny_historia
254;existenciu;Podstatné meno;existenciu;Podstatné meno;naucny_historia
255;slovenského;Prídavné meno;slovenského;Prídavné meno;naucny_historia
256;národa;Podstatné meno;národa;Podstatné meno;naucny_historia
257;Ľubomír;Podstatné meno;Ľubomír;Podstatné meno;naucny_historia
258;veľké;Prídavné meno;veľké;Prídavné meno;naucny_historia
259;potešenie;Podstatné meno;potešenie;Podstatné meno;naucny_historia
260;z;Podstatné meno;z;Predložka;naucny_historia
261;knižky;Podstatné meno;knižky;Podstatné meno;naucny_historia
262;Antona;Podstatné meno;Antona;Podstatné meno;naucny_historia
263;osud;Podstatné meno;osud;Podstatné meno;naucny_historia
264;a;Spojka;a;Spojka;naucny_historia
265;starší;Prídavné meno;starší;Prídavné meno;naucny_historia
266;bratia;Podstatné meno;bratia;Podstatné meno;naucny_historia
267;išli;Sloveso;išli;Sloveso;naucny_historia
268;do;Citoslovce;do;Predložka;naucny_historia
269;škôl;Podstatné meno;škôl;Podstatné meno;naucny_historia
270;a;Spojka;a;Spojka;naucny_historia
271;obchod;Podstatné meno;obchod;Podstatné meno;naucny_historia
272;Intenzívne;Príslovka;Intenzívne;Príslovka;naucny_historia
273;sa;Zámeno;sa;Zvratné zámeno;naucny_historia
274;pamätám;Sloveso;pamätám;Sloveso;naucny_historia
275;na;Citoslovce;na;Predložka;naucny_historia
276;prístavbu;Podstatné meno;prístavbu;Podstatné meno;naucny_historia
277;javiska;Podstatné meno;javiska;Podstatné meno;naucny_historia
278;k;Podstatné meno;k;Predložka;naucny_historia
279;cirkevnej;Prídavné meno;cirkevnej;Prídavné meno;naucny_historia
280;sieni;Podstatné meno;sieni;Podstatné meno;naucny_historia
281;na;Citoslovce;na;Predložka;naucny_historia
282;evanjelickej;Prídavné meno;evanjelickej;Prídavné meno;naucny_historia
283;fare;Podstatné meno;fare;Podstatné meno;naucny_historia
284;Potom;Spojka;Potom;Príslovka;naucny_historia
285;prišiel;Sloveso;prišiel;Sloveso;naucny_historia
286;koniec;Podstatné meno;koniec;Podstatné meno;naucny_historia
287;vojny;Podstatné meno;vojny;Podstatné meno;naucny_historia
288;bolo;Sloveso;bolo;Sloveso;naucny_historia
289;obnovené;Prídavné meno;obnovené;Príčastie - Sloveso;naucny_historia
290;Československo;Podstatné meno;Československo;Podstatné meno;naucny_historia
291;začali;Sloveso;začali;Sloveso;naucny_historia
292;sa;Zámeno;sa;Zvratné zámeno;naucny_historia
293;celkom;Príslovka;celkom;Príslovka;naucny_historia
294;iné;Prídavné meno;iné;Zámeno;naucny_historia
295;pomery;Podstatné meno;pomery;Podstatné meno;naucny_historia
296;Činnosť;Podstatné meno;Činnosť;Podstatné meno;naucny_historia
297;nášho;Zámeno;nášho;Zámeno;naucny_historia
298;združenia;Podstatné meno;združenia;Podstatné meno;naucny_historia
299;zatisli;Sloveso;zatisli;Sloveso;naucny_historia
300;do;Citoslovce;do;Predložka;naucny_historia
301;pozadia;Podstatné meno;pozadia;Podstatné meno;naucny_historia
302;iné;Prídavné meno;iné;Zámeno;naucny_historia
303;potreby;Podstatné meno;potreby;Podstatné meno;naucny_historia
304;To;Zámeno;To;Zámeno;naucny_historia
305;sa;Zámeno;sa;Zvratné zámeno;naucny_historia
306;menuje;Sloveso;menuje;Sloveso;naucny_historia
307;iniciatívnosť;Podstatné meno;iniciatívnosť;Podstatné meno;naucny_historia
308;a;Spojka;a;Spojka;naucny_historia
309;návraty;Podstatné meno;návraty;Podstatné meno;naucny_historia
310;ĽUBOMÍRA;Podstatné meno;ĽUBOMÍRA;Podstatné meno;naucny_historia
311;by;Spojka;by;Kondicionálová morféma;naucny_historia
312;dnes;Príslovka;dnes;Príslovka;naucny_historia
313;pozitívna;Prídavné meno;pozitívna;Prídavné meno;naucny_historia
314;stránka;Podstatné meno;stránka;Podstatné meno;naucny_historia
315;ROZDELENIA;Podstatné meno;ROZDELENIA;Podstatné meno;naucny_historia
316;REPUBLIKY;Podstatné meno;REPUBLIKY;Podstatné meno;naucny_historia
317;Negatívnych;Prídavné meno;Negatívnych;Prídavné meno;naucny_historia
318;stránok;Podstatné meno;stránok;Podstatné meno;naucny_historia
319;je;Sloveso;je;Sloveso;naucny_historia
320;množstvo;Podstatné meno;množstvo;Podstatné meno;naucny_historia
321;Nakoniec;Príslovka;Nakoniec;Častica;naucny_historia
322;takisto;Zámeno;takisto;Zámeno;naucny_historia
323;môže;Sloveso;môže;Sloveso;naucny_historia
324;aj;Citoslovce;aj;Častica;naucny_historia
325;Čech;Podstatné meno;Čech;Podstatné meno;naucny_historia
326;čítať;Sloveso;čítať;Sloveso;naucny_historia
327;slovenské;Prídavné meno;slovenské;Prídavné meno;naucny_historia
328;keby;Spojka;keby;Spojka;naucny_historia
329;chcel;Sloveso;chcel;Sloveso;naucny_historia
330;oni;Zámeno;oni;Zámeno;naucny_historia
331;však;Spojka;však;Spojka;naucny_historia
332;tú;Zámeno;tú;Zámeno;naucny_historia
333;potrebu;Podstatné meno;potrebu;Podstatné meno;naucny_historia
334;V;Skratka;V;Predložka;naucny_historia
335;ROVNAKEJ;Prídavné meno;ROVNAKEJ;Prídavné meno;naucny_historia
336;MIERE;Podstatné meno;MIERE;Podstatné meno;naucny_historia
337;to;Zámeno;to;Zámeno;naucny_historia
338;obdobie;Podstatné meno;obdobie;Podstatné meno;naucny_historia
339;od;Predložka;od;Predložka;naucny_historia
340;roku;Podstatné meno;roku;Podstatné meno;naucny_historia
341;do;Citoslovce;do;Predložka;naucny_historia
342;roku;Podstatné meno;roku;Podstatné meno;naucny_historia
343;Vtedy;Príslovka;Vtedy;Zámeno;naucny_historia
344;sa;Zámeno;sa;Zvratné zámeno;naucny_historia
345;naraz;Príslovka;naraz;Príslovka;naucny_historia
346;ukázalo;Sloveso;ukázalo;Sloveso;naucny_historia
347;že;Spojka;že;Spojka;naucny_historia
348;komunistická;Prídavné meno;komunistická;Prídavné meno;naucny_historia
349;strana;Podstatné meno;strana;Podstatné meno;naucny_historia
350;s;Podstatné meno;s;Predložka;naucny_historia
351;jej;Zámeno;jej;Zámeno;naucny_historia
352;zločineckými;Prídavné meno;zločineckými;Prídavné meno;naucny_historia
353;spôsobmi;Podstatné meno;spôsobmi;Podstatné meno;naucny_historia
354;skrachovala;Sloveso;skrachovala;Sloveso;naucny_historia
355;Vtedy;Príslovka;Vtedy;Zámeno;naucny_historia
356;vyšla;Sloveso;vyšla;Sloveso;naucny_historia
357;moja;Zámeno;moja;Zámeno;naucny_historia
358;KNIHA;Podstatné meno;KNIHA;Podstatné meno;naucny_historia
359;ktorá;Zámeno;ktorá;Zámeno;naucny_historia
360;sa;Zámeno;sa;Zvratné zámeno;naucny_historia
361;stala;Sloveso;stala;Sloveso;naucny_historia
362;celoštátnou;Prídavné meno;celoštátnou;Prídavné meno;naucny_historia
363;univerzitnou;Prídavné meno;univerzitnou;Prídavné meno;naucny_historia
364;učebnicou;Podstatné meno;učebnicou;Podstatné meno;naucny_historia
365;ruskej;Prídavné meno;ruskej;Prídavné meno;naucny_historia
366;TEORETICKEJ;Prídavné meno;TEORETICKEJ;Prídavné meno;naucny_historia
367;morfológie;Podstatné meno;morfológie;Podstatné meno;naucny_historia
368;Uvedomovali;Sloveso;Uvedomovali;Sloveso;naucny_historia
369;sme;Sloveso;sme;Sloveso;naucny_historia
370;si;Zámeno;si;Zvratné zámeno;naucny_historia
371;že;Spojka;že;Spojka;naucny_historia
372;sa;Zámeno;sa;Zvratné zámeno;naucny_historia
373;môže;Sloveso;môže;Sloveso;naucny_historia
374;Dovtedy;Zámeno;Dovtedy;Zámeno;naucny_historia
375;to;Zámeno;to;Zámeno;naucny_historia
376;však;Spojka;však;Častica;naucny_historia
377;bolo;Sloveso;bolo;Sloveso;naucny_historia
378;obdobie;Podstatné meno;obdobie;Podstatné meno;naucny_historia
379;veľkej;Prídavné meno;veľkej;Prídavné meno;naucny_historia
380;nádeje;Podstatné meno;nádeje;Podstatné meno;naucny_historia
381;Ja;Zámeno;Ja;Zámeno;naucny_historia
382;ich;Zámeno;ich;Zámeno;naucny_historia
383;poznám;Sloveso;poznám;Sloveso;naucny_historia
384;A;Spojka;A;Spojka;naucny_historia
385;mal;Skratka;mal;Sloveso;naucny_historia
386;pravdu;Podstatné meno;pravdu;Podstatné meno;naucny_historia
387;Sklamanie;Podstatné meno;Sklamanie;Podstatné meno;naucny_historia
388;po;Predložka;po;Predložka;naucny_historia
389;vojne;Podstatné meno;vojne;Podstatné meno;naucny_historia
390;Ľubomír;Podstatné meno;Ľubomír;Podstatné meno;naucny_historia
391;strany;Podstatné meno;strany;Podstatné meno;naucny_historia
392;sa;Zámeno;sa;Zvratné zámeno;naucny_historia
393;začalo;Sloveso;začalo;Sloveso;naucny_historia
394;Pražské;Prídavné meno;Pražské;Prídavné meno;naucny_historia
395;povstanie;Podstatné meno;povstanie;Podstatné meno;naucny_historia
396;a;Spojka;a;Spojka;naucny_historia
397;z;Podstatné meno;z;Predložka;naucny_historia
398;rádia;Podstatné meno;rádia;Podstatné meno;naucny_historia
399;sa;Zámeno;sa;Zvratné zámeno;naucny_historia
400;ozývala;Sloveso;ozývala;Sloveso;naucny_historia
401;výzva;Podstatné meno;výzva;Podstatné meno;naucny_historia
402;o;Citoslovce;o;Predložka;naucny_historia
403;pomoc;Citoslovce;pomoc;Podstatné meno;naucny_historia
404;To;Zámeno;To;Zámeno;naucny_historia
405;bola;Podstatné meno;bola;Sloveso;naucny_historia
406;tá;Zámeno;tá;Zámeno;naucny_historia
407;zločinecká;Prídavné meno;zločinecká;Prídavné meno;naucny_historia
408;časť;Podstatné meno;časť;Podstatné meno;naucny_historia
409;komunistickej;Prídavné meno;komunistickej;Prídavné meno;naucny_historia
410;strany;Podstatné meno;strany;Podstatné meno;naucny_historia
411;Môj;Zámeno;Môj;Zámeno;naucny_historia
412;otec;Podstatné meno;otec;Podstatné meno;naucny_historia
413;bol;Podstatné meno;bol;Sloveso;naucny_historia
414;odovzdal;Sloveso;odovzdal;Sloveso;naucny_historia
415;do;Citoslovce;do;Predložka;naucny_historia
416;skalického;Prídavné meno;skalického;Prídavné meno;naucny_historia
417;Záhorského;Prídavné meno;Záhorského;Prídavné meno;naucny_historia
418;múzea;Podstatné meno;múzea;Podstatné meno;naucny_historia
419;otcove;Prídavné meno;otcove;Prídavné meno;naucny_historia
420;denníky;Podstatné meno;denníky;Podstatné meno;naucny_historia
421;Je;Sloveso;Je;Sloveso;naucny_historia
422;to;Zámeno;to;Zámeno;naucny_historia
423;cenná;Prídavné meno;cenná;Prídavné meno;naucny_historia
424;a;Spojka;a;Spojka;naucny_historia
425;zaujímavá;Prídavné meno;zaujímavá;Prídavné meno;naucny_historia
426;pamiatka;Podstatné meno;pamiatka;Podstatné meno;naucny_historia
427;o;Citoslovce;o;Predložka;naucny_historia
428;storočí;Podstatné meno;storočí;Podstatné meno;naucny_historia
429;Polovicu;Podstatné meno;Polovicu;Podstatné meno;naucny_historia
430;zo;Častice;zo;Predložka;naucny_historia
431;všetkého;Zámeno;všetkého;Zámeno;naucny_historia
432;čo;Zámeno;čo;Zámeno;naucny_historia
433;vo;Predložka;vo;Predložka;naucny_historia
434;mne;Zámeno;mne;Zámeno;naucny_historia
435;je;Sloveso;je;Sloveso;naucny_historia
436;mám;Sloveso;mám;Sloveso;naucny_historia
437;z;Podstatné meno;z;Predložka;naucny_historia
438;domu;Podstatné meno;domu;Podstatné meno;naucny_historia
439;z;Podstatné meno;z;Predložka;naucny_historia
440;toho;Zámeno;toho;Zámeno;naucny_historia
441;čo;Zámeno;čo;Zámeno;naucny_historia
