;Slovo;Slovný druh;Jazykový štýl
54;,;Interpunkcia;NEVIEM
55;ťažká;Prídavné meno;NEVIEM
56;odpoveď;Podstatné meno;NEVIEM
57;.;Interpunkcia;NEVIEM
58;Autobusy;Podstatné meno;NEVIEM
59;sú;Sloveso;NEVIEM
60;pohodlím;Podstatné meno;NEVIEM
61;na;Predložka;NEVIEM
62;európskej;Prídavné meno;NEVIEM
63;úrovni;Podstatné meno;NEVIEM
64;.;Interpunkcia;NEVIEM
65;Iných;Zámeno;NEVIEM
66;stopárov;Podstatné meno;NEVIEM
67;som;Sloveso;NEVIEM
68;tu;Zámeno;NEVIEM
69;zatiaľ;Zámeno;NEVIEM
70;ešte;Príslovka;NEVIEM
71;nevidel;Sloveso;NEVIEM
72;.;Interpunkcia;NEVIEM
73;Ako;Spojka;NEVIEM
74;dopadol;Sloveso;NEVIEM
75;?;Interpunkcia;NEVIEM
76;Bohužiaľ;Častica;NEVIEM
77;.;Interpunkcia;NEVIEM
78;Strong;Citový výraz;NEVIEM
79;wind;Citový výraz;NEVIEM
80;!;Interpunkcia;NEVIEM
81;Silný;Prídavné meno;NEVIEM
82;vietor;Podstatné meno;NEVIEM
83;!;Interpunkcia;NEVIEM
84;ma;Zámeno;NEVIEM
85;posiela;Sloveso;NEVIEM
86;späť;Príslovka;NEVIEM
87;na;Predložka;NEVIEM
88;vajíčko;Podstatné meno;NEVIEM
89;.;Interpunkcia;NEVIEM
90;Na;Predložka;NEVIEM
91;zastávke;Podstatné meno;NEVIEM
92;na;Predložka;NEVIEM
93;Záhradkách;Podstatné meno;NEVIEM
94;nás;Zámeno;NEVIEM
95;čakal;Sloveso;NEVIEM
96;veľmi;Príslovka;NEVIEM
97;zaujímavý;Prídavné meno;NEVIEM
98;pohľad;Podstatné meno;NEVIEM
99;.;Interpunkcia;NEVIEM
100;Bežné;Prídavné meno;NEVIEM
101;prachovky;Podstatné meno;NEVIEM
102;naňho;Zámeno;NEVIEM
103;nestačia;Sloveso;NEVIEM
104;”;Interpunkcia;NEVIEM
105;.;Interpunkcia;NEVIEM
106;Ja;Zámeno;NEVIEM
107;som;Sloveso;NEVIEM
108;chcela;Sloveso;NEVIEM
109;vyhrávať;Sloveso;NEVIEM
110;.;Interpunkcia;NEVIEM
111;A;Spojka;NEVIEM
112;vyhrávam;Sloveso;NEVIEM
113;.;Interpunkcia;NEVIEM
114;slovenskej;Prídavné meno;naucny_historia
115;kultúrnej;Prídavné meno;naucny_historia
116;histórie;Podstatné meno;naucny_historia
117;Od;Predložka;naucny_historia
118;tej;Zámeno;naucny_historia
119;chvíle;Podstatné meno;naucny_historia
120;vstupuje;Sloveso;naucny_historia
121;do;Predložka;naucny_historia
122;hry;Podstatné meno;naucny_historia
123;slovenská;Prídavné meno;naucny_historia
124;časť;Podstatné meno;naucny_historia
125;Uhorska;Podstatné meno;naucny_historia
126;.;Interpunkcia;naucny_historia
127;Do;Predložka;naucny_historia
128;slovenských;Prídavné meno;naucny_historia
129;častí;Podstatné meno;naucny_historia
130;Uhorska;Podstatné meno;naucny_historia
131;sa;Zvratné zámeno;naucny_historia
132;vtedy;Zámeno;naucny_historia
133;utiahla;Sloveso;naucny_historia
134;jedna;Číslovka;naucny_historia
135;časť;Podstatné meno;naucny_historia
136;českých;Prídavné meno;naucny_historia
137;emigrovaných;Príčastie - Sloveso;naucny_historia
138;protestantov;Podstatné meno;naucny_historia
139;a;Spojka;naucny_historia
140;tu;Zámeno;naucny_historia
141;našli;Sloveso;naucny_historia
142;v;Predložka;naucny_historia
143;používaní;Podstatné meno;naucny_historia
144;svoj;Zámeno;naucny_historia
145;vlastný;Prídavné meno;naucny_historia
146;spisovný;Prídavné meno;naucny_historia
147;jazyk;Podstatné meno;naucny_historia
148;presne;Častica;naucny_historia
149;tak;Zámeno;naucny_historia
150;,;Interpunkcia;naucny_historia
151;ako;Zámeno;naucny_historia
152;vo;Predložka;naucny_historia
153;svojej;Zámeno;naucny_historia
154;českej;Prídavné meno;naucny_historia
155;vlasti;Podstatné meno;naucny_historia
156;.;Interpunkcia;naucny_historia
157;Podľa;Predložka;naucny_historia
158;princípu;Podstatné meno;naucny_historia
159;siedmich;Číslovka;naucny_historia
160;slobodných;Prídavné meno;naucny_historia
161;umení;Podstatné meno;naucny_historia
162;prvým;Číslovka;naucny_historia
163;stupňom;Podstatné meno;naucny_historia
164;trivia;Podstatné meno;naucny_historia
165;je;Sloveso;naucny_historia
166;gramatika;Podstatné meno;naucny_historia
167;.;Interpunkcia;naucny_historia
168;Európska;Prídavné meno;naucny_historia
169;únia;Podstatné meno;naucny_historia
170;,;Interpunkcia;naucny_historia
171;čiže;Spojka;naucny_historia
172;rozmieňanie;Podstatné meno;naucny_historia
173;veľkých;Prídavné meno;naucny_historia
174;bankoviek;Podstatné meno;naucny_historia
175;na;Predložka;naucny_historia
176;drobné;Prídavné meno;naucny_historia
177;mince;Podstatné meno;naucny_historia
178;.;Interpunkcia;naucny_historia
179;Toto;Zámeno;naucny_historia
180;stieranie;Podstatné meno;naucny_historia
181;hraníc;Podstatné meno;naucny_historia
182;je;Sloveso;naucny_historia
183;veľmi;Príslovka;naucny_historia
184;príjemné;Prídavné meno;naucny_historia
185;,;Interpunkcia;naucny_historia
186;pokiaľ;Spojka;naucny_historia
187;ide;Sloveso;naucny_historia
188;o;Predložka;naucny_historia
189;poriadneho;Prídavné meno;naucny_historia
190;občana;Podstatné meno;naucny_historia
191;,;Interpunkcia;naucny_historia
192;ktorý;Zámeno;naucny_historia
193;cestuje;Sloveso;naucny_historia
194;za;Predložka;naucny_historia
195;svojím;Zámeno;naucny_historia
196;obchodom;Podstatné meno;naucny_historia
197;alebo;Spojka;naucny_historia
198;za;Predložka;naucny_historia
199;svojou;Zámeno;naucny_historia
200;dovolenkou;Podstatné meno;naucny_historia
201;.;Interpunkcia;naucny_historia
202;Ľubomír;Podstatné meno;naucny_historia
203;Ďurovič;Podstatné meno;naucny_historia
204;Pojem;Podstatné meno;naucny_historia
205;slavico;Citový výraz;naucny_historia
206;-;Interpunkcia;naucny_historia
207;bohemicus;Citový výraz;naucny_historia
208;zo;Predložka;naucny_historia
209;začiatku;Podstatné meno;naucny_historia
210;XVIII;Číslica;naucny_historia
211;.;Interpunkcia;naucny_historia
212;storočia;Podstatné meno;naucny_historia
213;je;Sloveso;naucny_historia
214;začiatok;Podstatné meno;naucny_historia
215;pojmu;Podstatné meno;naucny_historia
216;česko;Neurčiteľný slovný druh;naucny_historia
217;(;Interpunkcia;naucny_historia
218;-;Interpunkcia;naucny_historia
219;);Interpunkcia;naucny_historia
220;slovenský;Prídavné meno;naucny_historia
221;.;Interpunkcia;naucny_historia
222;Krman;Podstatné meno;naucny_historia
223;si;Zvratné zámeno;naucny_historia
224;bol;Sloveso;naucny_historia
225;vedomý;Prídavné meno;naucny_historia
226;,;Interpunkcia;naucny_historia
227;že;Spojka;naucny_historia
228;meno;Podstatné meno;naucny_historia
229;Slovákov;Podstatné meno;naucny_historia
230;treba;Príslovka;naucny_historia
231;aj;Častica;naucny_historia
232;v;Predložka;naucny_historia
233;latinčine;Podstatné meno;naucny_historia
234;odlišovať;Sloveso;naucny_historia
235;od;Predložka;naucny_historia
236;všeobecného;Prídavné meno;naucny_historia
237;názvu;Podstatné meno;naucny_historia
238;slavi;Citový výraz;naucny_historia
239;a;Spojka;naucny_historia
240;vytvoril;Sloveso;naucny_historia
241;nové;Prídavné meno;naucny_historia
242;slovo;Podstatné meno;naucny_historia
243;slovacii;Citový výraz;naucny_historia
244;.;Interpunkcia;naucny_historia
245;Druhá;Číslovka;naucny_historia
246;Doležalova;Prídavné meno;naucny_historia
247;inovácia;Podstatné meno;naucny_historia
248;je;Sloveso;naucny_historia
249;v;Predložka;naucny_historia
250;gramatickom;Prídavné meno;naucny_historia
251;popise;Podstatné meno;naucny_historia
252;tohto;Zámeno;naucny_historia
253;jazyka;Podstatné meno;naucny_historia
254;.;Interpunkcia;naucny_historia
255;Obsiahly;Prídavné meno;naucny_historia
256;vlastivedný;Prídavné meno;naucny_historia
257;úvod;Podstatné meno;naucny_historia
258;(;Interpunkcia;naucny_historia
259;Praefatio;Citový výraz;naucny_historia
260;);Interpunkcia;naucny_historia
261;k;Predložka;naucny_historia
262;Doležalovej;Prídavné meno;naucny_historia
263;gramatike;Podstatné meno;naucny_historia
264;napísal;Sloveso;naucny_historia
265;o;Predložka;naucny_historia
266;generáciu;Podstatné meno;naucny_historia
267;starší;Prídavné meno;naucny_historia
268;Matej;Podstatné meno;naucny_historia
269;Bel;Podstatné meno;naucny_historia
270;.;Interpunkcia;naucny_historia
271;V;Predložka;naucny_historia
272;každom;Zámeno;naucny_historia
273;prípade;Podstatné meno;naucny_historia
274;aj;Častica;naucny_historia
275;text;Podstatné meno;naucny_historia
276;jeho;Zámeno;naucny_historia
277;úvodu;Podstatné meno;naucny_historia
278;dal;Sloveso;naucny_historia
279;Doležalovej;Prídavné meno;naucny_historia
280;gramatike;Podstatné meno;naucny_historia
281;punc;Podstatné meno;naucny_historia
282;najautoritatívnejšieho;Prídavné meno;naucny_historia
283;zdroja;Podstatné meno;naucny_historia
284;poznania;Podstatné meno;naucny_historia
285;vtedajšieho;Prídavné meno;naucny_historia
286;spisovného;Prídavné meno;naucny_historia
287;jazyka;Podstatné meno;naucny_historia
288;Čechov;Podstatné meno;naucny_historia
289;i;Spojka;naucny_historia
290;Slovákov;Podstatné meno;naucny_historia
291;.;Interpunkcia;naucny_historia
292;Táto;Zámeno;naucny_historia
293;kralická;Prídavné meno;naucny_historia
294;norma;Podstatné meno;naucny_historia
295;je;Sloveso;naucny_historia
296;dodnes;Príslovka;naucny_historia
297;základom;Podstatné meno;naucny_historia
298;spisovnej;Prídavné meno;naucny_historia
299;češtiny;Podstatné meno;naucny_historia
300;.;Interpunkcia;naucny_historia
301;Štúrovský;Prídavné meno;naucny_historia
302;nový;Prídavné meno;naucny_historia
303;slovenský;Prídavné meno;naucny_historia
304;spisovný;Prídavné meno;naucny_historia
305;jazyk;Podstatné meno;naucny_historia
306;má;Sloveso;naucny_historia
307;niekoľko;Zámeno;naucny_historia
308;vrstiev;Podstatné meno;naucny_historia
309;.;Interpunkcia;naucny_historia
310;Radikálnou;Prídavné meno;naucny_historia
311;inováciou;Podstatné meno;naucny_historia
312;je;Sloveso;naucny_historia
313;hláskoslovie;Podstatné meno;naucny_historia
314;a;Spojka;naucny_historia
315;tvaroslovie;Podstatné meno;naucny_historia
316;.;Interpunkcia;naucny_historia
317;Ľubomír;Podstatné meno;naucny_historia
318;Ďurovič;Podstatné meno;naucny_historia
319;Profesor;Podstatné meno;naucny_historia
320;Eugen;Podstatné meno;naucny_historia
321;Jóna;Podstatné meno;naucny_historia
322;,;Interpunkcia;naucny_historia
323;ktorý;Zámeno;naucny_historia
324;sa;Zvratné zámeno;naucny_historia
325;dejinami;Podstatné meno;naucny_historia
326;spisovnej;Prídavné meno;naucny_historia
327;slovenčiny;Podstatné meno;naucny_historia
328;dlhé;Prídavné meno;naucny_historia
329;roky;Podstatné meno;naucny_historia
330;zaoberal;Sloveso;naucny_historia
331;,;Interpunkcia;naucny_historia
332;si;Zvratné zámeno;naucny_historia
333;uvedomil;Sloveso;naucny_historia
334;potrebu;Podstatné meno;naucny_historia
335;dať;Sloveso;naucny_historia
336;do;Predložka;naucny_historia
337;rúk;Podstatné meno;naucny_historia
338;slovenskej;Prídavné meno;naucny_historia
339;i;Spojka;naucny_historia
340;medzinárodnej;Prídavné meno;naucny_historia
341;vedeckej;Prídavné meno;naucny_historia
342;verejnosti;Podstatné meno;naucny_historia
343;dostatočne;Príslovka;naucny_historia
344;prístupný;Prídavné meno;naucny_historia
345;skutočný;Prídavné meno;naucny_historia
346;text;Podstatné meno;naucny_historia
347;tohto;Zámeno;naucny_historia
348;základného;Prídavné meno;naucny_historia
349;diela;Podstatné meno;naucny_historia
350;.;Interpunkcia;naucny_historia
351;Ľubomír;Podstatné meno;naucny_historia
352;Ďurovič;Podstatné meno;naucny_historia
353;Ľubomír;Podstatné meno;naucny_historia
354;Ďurovič;Podstatné meno;naucny_historia
355;profesor;Podstatné meno;naucny_historia
356;slovanských;Prídavné meno;naucny_historia
357;jazykov;Podstatné meno;naucny_historia
358;Česko;Neurčiteľný slovný druh;naucny_historia
359;-;Interpunkcia;naucny_historia
360;slovenské;Prídavné meno;naucny_historia
361;kultúrne;Prídavné meno;naucny_historia
362;kontinuum;Podstatné meno;naucny_historia
363;Ku;Predložka;naucny_historia
364;konfliktom;Podstatné meno;naucny_historia
365;a;Spojka;naucny_historia
366;nedorozumeniam;Podstatné meno;naucny_historia
367;výrazne;Príslovka;naucny_historia
368;prispelo;Sloveso;naucny_historia
369;aj;Častica;naucny_historia
370;to;Zámeno;naucny_historia
371;,;Interpunkcia;naucny_historia
372;že;Spojka;naucny_historia
373;sa;Zvratné zámeno;naucny_historia
374;maďarské;Prídavné meno;naucny_historia
375;„;Interpunkcia;naucny_historia
376;nemzet;Neurčiteľný slovný druh;naucny_historia
377;“;Interpunkcia;naucny_historia
378;dá;Sloveso;naucny_historia
379;používať;Sloveso;naucny_historia
380;v;Predložka;naucny_historia
381;oboch;Číslovka;naucny_historia
382;týchto;Zámeno;naucny_historia
383;významoch;Podstatné meno;naucny_historia
384;.;Interpunkcia;naucny_historia
385;To;Zámeno;naucny_historia
386;malo;Sloveso;naucny_historia
387;obrovský;Prídavné meno;naucny_historia
388;národnozáchovný;Prídavné meno;naucny_historia
389;význam;Podstatné meno;naucny_historia
390;v;Predložka;naucny_historia
391;druhej;Číslovka;naucny_historia
392;polovici;Podstatné meno;naucny_historia
393;XIX;Číslica;naucny_historia
394;.;Interpunkcia;naucny_historia
395;storočia;Podstatné meno;naucny_historia
396;,;Interpunkcia;naucny_historia
397;keď;Spojka;naucny_historia
398;maďarizácia;Podstatné meno;naucny_historia
399;reálne;Príslovka;naucny_historia
400;ohrozovala;Sloveso;naucny_historia
401;samotnú;Prídavné meno;naucny_historia
402;existenciu;Podstatné meno;naucny_historia
403;slovenského;Prídavné meno;naucny_historia
404;národa;Podstatné meno;naucny_historia
405;.;Interpunkcia;naucny_historia
406;Ľubomír;Podstatné meno;naucny_historia
407;Ďurovič;Podstatné meno;naucny_historia
408;Mal;Sloveso;naucny_historia
409;som;Sloveso;naucny_historia
410;veľké;Prídavné meno;naucny_historia
411;potešenie;Podstatné meno;naucny_historia
412;z;Predložka;naucny_historia
413;knižky;Podstatné meno;naucny_historia
414;Antona;Podstatné meno;naucny_historia
415;Dinku;Podstatné meno;naucny_historia
416;Skalica;Podstatné meno;naucny_historia
417;–;Interpunkcia;naucny_historia
418;moja;Zámeno;naucny_historia
419;láska;Podstatné meno;naucny_historia
420;,;Interpunkcia;naucny_historia
421;osud;Podstatné meno;naucny_historia
422;a;Spojka;naucny_historia
423;poťešeňí;Neurčiteľný slovný druh;naucny_historia
424;.;Interpunkcia;naucny_historia
425;Jeho;Zámeno;naucny_historia
426;obaja;Číslovka;naucny_historia
427;starší;Prídavné meno;naucny_historia
428;bratia;Podstatné meno;naucny_historia
429;išli;Sloveso;naucny_historia
430;do;Predložka;naucny_historia
431;škôl;Podstatné meno;naucny_historia
432;a;Spojka;naucny_historia
433;Ferda;Podstatné meno;naucny_historia
434;mal;Sloveso;naucny_historia
435;prevziať;Sloveso;naucny_historia
436;obchod;Podstatné meno;naucny_historia
437;.;Interpunkcia;naucny_historia
438;Intenzívne;Príslovka;naucny_historia
439;sa;Zvratné zámeno;naucny_historia
440;pamätám;Sloveso;naucny_historia
441;na;Predložka;naucny_historia
442;prístavbu;Podstatné meno;naucny_historia
443;javiska;Podstatné meno;naucny_historia
444;k;Predložka;naucny_historia
445;cirkevnej;Prídavné meno;naucny_historia
446;sieni;Podstatné meno;naucny_historia
447;na;Predložka;naucny_historia
448;evanjelickej;Prídavné meno;naucny_historia
449;fare;Podstatné meno;naucny_historia
450;.;Interpunkcia;naucny_historia
451;Potom;Príslovka;naucny_historia
452;prišiel;Sloveso;naucny_historia
453;koniec;Podstatné meno;naucny_historia
454;vojny;Podstatné meno;naucny_historia
455;,;Interpunkcia;naucny_historia
456;bolo;Sloveso;naucny_historia
457;obnovené;Príčastie - Sloveso;naucny_historia
458;Československo;Podstatné meno;naucny_historia
459;,;Interpunkcia;naucny_historia
460;začali;Sloveso;naucny_historia
461;sa;Zvratné zámeno;naucny_historia
462;celkom;Príslovka;naucny_historia
463;iné;Zámeno;naucny_historia
464;pomery;Podstatné meno;naucny_historia
465;.;Interpunkcia;naucny_historia
466;Činnosť;Podstatné meno;naucny_historia
467;nášho;Zámeno;naucny_historia
468;združenia;Podstatné meno;naucny_historia
469;zatisli;Sloveso;naucny_historia
470;do;Predložka;naucny_historia
471;pozadia;Podstatné meno;naucny_historia
472;iné;Zámeno;naucny_historia
473;potreby;Podstatné meno;naucny_historia
474;.;Interpunkcia;naucny_historia
475;To;Zámeno;naucny_historia
476;sa;Zvratné zámeno;naucny_historia
477;menuje;Sloveso;naucny_historia
478;iniciatívnosť;Podstatné meno;naucny_historia
479;a;Spojka;naucny_historia
480;innovatívnosť;Podstatné meno;naucny_historia
481;.;Interpunkcia;naucny_historia
482;Ľubomír;Podstatné meno;naucny_historia
483;Ďurovič;Podstatné meno;naucny_historia
484;ODCHODY;Podstatné meno;naucny_historia
485;A;Spojka;naucny_historia
486;návraty;Podstatné meno;naucny_historia
487;ĽUBOMÍRA;Podstatné meno;naucny_historia
488;Ďuroviča;Podstatné meno;naucny_historia
489;(;Interpunkcia;naucny_historia
490;I;Značky;naucny_historia
491;.;Interpunkcia;naucny_historia
492;);Interpunkcia;naucny_historia
493;„;Interpunkcia;naucny_historia
494;Nebyť;Sloveso;naucny_historia
495;toho;Zámeno;naucny_historia
496;,;Interpunkcia;naucny_historia
497;Slovensko;Podstatné meno;naucny_historia
498;by;Kondicionálová morféma;naucny_historia
499;dnes;Príslovka;naucny_historia
500;neexistovalo;Sloveso;naucny_historia
501;,;Interpunkcia;naucny_historia
502;“;Interpunkcia;naucny_historia
503;hovorí;Sloveso;naucny_historia
504;Ľubomír;Podstatné meno;naucny_historia
505;Ďurovič;Podstatné meno;naucny_historia
506;.;Interpunkcia;naucny_historia
507;To;Zámeno;naucny_historia
508;je;Sloveso;naucny_historia
509;MOŽNO;Častica;naucny_historia
510;tá;Zámeno;naucny_historia
511;pozitívna;Prídavné meno;naucny_historia
512;stránka;Podstatné meno;naucny_historia
513;ROZDELENIA;Podstatné meno;naucny_historia
514;REPUBLIKY;Podstatné meno;naucny_historia
515;.;Interpunkcia;naucny_historia
516;Negatívnych;Prídavné meno;naucny_historia
517;stránok;Podstatné meno;naucny_historia
518;je;Sloveso;naucny_historia
519;množstvo;Podstatné meno;naucny_historia
520;.;Interpunkcia;naucny_historia
521;Nakoniec;Častica;naucny_historia
522;,;Interpunkcia;naucny_historia
523;takisto;Zámeno;naucny_historia
524;môže;Sloveso;naucny_historia
525;aj;Častica;naucny_historia
526;Čech;Podstatné meno;naucny_historia
527;čítať;Sloveso;naucny_historia
528;slovenské;Prídavné meno;naucny_historia
529;,;Interpunkcia;naucny_historia
530;keby;Spojka;naucny_historia
531;chcel;Sloveso;naucny_historia
532;,;Interpunkcia;naucny_historia
533;oni;Zámeno;naucny_historia
534;však;Spojka;naucny_historia
535;tú;Zámeno;naucny_historia
536;potrebu;Podstatné meno;naucny_historia
537;V;Predložka;naucny_historia
538;ROVNAKEJ;Prídavné meno;naucny_historia
539;MIERE;Podstatné meno;naucny_historia
540;nemajú;Sloveso;naucny_historia
541;.;Interpunkcia;naucny_historia
542;“;Interpunkcia;naucny_historia
543;„;Interpunkcia;naucny_historia
544;Konkrétne;Príslovka;naucny_historia
545;je;Sloveso;naucny_historia
546;to;Zámeno;naucny_historia
547;obdobie;Podstatné meno;naucny_historia
548;od;Predložka;naucny_historia
549;roku;Podstatné meno;naucny_historia
550;1963;Číslica;naucny_historia
551;do;Predložka;naucny_historia
552;roku;Podstatné meno;naucny_historia
553;1968;Číslica;naucny_historia
554;.;Interpunkcia;naucny_historia
555;Vtedy;Zámeno;naucny_historia
556;sa;Zvratné zámeno;naucny_historia
557;naraz;Príslovka;naucny_historia
558;ukázalo;Sloveso;naucny_historia
559;,;Interpunkcia;naucny_historia
560;že;Spojka;naucny_historia
561;komunistická;Prídavné meno;naucny_historia
562;strana;Podstatné meno;naucny_historia
563;s;Predložka;naucny_historia
564;jej;Zámeno;naucny_historia
565;zločineckými;Prídavné meno;naucny_historia
566;spôsobmi;Podstatné meno;naucny_historia
567;skrachovala;Sloveso;naucny_historia
568;.;Interpunkcia;naucny_historia
569;Vtedy;Zámeno;naucny_historia
570;vyšla;Sloveso;naucny_historia
571;moja;Zámeno;naucny_historia
572;KNIHA;Podstatné meno;naucny_historia
573;Paradigmatika;Podstatné meno;naucny_historia
574;spisovnej;Prídavné meno;naucny_historia
575;ruštiny;Podstatné meno;naucny_historia
576;,;Interpunkcia;naucny_historia
577;ktorá;Zámeno;naucny_historia
578;sa;Zvratné zámeno;naucny_historia
579;stala;Sloveso;naucny_historia
580;celoštátnou;Prídavné meno;naucny_historia
581;univerzitnou;Prídavné meno;naucny_historia
582;učebnicou;Podstatné meno;naucny_historia
583;ruskej;Prídavné meno;naucny_historia
584;TEORETICKEJ;Prídavné meno;naucny_historia
585;morfológie;Podstatné meno;naucny_historia
586;.;Interpunkcia;naucny_historia
587;Uvedomovali;Sloveso;naucny_historia
588;sme;Sloveso;naucny_historia
589;si;Zvratné zámeno;naucny_historia
590;,;Interpunkcia;naucny_historia
591;že;Spojka;naucny_historia
592;„;Interpunkcia;naucny_historia
593;sa;Zvratné zámeno;naucny_historia
594;môže;Sloveso;naucny_historia
595;“;Interpunkcia;naucny_historia
596;.;Interpunkcia;naucny_historia
597;Dovtedy;Zámeno;naucny_historia
598;to;Zámeno;naucny_historia
599;však;Častica;naucny_historia
600;bolo;Sloveso;naucny_historia
601;obdobie;Podstatné meno;naucny_historia
602;veľkej;Prídavné meno;naucny_historia
603;nádeje;Podstatné meno;naucny_historia
604;.;Interpunkcia;naucny_historia
605;Ja;Zámeno;naucny_historia
606;ich;Zámeno;naucny_historia
607;poznám;Sloveso;naucny_historia
608;.;Interpunkcia;naucny_historia
609;A;Spojka;naucny_historia
610;mal;Sloveso;naucny_historia
611;pravdu;Podstatné meno;naucny_historia
612;.;Interpunkcia;naucny_historia
613;Sklamanie;Podstatné meno;naucny_historia
614;po;Predložka;naucny_historia
615;vojne;Podstatné meno;naucny_historia
616;Ľubomír;Podstatné meno;naucny_historia
617;Ďurovič;Podstatné meno;naucny_historia
618;do;Predložka;naucny_historia
619;komunistickej;Prídavné meno;naucny_historia
620;strany;Podstatné meno;naucny_historia
621;nevstúpil;Sloveso;naucny_historia
622;.;Interpunkcia;naucny_historia
623;Piateho;Prídavné meno;naucny_historia
624;mája;Podstatné meno;naucny_historia
625;sa;Zvratné zámeno;naucny_historia
626;začalo;Sloveso;naucny_historia
627;Pražské;Prídavné meno;naucny_historia
628;povstanie;Podstatné meno;naucny_historia
629;a;Spojka;naucny_historia
630;z;Predložka;naucny_historia
631;rádia;Podstatné meno;naucny_historia
632;sa;Zvratné zámeno;naucny_historia
633;ozývala;Sloveso;naucny_historia
634;výzva;Podstatné meno;naucny_historia
635;o;Predložka;naucny_historia
636;pomoc;Podstatné meno;naucny_historia
637;.;Interpunkcia;naucny_historia
638;To;Zámeno;naucny_historia
639;bola;Sloveso;naucny_historia
640;tá;Zámeno;naucny_historia
641;zločinecká;Prídavné meno;naucny_historia
642;časť;Podstatné meno;naucny_historia
643;komunistickej;Prídavné meno;naucny_historia
644;strany;Podstatné meno;naucny_historia
645;.;Interpunkcia;naucny_historia
646;„;Interpunkcia;naucny_historia
647;Môj;Zámeno;naucny_historia
648;otec;Podstatné meno;naucny_historia
649;bol;Sloveso;naucny_historia
650;selfmademan;Podstatné meno;naucny_historia
651;.;Interpunkcia;naucny_historia
652;Nedávno;Príslovka;naucny_historia
653;som;Sloveso;naucny_historia
654;odovzdal;Sloveso;naucny_historia
655;do;Predložka;naucny_historia
656;skalického;Prídavné meno;naucny_historia
657;Záhorského;Prídavné meno;naucny_historia
658;múzea;Podstatné meno;naucny_historia
659;otcove;Prídavné meno;naucny_historia
660;denníky;Podstatné meno;naucny_historia
661;.;Interpunkcia;naucny_historia
662;Je;Sloveso;naucny_historia
663;to;Zámeno;naucny_historia
664;cenná;Prídavné meno;naucny_historia
665;a;Spojka;naucny_historia
666;zaujímavá;Prídavné meno;naucny_historia
667;pamiatka;Podstatné meno;naucny_historia
668;o;Predložka;naucny_historia
669;20;Číslica;naucny_historia
670;.;Interpunkcia;naucny_historia
671;storočí;Podstatné meno;naucny_historia
672;.;Interpunkcia;naucny_historia
673;Polovicu;Podstatné meno;naucny_historia
674;zo;Predložka;naucny_historia
675;všetkého;Zámeno;naucny_historia
676;,;Interpunkcia;naucny_historia
677;čo;Zámeno;naucny_historia
678;vo;Predložka;naucny_historia
679;mne;Zámeno;naucny_historia
680;je;Sloveso;naucny_historia
681;,;Interpunkcia;naucny_historia
682;mám;Sloveso;naucny_historia
683;z;Predložka;naucny_historia
684;domu;Podstatné meno;naucny_historia
685;,;Interpunkcia;naucny_historia
686;z;Predložka;naucny_historia
687;toho;Zámeno;naucny_historia
688;,;Interpunkcia;naucny_historia
689;čo;Zámeno;naucny_historia
690;sa;Zvratné zámeno;naucny_historia
691;doma;Príslovka;naucny_historia
692;povedalo;Sloveso;naucny_historia
693;,;Interpunkcia;naucny_historia
