Slovo;POSTAG;Slovo2;POSTAG2
.;SENT;.;Z
storočia;SSns2;storočia;SSns2
je;VKesc+;je;VKesc+
začiatok;SSis1;začiatok;SSis1
pojmu;SSis2;pojmu;SSis2
česko;Q;česko;Q
(;Z;(;Z
-;Z;-;Z
);Z;);Z
slovenský;AAms1x;slovenský;AAis1x
.;SENT;.;Z
Krman;SSms1:r;Krman;SSms1:r
si;R;si;R
bol;VLescm+;bol;VLescm+
vedomý;AAms1x;vedomý;AAms1x
,;Z;,;Z
že;O;že;O
meno;SSns4;meno;SSns4
Slovákov;SSmp2:r;Slovákov;SSmp2:r
treba;Dx;treba;Dx
aj;T;aj;T
v;Eu6;v;Eu6
latinčine;SSfs6;latinčine;SSfs6
odlišovať;VIe+;odlišovať;VIe+
od;Eu2;od;Eu2
všeobecného;AAis2x;všeobecného;AAis2x
názvu;SSis2;názvu;SSis2
slavi;%;slavi;%
a;O;a;O
vytvoril;VLdscm+;vytvoril;VLdscm+
nové;AAns4x;nové;AAns4x
slovo;SSns4;slovo;SSns4
slovacii;%;slovacii;%
.;SENT;.;Z
Druhá;NAfs1;Druhá;NAfs1
Doležalova;AFfs1x:r;Doležalova;AFfs1x:r
inovácia;SSfs1;inovácia;SSfs1
je;VKesc+;je;VKesc+
v;Eu6;v;Eu6
gramatickom;AAis6x;gramatickom;AAis6x
popise;SSis6;popise;SSis6
tohto;PFis2;tohto;PFis2
jazyka;SSis2;jazyka;SSis2
.;SENT;.;Z
Obsiahly;AAis4x;Obsiahly;AAis4x
vlastivedný;AAis4x;vlastivedný;AAis4x
úvod;SSis4;úvod;SSis4
(;Z;(;Z
Praefatio;%;Praefatio;%
);Z;);Z
k;Eu3;k;Eu3
Doležalovej;AFfs3x:r;Doležalovej;AFfs3x:r
gramatike;SSfs3;gramatike;SSfs3
napísal;VLdscm+;napísal;VLdscm+
o;Eu4;o;Eu4
generáciu;SSfs4;generáciu;SSfs4
starší;AAmp1y;starší;AAmp1y
Matej;SSms1:r;Matej;SSms1:r
Bel;SSms1:r;Bel;SSms1:r
.;SENT;.;Z
V;Eu6;V;Eu6
každom;PAis6;každom;PAis6
prípade;SSis6;prípade;SSis6
aj;O;aj;T
text;SSis1;text;SSis1
jeho;PUis2;jeho;PUis2
úvodu;SSis2;úvodu;SSis2
dal;VLjsci+;dal;VLjsci+
Doležalovej;AFfs3x:r;Doležalovej;AFfs3x:r
gramatike;SSfs3;gramatike;SSfs3
punc;SSis4;punc;SSis4
najautoritatívnejšieho;AAis2z;najautoritatívnejšieho;AAis2z
zdroja;SSis2;zdroja;SSis2
poznania;SSns2;poznania;SSns2
vtedajšieho;AAis2x;vtedajšieho;AAis2x
spisovného;AAis2x;spisovného;AAis2x
jazyka;SSis2;jazyka;SSis2
Čechov;SSmp2:r;Čechov;SSmp2:r
i;O;i;O
Slovákov;SSmp2:r;Slovákov;SSmp2:r
.;SENT;.;Z
Táto;PFfs1;Táto;PFfs1
kralická;AAfs1x;kralická;AAfs1x
norma;SSfs1;norma;SSfs1
je;VKesc+;je;VKesc+
dodnes;Dx;dodnes;Dx
základom;SSis7;základom;SSis7
spisovnej;AAfs2x;spisovnej;AAfs2x
češtiny;SSfs2;češtiny;SSfs2
.;SENT;.;Z
Štúrovský;AAis1x;Štúrovský;AAis1x
nový;AAis1x;nový;AAis1x
slovenský;AAis1x;slovenský;AAis1x
spisovný;AAis1x;spisovný;AAis1x
jazyk;SSis1;jazyk;SSis1
má;VKesc+;má;VKesc+
niekoľko;PUns4;niekoľko;PUns4
vrstiev;SSfp2;vrstiev;SSfp2
.;SENT;.;Z
Radikálnou;AAfs7x;Radikálnou;AAfs7x
inováciou;SSfs7;inováciou;SSfs7
je;VKesc+;je;VKesc+
hláskoslovie;SSns1;hláskoslovie;SSns1
a;O;a;O
tvaroslovie;SSns1;tvaroslovie;SSns1
.;SENT;.;Z
Ľubomír;SSms1:r;Ľubomír;SSms1:r
Ďurovič;SSms1:r;Ďurovič;SSms1:r
Profesor;SSms1:r;Profesor;SSms1
Eugen;SSms1:r;Eugen;SSms1:r
Jóna;SSms1:r;Jóna;SSms1:r
,;Z;,;Z
ktorý;PAms1;ktorý;PAms1
sa;R;sa;R
dejinami;SSfp7;dejinami;SSfp7
spisovnej;AAfs2x;spisovnej;AAfs2x
slovenčiny;SSfs2;slovenčiny;SSfs2
dlhé;AAip4x;dlhé;AAip4x
roky;SSip4;roky;SSip4
zaoberal;VLescm+;zaoberal;VLescm+
,;Z;,;Z
si;R;si;R
uvedomil;VLdscm+;uvedomil;VLdscm+
potrebu;SSfs4;potrebu;SSfs4
dať;VIj+;dať;VIj+
do;Eu2;do;Eu2
rúk;SSfp2;rúk;SSfp2
slovenskej;AAfs2x;slovenskej;AAfs2x
i;O;i;O
medzinárodnej;AAfs2x;medzinárodnej;AAfs2x
vedeckej;AAfs2x;vedeckej;AAfs2x
verejnosti;SSfs2;verejnosti;SSfs2
dostatočne;Dx;dostatočne;Dx
prístupný;AAis4x;prístupný;AAis4x
skutočný;AAis4x;skutočný;AAis4x
text;SSis4;text;SSis4
tohto;PFns2;tohto;PFns2
základného;AAns2x;základného;AAns2x
diela;SSns2;diela;SSns2
.;SENT;.;Z
Ľubomír;SSms1:r;Ľubomír;SSms1:r
Ďurovič;SSms1:r;Ďurovič;SSms1:r
Ľubomír;SSms1:r;Ľubomír;SSms1:r
Ďurovič;SSms1:r;Ďurovič;SSms1:r
profesor;SSms1;profesor;SSms1
slovanských;AAip2x;slovanských;AAip2x
jazykov;SSip2;jazykov;SSip2
Česko;Q;Česko;Q
-;Z;-;Z
slovenské;AAns1x;slovenské;AAns1x
kultúrne;AAns1x;kultúrne;AAns1x
kontinuum;SSns1;kontinuum;SSns1
Ku;Ev3;Ku;Ev3
konfliktom;SSip3;konfliktom;SSip3
a;O;a;O
nedorozumeniam;SSnp3;nedorozumeniam;SSnp3
výrazne;Dx;výrazne;Dx
prispelo;VLdscn+;prispelo;VLdscn+
aj;T;aj;T
to;PFns1;to;PFns1
,;Z;,;Z
že;O;že;O
sa;R;sa;R
maďarské;AAns1x;maďarské;AAns1x
„;Z;„;Z
nemzet;Q;nemzet;Q
“;Z;“;Z
dá;VKjsc+;dá;VKjsc+
používať;VIe+;používať;VIe+
v;Eu6;v;Eu6
oboch;NNip6;oboch;NNip6
týchto;PFip6;týchto;PFip6
významoch;SSip6;významoch;SSip6
.;SENT;.;Z
To;PFns1;To;PFns1
malo;VLescn+;malo;VLescn+
obrovský;AAis4x;obrovský;AAis4x
národnozáchovný;AAis4x;národnozáchovný;AAis4x
význam;SSis4;význam;SSis4
v;Eu6;v;Eu6
druhej;NAfs6;druhej;NAfs6
polovici;SSfs6;polovici;SSfs6
XIX;0;XIX;0
.;SENT;.;Z
storočia;SSns2;storočia;SSns2
,;Z;,;Z
keď;O;keď;O
maďarizácia;SSfs1;maďarizácia;SSfs1
reálne;Dx;reálne;Dx
ohrozovala;VLescf+;ohrozovala;VLescf+
samotnú;AAfs4x;samotnú;AAfs4x
existenciu;SSfs4;existenciu;SSfs4
slovenského;AAis2x;slovenského;AAis2x
národa;SSis2;národa;SSis2
.;SENT;.;Z
Ľubomír;SSms1:r;Ľubomír;SSms1:r
Ďurovič;SSms1:r;Ďurovič;SSms1:r
Mal;VLesam+;Mal;VLesam+
som;VKesa+;som;VKesa+
veľké;AAns4x;veľké;AAns4x
potešenie;SSns4;potešenie;SSns4
z;Eu2;z;Eu2
knižky;SSfs2;knižky;SSfs2
Antona;SSms2:r;Antona;SSms2:r
Dinku;SSms2:r;Dinku;SSms2:r
Skalica;SSfs1:r;Skalica;SSfs1:r
–;Z;–;Z
moja;PFfs1;moja;PFfs1
láska;SSfs1;láska;SSfs1
,;Z;,;Z
osud;SSis1;osud;SSis1
a;O;a;O
poťešeňí;Q;poťešeňí;Q
.;SENT;.;Z
Jeho;PUmp1;Jeho;PUmp1
obaja;NNmp1;obaja;NNmp1
starší;AAmp1y;starší;AAmp1y
bratia;SSmp1;bratia;SSmp1
išli;VLepcm+;išli;VLepcm+
do;Eu2;do;Eu2
škôl;SSfp2;škôl;SSfp2
a;O;a;O
Ferda;SSms1:r;Ferda;SSms1:r
mal;VLescm+;mal;VLescm+
prevziať;VId+;prevziať;VId+
obchod;SSis4;obchod;SSis4
.;SENT;.;Z
Intenzívne;Dx;Intenzívne;Dx
sa;R;sa;R
pamätám;VKesa+;pamätám;VKesa+
na;Eu4;na;Eu4
prístavbu;SSfs4;prístavbu;SSfs4
javiska;SSns2;javiska;SSns2
k;Eu3;k;Eu3
cirkevnej;AAfs3x;cirkevnej;AAfs3x
sieni;SSfs3;sieni;SSfs3
na;Eu6;na;Eu6
evanjelickej;AAfs6x;evanjelickej;AAfs6x
fare;SSfs6;fare;SSfs6
.;SENT;.;Z
Potom;Dx;Potom;Dx
prišiel;VLdsci+;prišiel;VLdsci+
koniec;SSis1;koniec;SSis1
vojny;SSfs2;vojny;SSfs2
,;Z;,;Z
bolo;VLescn+;bolo;VLescn+
obnovené;Gtns1x;obnovené;Gtns1x
Československo;SSns1:r;Československo;SSns1:r
,;Z;,;Z
začali;VLdpci+;začali;VLdpci+
sa;R;sa;R
celkom;T;celkom;Dx
iné;PAip4;iné;PAip1
pomery;SSip4;pomery;SSip1
.;SENT;.;Z
Činnosť;SSfs1;Činnosť;SSfs4
nášho;PFns2;nášho;PFns2
združenia;SSns2;združenia;SSns2
zatisli;VLdpcf+;zatisli;VLdpcf+
do;Eu2;do;Eu2
pozadia;SSns2;pozadia;SSns2
iné;PAfp4;iné;PAfp1
potreby;SSfp4;potreby;SSfp1
.;SENT;.;Z
To;PFns1;To;PFns1
sa;R;sa;R
menuje;VKjsc+;menuje;VKjsc+
iniciatívnosť;SSfs1;iniciatívnosť;SSfs1
a;O;a;O
innovatívnosť;SSfs1;innovatívnosť;SSfs1
.;SENT;.;Z
Ľubomír;SSms1:r;Ľubomír;SSms1:r
Ďurovič;SSms1:r;Ďurovič;SSms1:r
ODCHODY;SSip1;ODCHODY;SSip1
A;O;A;O
návraty;SSip1;návraty;SSip1
ĽUBOMÍRA;SSms2:r;ĽUBOMÍRA;SSms2:r
Ďuroviča;SSms2:r;Ďuroviča;SSms2:r
(;Z;(;Z
I;0;I;W
.;SENT;.;Z
);Z;);Z
„;Z;„;Z
Nebyť;VIe-;Nebyť;VIe-
toho;PFns2;toho;PFns2
,;Z;,;Z
Slovensko;SSns1:r;Slovensko;SSns1:r
by;Y;by;Y
dnes;Dx;dnes;Dx
neexistovalo;VLescn-;neexistovalo;VLescn+
,;Z;,;Z
“;Z;“;Z
hovorí;VKesc+;hovorí;VKesc+
Ľubomír;SSms1:r;Ľubomír;SSms1:r
Ďurovič;SSms1:r;Ďurovič;SSms1:r
.;SENT;.;Z
To;PFns1;To;PFns1
je;VKesc+;je;VKesc+
MOŽNO;T;MOŽNO;T
tá;PFfs1;tá;PFfs1
pozitívna;AAfs1x;pozitívna;AAfs1x
stránka;SSfs1;stránka;SSfs1
ROZDELENIA;SSns2;ROZDELENIA;SSns2
REPUBLIKY;SSfs2;REPUBLIKY;SSfs2
.;SENT;.;Z
Negatívnych;AAfp2x;Negatívnych;AAfp2x
stránok;SSfp2;stránok;SSfp2
je;VKesc+;je;VKesc+
množstvo;SSns1;množstvo;SSns1
.;SENT;.;Z
Nakoniec;Dx;Nakoniec;T
,;Z;,;Z
takisto;PD;takisto;PD
môže;VKesc+;môže;VKesc+
aj;T;aj;T
Čech;SSms1:r;Čech;SSms1:r
čítať;VIe+;čítať;VIe+
slovenské;AAns1x;slovenské;AAfp4x
,;Z;,;Z
keby;OY;keby;OY
chcel;VLescm+;chcel;VLescm+
,;Z;,;Z
oni;PFmp1;oni;PFmp1
však;T;však;O
tú;PFfs4;tú;PFfs4
potrebu;SSfs4;potrebu;SSfs4
V;Eu6;V;Eu6
ROVNAKEJ;AAfs6x;ROVNAKEJ;AAfs6x
MIERE;SSfs6;MIERE;SSfs6
nemajú;VKepc-;nemajú;VKepc-
.;SENT;.;Z
“;Z;“;Z
„;Z;„;Z
Konkrétne;Dx;Konkrétne;Dx
je;VKesc+;je;VKesc+
to;PFns1;to;PFns1
obdobie;SSns1;obdobie;SSns1
od;Eu2;od;Eu2
roku;SSis2;roku;SSis2
1963;0;1963;0
do;Eu2;do;Eu2
roku;SSis2;roku;SSis2
1968;0;1968;0
.;SENT;.;Z
Vtedy;PD;Vtedy;PD
sa;R;sa;R
naraz;Dx;naraz;Dx
ukázalo;VLdscn+;ukázalo;VLdscn+
,;Z;,;Z
že;O;že;O
komunistická;AAfs1x;komunistická;AAfs1x
strana;SSfs1;strana;SSfs1
s;Eu7;s;Eu7
jej;PUip7;jej;PUip7
zločineckými;AAip7x;zločineckými;AAip7x
spôsobmi;SSip7;spôsobmi;SSip7
skrachovala;VLdscf+;skrachovala;VLdscf+
.;SENT;.;Z
Vtedy;PD;Vtedy;PD
vyšla;VLdscf+;vyšla;VLdscf+
moja;PFfs1;moja;PFfs1
KNIHA;SSfs1;KNIHA;SSfs1
Paradigmatika;SSfs1;Paradigmatika;SSfs1
spisovnej;AAfs2x;spisovnej;AAfs2x
ruštiny;SSfs2;ruštiny;SSfs2
,;Z;,;Z
ktorá;PAfs1;ktorá;PAfs1
sa;R;sa;R
stala;VLdscf+;stala;VLdscf+
celoštátnou;AAfs7x;celoštátnou;AAfs7x
univerzitnou;AAfs7x;univerzitnou;AAfs7x
učebnicou;SSfs7;učebnicou;SSfs7
ruskej;AAfs2x;ruskej;AAfs2x
TEORETICKEJ;AAfs2x;TEORETICKEJ;AAfs2x
morfológie;SSfs2;morfológie;SSfs2
.;SENT;.;Z
Uvedomovali;VLepah+;Uvedomovali;VLepah+
sme;VKepa+;sme;VKepa+
si;R;si;R
,;Z;,;Z
že;O;že;O
„;Z;„;Z
sa;R;sa;R
môže;VKesc+;môže;VKesc+
“;Z;“;Z
.;SENT;.;Z
Dovtedy;PD;Dovtedy;PD
to;PFns1;to;PFns1
však;T;však;T
bolo;VLescn+;bolo;VLescn+
obdobie;SSns1;obdobie;SSns1
veľkej;AAfs2x;veľkej;AAfs2x
nádeje;SSfs2;nádeje;SSfs2
.;SENT;.;Z
Ja;PPhs1;Ja;PPhs1
ich;PFip4;ich;PFmp4
poznám;VKjsa+;poznám;VKesa+
.;SENT;.;Z
A;O;A;O
mal;VLescm+;mal;VLescm+
pravdu;SSfs4;pravdu;SSfs4
.;SENT;.;Z
Sklamanie;SSns1;Sklamanie;SSns1
po;Eu6;po;Eu6
vojne;SSfs6;vojne;SSfs6
Ľubomír;SSms1:r;Ľubomír;SSms1:r
Ďurovič;SSms1:r;Ďurovič;SSms1:r
do;Eu2;do;Eu2
komunistickej;AAfs2x;komunistickej;AAfs2x
strany;SSfs2;strany;SSfs2
nevstúpil;VLdscm-;nevstúpil;VLdscm-
.;SENT;.;Z
Piateho;NAis2;Piateho;AAis2x
mája;SSis2;mája;SSis2
sa;R;sa;R
začalo;VLdscn+;začalo;VLdscn+
Pražské;AAns1x;Pražské;AAns1x
povstanie;SSns1;povstanie;SSns1
a;O;a;O
z;Eu2;z;Eu2
rádia;SSns2;rádia;SSns2
sa;R;sa;R
ozývala;VLescf+;ozývala;VLescf+
výzva;SSfs1;výzva;SSfs1
o;Eu4;o;Eu4
pomoc;SSfs4;pomoc;SSfs4
.;SENT;.;Z
To;PFns1;To;PFns1
bola;VLescf+;bola;VLescf+
tá;PFfs1;tá;PFfs1
zločinecká;AAfs1x;zločinecká;AAfs1x
časť;SSfs1;časť;SSfs1
komunistickej;AAfs2x;komunistickej;AAfs2x
strany;SSfs2;strany;SSfs2
.;SENT;.;Z
„;Z;„;Z
Môj;PFms1;Môj;PFms1
otec;SSms1;otec;SSms1
bol;VLescm+;bol;VLescm+
selfmademan;SSms1;selfmademan;SSms1
.;SENT;.;Z
Nedávno;Dx;Nedávno;Dx
som;VKesa+;som;VKesa+
odovzdal;VLdsam+;odovzdal;VLdsam+
do;Eu2;do;Eu2
skalického;AAns2x;skalického;AAns2x
Záhorského;AAns2x:r;Záhorského;AAns2x:r
múzea;SSns2;múzea;SSns2
otcove;AFip4x;otcove;AFip4x
denníky;SSip4;denníky;SSip4
.;SENT;.;Z
Je;VKesc+;Je;VKesc+
to;PFns1;to;PFns1
cenná;AAfs1x;cenná;AAfs1x
a;O;a;O
zaujímavá;AAfs1x;zaujímavá;AAfs1x
pamiatka;SSfs1;pamiatka;SSfs1
o;Eu6;o;Eu6
20;0;20;0
.;SENT;.;Z
storočí;SSns6;storočí;SSns6
.;SENT;.;Z
Polovicu;SSfs4;Polovicu;SSfs4
zo;Ev2;zo;Ev2
všetkého;PFns2;všetkého;PFns2
,;Z;,;Z
čo;PFns1;čo;PFns1
vo;Ev6;vo;Ev6
mne;PPhs3;mne;PPhs3
je;VKesc+;je;VKesc+
,;Z;,;Z
mám;VKesa+;mám;VKesa+
z;Eu2;z;Eu2
domu;SSis2;domu;SSis2
,;Z;,;Z
z;Eu2;z;Eu2
toho;PFns2;toho;PFns2
,;Z;,;Z
čo;PFns1;čo;PFns1
sa;R;sa;R
doma;Dx;doma;Dx
povedalo;VLdscn+;povedalo;VLdscn+
,;Z;,;Z
napríklad;T;napríklad;T
pri;Eu6;pri;Eu6
stole;SSis6;stole;SSis6
.;SENT;.;Z
Otec;SSms1;Otec;SSms1
veľa;Dx;veľa;Dx
rozprával;VLescm+;rozprával;VLescm+
o;Eu6;o;Eu6
svojom;PFis6;svojom;PFis6
literárnovednom;AAis6x;literárnovednom;AAis6x
výskume;SSis6;výskume;SSis6
,;Z;,;Z
ale;O;ale;O
nevyhýbali;VLepah-;nevyhýbali;VLepah-
sme;VKepa+;sme;VKepa+
sa;R;sa;R
,;Z;,;Z
samozrejme;T;samozrejme;T
,;Z;,;Z
ani;T;ani;T
súčasným;AAip3x;súčasným;AAip3x
problémom;SSip3;problémom;SSip3
.;SENT;.;Z
Vtedy;PD;Vtedy;PD
mi;PPhs3;mi;PPhs3
utkveli;VLdpco+;utkveli;VLdpco+
v;Eu6;v;Eu6
pamäti;SSfs6;pamäti;SSfs6
dátumy;SSip1;dátumy;SSip1
,;Z;,;Z
mená;SSnp1;mená;SSnp1
i;O;i;O
dôležité;AAfp1x;dôležité;AAfp1x
udalosti;SSfp1;udalosti;SSfp1
z;Eu2;z;Eu2
minulosti;SSfs2;minulosti;SSfs2
,;Z;,;Z
medzi;Eu4;medzi;Eu4
ktoré;PAfp4;ktoré;PAop4
bolo;VLescn+;bolo;VLescn+
neskôr;Dx;neskôr;Dx
ľahšie;AAns1y;ľahšie;Dy
dokladať;VIe+;dokladať;VIe+
nové;AAip4x;nové;AAip4x
dátumy;SSip4;dátumy;SSip4
,;Z;,;Z
mená;SSnp4;mená;SSnp4
i;O;i;O
vzťahy;SSip4;vzťahy;SSip4
.;SENT;.;Z
Mama;SSfs1;Mama;SSfs1
pochádzala;VLescf+;pochádzala;VLescf+
z;Eu2;z;Eu2
rodiny;SSfs2;rodiny;SSfs2
s;Eu7;s;Eu7
generáciami;SSfp7;generáciami;SSfp7
evanjelických;AAmp2x;evanjelických;AAmp2x
farárov;SSmp2;farárov;SSmp2
.;SENT;.;Z
Vzdelanecké;AAns1x;Vzdelanecké;AAns1x
pozadie;SSns1;pozadie;SSns1
rodiny;SSfs2;rodiny;SSfs2
malo;VLescn+;malo;VLescn+
pre;Eu4;pre;Eu4
moju;PFfs4;moju;PFfs4
budúcnosť;SSfs4;budúcnosť;SSfs4
VEĽMI;Dx;VEĽMI;Dx
DÔLEŽITÚ;AAfs4x;DÔLEŽITÚ;AAfs4x
úlohu;SSfs4;úlohu;SSfs4
.;SENT;.;Z
“;Z;“;Z
Rešpektovali;VLepbh+;Rešpektovali;VLepbh+
ste;VKepb+;ste;VKepb+
otca;SSms4;otca;SSms4
bezvýhradne;Dx;bezvýhradne;Dx
?;SENT;?;Z
„;Z;„;Z
Viera;SSfs1;Viera;SSfs1
môže;VKesc+;môže;VKesc+
dávať;VIe+;dávať;VIe+
človeku;SSms3;človeku;SSms3
životnú;AAfs4x;životnú;AAfs4x
