Slovo;Pád;Slovo2;Pád2
osud;nominatív;osud;nominatív
a;;a;
poťešeňí;;poťešeňí;
.;;.;
Jeho;nominatív;Jeho;nominatív
obaja;nominatív;obaja;nominatív
starší;nominatív;starší;nominatív
bratia;nominatív;bratia;nominatív
išli;;išli;
do;;do;
škôl;genitív;škôl;genitív
a;;a;
Ferda;nominatív;Ferda;nominatív
mal;;mal;
prevziať;;prevziať;
obchod;akuzatív;obchod;akuzatív
.;;.;
Intenzívne;;Intenzívne;
sa;;sa;
pamätám;;pamätám;
na;;na;
prístavbu;akuzatív;prístavbu;akuzatív
javiska;genitív;javiska;genitív
k;;k;
cirkevnej;datív;cirkevnej;datív
sieni;datív;sieni;datív
na;;na;
evanjelickej;lokál;evanjelickej;lokál
fare;lokál;fare;lokál
.;;.;
Potom;;Potom;
prišiel;;prišiel;
koniec;nominatív;koniec;nominatív
vojny;genitív;vojny;genitív
,;;,;
bolo;;bolo;
obnovené;nominatív;obnovené;nominatív
Československo;nominatív;Československo;nominatív
,;;,;
začali;;začali;
sa;;sa;
celkom;;celkom;
iné;akuzatív;iné;nominatív
pomery;akuzatív;pomery;nominatív
.;;.;
Činnosť;nominatív;Činnosť;akuzatív
nášho;genitív;nášho;genitív
združenia;genitív;združenia;genitív
zatisli;;zatisli;
do;;do;
pozadia;genitív;pozadia;genitív
iné;akuzatív;iné;nominatív
potreby;akuzatív;potreby;nominatív
.;;.;
To;nominatív;To;nominatív
sa;;sa;
menuje;;menuje;
iniciatívnosť;nominatív;iniciatívnosť;nominatív
a;;a;
innovatívnosť;nominatív;innovatívnosť;nominatív
.;;.;
Ľubomír;nominatív;Ľubomír;nominatív
Ďurovič;nominatív;Ďurovič;nominatív
ODCHODY;nominatív;ODCHODY;nominatív
A;;A;
návraty;nominatív;návraty;nominatív
ĽUBOMÍRA;genitív;ĽUBOMÍRA;genitív
Ďuroviča;genitív;Ďuroviča;genitív
(;;(;
I;;I;
.;;.;
);;);
„;;„;
Nebyť;;Nebyť;
toho;genitív;toho;genitív
,;;,;
Slovensko;nominatív;Slovensko;nominatív
by;;by;
dnes;;dnes;
neexistovalo;;neexistovalo;
,;;,;
“;;“;
hovorí;;hovorí;
Ľubomír;nominatív;Ľubomír;nominatív
Ďurovič;nominatív;Ďurovič;nominatív
.;;.;
To;nominatív;To;nominatív
je;;je;
MOŽNO;;MOŽNO;
tá;nominatív;tá;nominatív
pozitívna;nominatív;pozitívna;nominatív
stránka;nominatív;stránka;nominatív
ROZDELENIA;genitív;ROZDELENIA;genitív
REPUBLIKY;genitív;REPUBLIKY;genitív
.;;.;
Negatívnych;genitív;Negatívnych;genitív
stránok;genitív;stránok;genitív
je;;je;
množstvo;nominatív;množstvo;nominatív
.;;.;
Nakoniec;;Nakoniec;
,;;,;
takisto;;takisto;
môže;;môže;
aj;;aj;
Čech;nominatív;Čech;nominatív
čítať;;čítať;
slovenské;nominatív;slovenské;akuzatív
,;;,;
keby;;keby;
chcel;;chcel;
,;;,;
oni;nominatív;oni;nominatív
však;;však;
tú;akuzatív;tú;akuzatív
potrebu;akuzatív;potrebu;akuzatív
V;;V;
ROVNAKEJ;lokál;ROVNAKEJ;lokál
MIERE;lokál;MIERE;lokál
nemajú;;nemajú;
.;;.;
“;;“;
„;;„;
Konkrétne;;Konkrétne;
je;;je;
to;nominatív;to;nominatív
obdobie;nominatív;obdobie;nominatív
od;;od;
roku;genitív;roku;genitív
1963;;1963;
do;;do;
roku;genitív;roku;genitív
1968;;1968;
.;;.;
Vtedy;;Vtedy;
sa;;sa;
naraz;;naraz;
ukázalo;;ukázalo;
,;;,;
že;;že;
komunistická;nominatív;komunistická;nominatív
strana;nominatív;strana;nominatív
s;;s;
jej;inštrumentál;jej;inštrumentál
zločineckými;inštrumentál;zločineckými;inštrumentál
spôsobmi;inštrumentál;spôsobmi;inštrumentál
skrachovala;;skrachovala;
.;;.;
Vtedy;;Vtedy;
vyšla;;vyšla;
moja;nominatív;moja;nominatív
KNIHA;nominatív;KNIHA;nominatív
Paradigmatika;nominatív;Paradigmatika;nominatív
spisovnej;genitív;spisovnej;genitív
ruštiny;genitív;ruštiny;genitív
,;;,;
ktorá;nominatív;ktorá;nominatív
sa;;sa;
stala;;stala;
celoštátnou;inštrumentál;celoštátnou;inštrumentál
univerzitnou;inštrumentál;univerzitnou;inštrumentál
učebnicou;inštrumentál;učebnicou;inštrumentál
ruskej;genitív;ruskej;genitív
TEORETICKEJ;genitív;TEORETICKEJ;genitív
morfológie;genitív;morfológie;genitív
.;;.;
Uvedomovali;;Uvedomovali;
sme;;sme;
si;;si;
,;;,;
že;;že;
„;;„;
sa;;sa;
môže;;môže;
“;;“;
.;;.;
Dovtedy;;Dovtedy;
to;nominatív;to;nominatív
však;;však;
bolo;;bolo;
obdobie;nominatív;obdobie;nominatív
veľkej;genitív;veľkej;genitív
nádeje;genitív;nádeje;genitív
.;;.;
Ja;nominatív;Ja;nominatív
ich;akuzatív;ich;akuzatív
poznám;;poznám;
.;;.;
A;;A;
mal;;mal;
pravdu;akuzatív;pravdu;akuzatív
.;;.;
Sklamanie;nominatív;Sklamanie;nominatív
po;;po;
vojne;lokál;vojne;lokál
Ľubomír;nominatív;Ľubomír;nominatív
Ďurovič;nominatív;Ďurovič;nominatív
do;;do;
komunistickej;genitív;komunistickej;genitív
strany;genitív;strany;genitív
nevstúpil;;nevstúpil;
.;;.;
Piateho;genitív;Piateho;genitív
mája;genitív;mája;genitív
sa;;sa;
začalo;;začalo;
Pražské;nominatív;Pražské;nominatív
povstanie;nominatív;povstanie;nominatív
a;;a;
z;;z;
rádia;genitív;rádia;genitív
sa;;sa;
ozývala;;ozývala;
výzva;nominatív;výzva;nominatív
o;;o;
pomoc;akuzatív;pomoc;akuzatív
.;;.;
To;nominatív;To;nominatív
bola;;bola;
tá;nominatív;tá;nominatív
zločinecká;nominatív;zločinecká;nominatív
časť;nominatív;časť;nominatív
komunistickej;genitív;komunistickej;genitív
strany;genitív;strany;genitív
.;;.;
„;;„;
Môj;nominatív;Môj;nominatív
otec;nominatív;otec;nominatív
bol;;bol;
selfmademan;nominatív;selfmademan;nominatív
.;;.;
Nedávno;;Nedávno;
som;;som;
odovzdal;;odovzdal;
do;;do;
skalického;genitív;skalického;genitív
Záhorského;genitív;Záhorského;genitív
múzea;genitív;múzea;genitív
otcove;akuzatív;otcove;akuzatív
denníky;akuzatív;denníky;akuzatív
.;;.;
Je;;Je;
to;nominatív;to;nominatív
cenná;nominatív;cenná;nominatív
a;;a;
zaujímavá;nominatív;zaujímavá;nominatív
pamiatka;nominatív;pamiatka;nominatív
o;;o;
20;;20;
.;;.;
storočí;lokál;storočí;lokál
.;;.;
Polovicu;akuzatív;Polovicu;akuzatív
zo;;zo;
všetkého;genitív;všetkého;genitív
,;;,;
čo;nominatív;čo;nominatív
vo;;vo;
mne;datív;mne;datív
je;;je;
,;;,;
mám;;mám;
z;;z;
domu;genitív;domu;genitív
,;;,;
z;;z;
toho;genitív;toho;genitív
,;;,;
čo;nominatív;čo;nominatív
sa;;sa;
doma;;doma;
povedalo;;povedalo;
,;;,;
napríklad;;napríklad;
pri;;pri;
stole;lokál;stole;lokál
.;;.;
Otec;nominatív;Otec;nominatív
veľa;;veľa;
rozprával;;rozprával;
o;;o;
svojom;lokál;svojom;lokál
literárnovednom;lokál;literárnovednom;lokál
výskume;lokál;výskume;lokál
,;;,;
ale;;ale;
nevyhýbali;;nevyhýbali;
sme;;sme;
sa;;sa;
,;;,;
samozrejme;;samozrejme;
,;;,;
ani;;ani;
súčasným;datív;súčasným;datív
problémom;datív;problémom;datív
.;;.;
Vtedy;;Vtedy;
mi;datív;mi;datív
utkveli;;utkveli;
v;;v;
pamäti;lokál;pamäti;lokál
dátumy;nominatív;dátumy;nominatív
,;;,;
mená;nominatív;mená;nominatív
i;;i;
dôležité;nominatív;dôležité;nominatív
udalosti;nominatív;udalosti;nominatív
z;;z;
minulosti;genitív;minulosti;genitív
,;;,;
medzi;;medzi;
ktoré;akuzatív;ktoré;akuzatív
bolo;;bolo;
neskôr;;neskôr;
ľahšie;nominatív;ľahšie;
dokladať;;dokladať;
nové;akuzatív;nové;akuzatív
dátumy;akuzatív;dátumy;akuzatív
,;;,;
mená;akuzatív;mená;akuzatív
i;;i;
vzťahy;akuzatív;vzťahy;akuzatív
.;;.;
Mama;nominatív;Mama;nominatív
pochádzala;;pochádzala;
z;;z;
rodiny;genitív;rodiny;genitív
s;;s;
generáciami;inštrumentál;generáciami;inštrumentál
evanjelických;genitív;evanjelických;genitív
farárov;genitív;farárov;genitív
.;;.;
Vzdelanecké;nominatív;Vzdelanecké;nominatív
pozadie;nominatív;pozadie;nominatív
rodiny;genitív;rodiny;genitív
malo;;malo;
pre;;pre;
moju;akuzatív;moju;akuzatív
budúcnosť;akuzatív;budúcnosť;akuzatív
VEĽMI;;VEĽMI;
DÔLEŽITÚ;akuzatív;DÔLEŽITÚ;akuzatív
úlohu;akuzatív;úlohu;akuzatív
.;;.;
“;;“;
Rešpektovali;;Rešpektovali;
ste;;ste;
otca;akuzatív;otca;akuzatív
bezvýhradne;;bezvýhradne;
?;;?;
„;;„;
Viera;nominatív;Viera;nominatív
môže;;môže;
dávať;;dávať;
človeku;datív;človeku;datív
životnú;akuzatív;životnú;akuzatív
istotu;akuzatív;istotu;akuzatív
“;;“;
,;;,;
mieni;;mieni;
profesor;nominatív;profesor;nominatív
Ďurovič;nominatív;Ďurovič;nominatív
.;;.;
Faktom;inštrumentál;Faktom;inštrumentál
je;;je;
,;;,;
že;;že;
náboženský;nominatív;náboženský;nominatív
fundamentalizmus;nominatív;fundamentalizmus;nominatív
prežíva;;prežíva;
svoju;akuzatív;svoju;akuzatív
regeneráciu;akuzatív;regeneráciu;akuzatív
.;;.;
“;;“;
Bavilo;;Bavilo;
ma;akuzatív;ma;akuzatív
písať;;písať;
kompozície;akuzatív;kompozície;akuzatív
a;;a;
na;;na;
vynikajúcom;lokál;vynikajúcom;lokál
skalickom;lokál;skalickom;lokál
gymnáziu;lokál;gymnáziu;lokál
boli;;boli;
veľmi;;veľmi;
dobré;nominatív;dobré;nominatív
podmienky;nominatív;podmienky;nominatív
pre;;pre;
kultúru;akuzatív;kultúru;akuzatív
.;;.;
Nevyhýbali;;Nevyhýbali;
sme;;sme;
sa;;sa;
ani;;ani;
politike;datív;politike;datív
.;;.;
Môj;nominatív;Môj;nominatív
otec;nominatív;otec;nominatív
po;;po;
jeho;lokál;jeho;lokál
rozpade;lokál;rozpade;lokál
niekoľko;akuzatív;niekoľko;akuzatív
týždňov;genitív;týždňov;genitív
nespal;;nespal;
.;;.;
.;;.;
.;;.;
.;;.;
.;;.;
.;;.;
MÔJ;nominatív;MÔJ;nominatív
PRIMÁRNY;nominatív;PRIMÁRNY;nominatív
ZÁUJEM;nominatív;ZÁUJEM;nominatív
BOLI;;BOLI;
HUMANIÓRA;nominatív;HUMANIÓRA;nominatív
.;;.;
Umožniť;;Umožniť;
jazykovedcovi;datív;jazykovedcovi;datív
rozhovoriť;;rozhovoriť;
sa;;sa;
o;;o;
systéme;lokál;systéme;lokál
v;;v;
jazyku;lokál;jazyku;lokál
,;;,;
prináša;;prináša;
zdanlivo;;zdanlivo;
nebezpečenstvo;nominatív;nebezpečenstvo;akuzatív
,;;,;
že;;že;
sa;;sa;
vstúpi;;vstúpi;
do;;do;
nezaujímavého;genitív;nezaujímavého;genitív
a;;a;
nudného;genitív;nudného;genitív
sveta;genitív;sveta;genitív
.;;.;
„;;„;
Ypsilon;nominatív;Ypsilon;nominatív
ako;;ako;
hláska;nominatív;hláska;nominatív
nie;;nie;
je;;je;
funkčný;nominatív;funkčný;nominatív
a;;a;
v;;v;
slovenskom;lokál;slovenskom;lokál
jazyku;lokál;jazyku;lokál
takej;genitív;takej;genitív
hlásky;genitív;hlásky;genitív
niet;;niet;
.;;.;
Ale;;Ale;
takto;;takto;
sa;;sa;
hovorí;;hovorí;
v;;v;
Mikuláši;lokál;Mikuláši;lokál
!;;!;
Ukazuje;;Ukazuje;
sa;;sa;
teda;;teda;
,;;,;
že;;že;
tým;inštrumentál;tým;inštrumentál
stredoslovenským;inštrumentál;stredoslovenským;inštrumentál
nárečím;inštrumentál;nárečím;inštrumentál
,;;,;
ktorÉ;akuzatív;ktorÉ;akuzatív
Štúrovci;nominatív;Štúrovci;nominatív
povýšili;;povýšili;
na;;na;
spisovný;akuzatív;spisovný;akuzatív
JAZYK;akuzatív;JAZYK;akuzatív
,;;,;
bol;;bol;
prestížny;nominatív;prestížny;nominatív
liptovský;nominatív;liptovský;nominatív
mestský;nominatív;mestský;nominatív
jazyk;nominatív;jazyk;nominatív
.;;.;
Presvedčil;;Presvedčil;
Záborského;akuzatív;Záborského;akuzatív
,;;,;
že;;že;
správna;nominatív;správna;nominatív
slovenská;nominatív;slovenská;nominatív
výslovnosť;nominatív;výslovnosť;nominatív
je;;je;
„;;„;
ľist;;ľist;
“;;“;
.;;.;
V;;V;
lete;lokál;lete;lokál
1948;;1948;
v;;v;
Prahe;lokál;Prahe;lokál
zažiadal;;zažiadal;
o;;o;
zahraničné;akuzatív;zahraničné;akuzatív
štipendium;akuzatív;štipendium;akuzatív
.;;.;
VEĽMI;;VEĽMI;
KOMPLIKOVANOU;inštrumentál;KOMPLIKOVANOU;inštrumentál
ZHODOU;inštrumentál;ZHODOU;inštrumentál
OKOLNOSTÍ;genitív;OKOLNOSTÍ;genitív
HO;akuzatív;HO;akuzatív
PO;;PO;
ROKU;lokál;ROKU;lokál
dostal;;dostal;
a;;a;
odišiel;;odišiel;
;;;
ROK;akuzatív;ROK;akuzatív
do;;do;
Nórska;genitív;Nórska;genitív
.;;.;
Keď;;Keď;
sa;;sa;
začal;;začal;
semester;nominatív;semester;nominatív
,;;,;
pustil;;pustil;
som;;som;
sa;;sa;
pod;;pod;
vedením;inštrumentál;vedením;inštrumentál
profesora;genitív;profesora;genitív
SommerfelTa;genitív;SommerfelTa;genitív
do;;do;
čítania;genitív;čítania;genitív
textov;genitív;textov;genitív
.;;.;
Rozprávanie;nominatív;Rozprávanie;nominatív
Ľubomíra;genitív;Ľubomíra;genitív
Ďuroviča;genitív;Ďuroviča;genitív
PRIPRAVILA;;PRIPRAVILA;
Kveta;nominatív;Kveta;nominatív
Škvarková;nominatív;Škvarková;nominatív
.;;.;
Protiprávna;nominatív;Protiprávna;nominatív
vojna;nominatív;vojna;nominatív
v;;v;
Iraku;lokál;Iraku;lokál
,;;,;
ktorú;akuzatív;ktorú;akuzatív
rozpútala;;rozpútala;
nesvätá;nominatív;nesvätá;nominatív
aliancia;nominatív;aliancia;nominatív
náboženských;genitív;náboženských;genitív
fundamentalistov;genitív;fundamentalistov;genitív
,;;,;
megalománov;genitív;megalománov;genitív
a;;a;
kšeftárov;genitív;kšeftárov;genitív
,;;,;
je;;je;
cynickým;inštrumentál;cynickým;inštrumentál
výsmechom;inštrumentál;výsmechom;inštrumentál
všetkých;genitív;všetkých;genitív
hodnôt;genitív;hodnôt;genitív
,;;,;
ktoré;akuzatív;ktoré;akuzatív
naša;nominatív;naša;nominatív
západná;nominatív;západná;nominatív
civilizácia;nominatív;civilizácia;nominatív
pokladá;;pokladá;
za;;za;
nedotknuteľné;akuzatív;nedotknuteľné;akuzatív
.;;.;
Po;;Po;
ukončení;lokál;ukončení;lokál
tejto;genitív;tejto;genitív
vojny;genitív;vojny;genitív
nádejou;inštrumentál;nádejou;inštrumentál
sveta;genitív;sveta;genitív
je;;je;
zmena;nominatív;zmena;nominatív
.;;.;
Koruna;nominatív;Koruna;nominatív
Sv;;Sv;
.;;.;
Štefana;genitív;Štefana;genitív
a;;a;
ostrihomský;nominatív;ostrihomský;nominatív
Primas;;Primas;
Hungariae;;Hungariae;
sa;;sa;
stali;;stali;
