Slovo;Slovný druh;Slovo2;Slovný druh2
.;Interpunkcia;.;Interpunkcia
Podla;Predlozka;Podla;Sloveso
principu;Podstatne meno;principu;Podstatné meno
siedmich;Cislovka;siedmich;Číslovka
slobodnych;Pridavne meno;slobodnych;Prídavné meno
umeni;Podstatne meno;umeni;Podstatné meno
prvym;Cislovka;prvym;Prídavné meno
stupnom;Podstatne meno;stupnom;Podstatné meno
trivia;Podstatne meno;trivia;Podstatné meno
je;Sloveso;je;Sloveso
gramatika;Podstatne meno;gramatika;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Europska;Pridavne meno;Europska;Prídavné meno
unia;Podstatne meno;unia;Podstatné meno
,;Interpunkcia;,;Interpunkcia
cize;Spojka;cize;Citový výraz
rozmienanie;Podstatne meno;rozmienanie;Podstatné meno
velkych;Pridavne meno;velkych;Prídavné meno
bankoviek;Podstatne meno;bankoviek;Podstatné meno
na;Predlozka;na;Predložka
drobne;Pridavne meno;drobne;Číslovka
mince;Podstatne meno;mince;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Toto;Zameno;Toto;Zámeno
stieranie;Podstatne meno;stieranie;Podstatné meno
hranic;Podstatne meno;hranic;Podstatné meno
je;Sloveso;je;Sloveso
velmi;Prislovka;velmi;Podstatné meno
prijemne;Pridavne meno;prijemne;Príslovka
,;Interpunkcia;,;Interpunkcia
pokial;Spojka;pokial;Neurčiteľný slovný druh
ide;Sloveso;ide;Sloveso
o;Predlozka;o;Predložka
poriadneho;Pridavne meno;poriadneho;Prídavné meno
obcana;Podstatne meno;obcana;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ktory;Zameno;ktory;Podstatné meno
cestuje;Sloveso;cestuje;Sloveso
za;Predlozka;za;Predložka
svojim;Zameno;svojim;Zámeno
obchodom;Podstatne meno;obchodom;Podstatné meno
alebo;Spojka;alebo;Spojka
za;Predlozka;za;Predložka
svojou;Zameno;svojou;Zámeno
dovolenkou;Podstatne meno;dovolenkou;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Lubomir;Podstatne meno;Lubomir;Citový výraz
Durovic;Podstatne meno;Durovic;Citový výraz
Pojem;Podstatne meno;Pojem;Podstatné meno
slavico;Citovy vyraz;slavico;Citový výraz
-;Interpunkcia;-;Interpunkcia
bohemicus;Citovy vyraz;bohemicus;Citový výraz
zo;Predlozka;zo;Predložka
zaciatku;Podstatne meno;zaciatku;Podstatné meno
XVIII;Cislica;XVIII;Číslica
.;Interpunkcia;.;Interpunkcia
storocia;Podstatne meno;storocia;Podstatné meno
je;Sloveso;je;Sloveso
zaciatok;Podstatne meno;zaciatok;Podstatné meno
pojmu;Podstatne meno;pojmu;Podstatné meno
cesko;Neurcitelny slovny druh;cesko;Neurčiteľný slovný druh
(;Interpunkcia;(;Interpunkcia
-;Interpunkcia;-;Interpunkcia
);Interpunkcia;);Interpunkcia
slovensky;Pridavne meno;slovensky;Príslovka
.;Interpunkcia;.;Interpunkcia
Krman;Podstatne meno;Krman;Podstatné meno
si;Zvratne zameno;si;Zvratné zámeno
bol;Sloveso;bol;Sloveso
vedomy;Pridavne meno;vedomy;Citový výraz
,;Interpunkcia;,;Interpunkcia
ze;Spojka;ze;Citový výraz
meno;Podstatne meno;meno;Podstatné meno
Slovakov;Podstatne meno;Slovakov;Podstatné meno
treba;Prislovka;treba;Príslovka
aj;Castica;aj;Častica
v;Predlozka;v;Predložka
latincine;Podstatne meno;latincine;Podstatné meno
odlisovat;Sloveso;odlisovat;Podstatné meno
od;Predlozka;od;Predložka
vseobecneho;Pridavne meno;vseobecneho;Prídavné meno
nazvu;Podstatne meno;nazvu;Podstatné meno
slavi;Citovy vyraz;slavi;Citový výraz
a;Spojka;a;Spojka
vytvoril;Sloveso;vytvoril;Sloveso
nove;Pridavne meno;nove;Podstatné meno
slovo;Podstatne meno;slovo;Podstatné meno
slovacii;Citovy vyraz;slovacii;Citový výraz
.;Interpunkcia;.;Interpunkcia
Druha;Cislovka;Druha;Sloveso
Dolezalova;Pridavne meno;Dolezalova;Prídavné meno
inovacia;Podstatne meno;inovacia;Prídavné meno
je;Sloveso;je;Sloveso
v;Predlozka;v;Predložka
gramatickom;Pridavne meno;gramatickom;Prídavné meno
popise;Podstatne meno;popise;Podstatné meno
tohto;Zameno;tohto;Zámeno
jazyka;Podstatne meno;jazyka;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Obsiahly;Pridavne meno;Obsiahly;Prídavné meno
vlastivedny;Pridavne meno;vlastivedny;Prídavné meno
uvod;Podstatne meno;uvod;Podstatné meno
(;Interpunkcia;(;Interpunkcia
Praefatio;Citovy vyraz;Praefatio;Citový výraz
);Interpunkcia;);Interpunkcia
k;Predlozka;k;Predložka
Dolezalovej;Pridavne meno;Dolezalovej;Prídavné meno
gramatike;Podstatne meno;gramatike;Podstatné meno
napisal;Sloveso;napisal;Sloveso
o;Predlozka;o;Predložka
generaciu;Podstatne meno;generaciu;Podstatné meno
starsi;Pridavne meno;starsi;Zámeno
Matej;Podstatne meno;Matej;Podstatné meno
Bel;Podstatne meno;Bel;Podstatné meno
.;Interpunkcia;.;Interpunkcia
V;Predlozka;V;Predložka
kazdom;Zameno;kazdom;Zámeno
pripade;Podstatne meno;pripade;Podstatné meno
aj;Castica;aj;Častica
text;Podstatne meno;text;Podstatné meno
jeho;Zameno;jeho;Zámeno
uvodu;Podstatne meno;uvodu;Podstatné meno
dal;Sloveso;dal;Sloveso
Dolezalovej;Pridavne meno;Dolezalovej;Prídavné meno
gramatike;Podstatne meno;gramatike;Podstatné meno
punc;Podstatne meno;punc;Podstatné meno
najautoritativnejsieho;Pridavne meno;najautoritativnejsieho;Prídavné meno
zdroja;Podstatne meno;zdroja;Podstatné meno
poznania;Podstatne meno;poznania;Podstatné meno
vtedajsieho;Pridavne meno;vtedajsieho;Prídavné meno
spisovneho;Pridavne meno;spisovneho;Prídavné meno
jazyka;Podstatne meno;jazyka;Podstatné meno
Cechov;Podstatne meno;Cechov;Podstatné meno
i;Spojka;i;Spojka
Slovakov;Podstatne meno;Slovakov;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Tato;Zameno;Tato;Neurčiteľný slovný druh
kralicka;Pridavne meno;kralicka;Prídavné meno
norma;Podstatne meno;norma;Podstatné meno
je;Sloveso;je;Sloveso
dodnes;Prislovka;dodnes;Príslovka
zakladom;Podstatne meno;zakladom;Podstatné meno
spisovnej;Pridavne meno;spisovnej;Prídavné meno
cestiny;Podstatne meno;cestiny;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Sturovsky;Pridavne meno;Sturovsky;Podstatné meno
novy;Pridavne meno;novy;Podstatné meno
slovensky;Pridavne meno;slovensky;Príslovka
spisovny;Pridavne meno;spisovny;Prídavné meno
jazyk;Podstatne meno;jazyk;Podstatné meno
ma;Sloveso;ma;Zámeno
niekolko;Zameno;niekolko;Zámeno
vrstiev;Podstatne meno;vrstiev;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Radikalnou;Pridavne meno;Radikalnou;Prídavné meno
inovaciou;Podstatne meno;inovaciou;Podstatné meno
je;Sloveso;je;Sloveso
hlaskoslovie;Podstatne meno;hlaskoslovie;Podstatné meno
a;Spojka;a;Spojka
tvaroslovie;Podstatne meno;tvaroslovie;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Lubomir;Podstatne meno;Lubomir;Citový výraz
Durovic;Podstatne meno;Durovic;Citový výraz
Profesor;Podstatne meno;Profesor;Podstatné meno
Eugen;Podstatne meno;Eugen;Podstatné meno
Jona;Podstatne meno;Jona;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ktory;Zameno;ktory;Podstatné meno
sa;Zvratne zameno;sa;Zvratné zámeno
dejinami;Podstatne meno;dejinami;Podstatné meno
spisovnej;Pridavne meno;spisovnej;Prídavné meno
slovenciny;Podstatne meno;slovenciny;Podstatné meno
dlhe;Pridavne meno;dlhe;Citový výraz
roky;Podstatne meno;roky;Podstatné meno
zaoberal;Sloveso;zaoberal;Sloveso
,;Interpunkcia;,;Interpunkcia
si;Zvratne zameno;si;Zvratné zámeno
uvedomil;Sloveso;uvedomil;Sloveso
potrebu;Podstatne meno;potrebu;Podstatné meno
dat;Sloveso;dat;Značky
do;Predlozka;do;Predložka
ruk;Podstatne meno;ruk;Podstatné meno
slovenskej;Pridavne meno;slovenskej;Prídavné meno
i;Spojka;i;Spojka
medzinarodnej;Pridavne meno;medzinarodnej;Prídavné meno
vedeckej;Pridavne meno;vedeckej;Prídavné meno
verejnosti;Podstatne meno;verejnosti;Podstatné meno
dostatocne;Prislovka;dostatocne;Sloveso
pristupny;Pridavne meno;pristupny;Prídavné meno
skutocny;Pridavne meno;skutocny;Prídavné meno
text;Podstatne meno;text;Podstatné meno
tohto;Zameno;tohto;Zámeno
zakladneho;Pridavne meno;zakladneho;Prídavné meno
diela;Podstatne meno;diela;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Lubomir;Podstatne meno;Lubomir;Citový výraz
Durovic;Podstatne meno;Durovic;Citový výraz
Lubomir;Podstatne meno;Lubomir;Citový výraz
Durovic;Podstatne meno;Durovic;Citový výraz
profesor;Podstatne meno;profesor;Podstatné meno
slovanskych;Pridavne meno;slovanskych;Prídavné meno
jazykov;Podstatne meno;jazykov;Podstatné meno
Cesko;Neurcitelny slovny druh;Cesko;Neurčiteľný slovný druh
-;Interpunkcia;-;Interpunkcia
slovenske;Pridavne meno;slovenske;Prídavné meno
kulturne;Pridavne meno;kulturne;Prídavné meno
kontinuum;Podstatne meno;kontinuum;Podstatné meno
Ku;Predlozka;Ku;Predložka
konfliktom;Podstatne meno;konfliktom;Podstatné meno
a;Spojka;a;Spojka
nedorozumeniam;Podstatne meno;nedorozumeniam;Podstatné meno
vyrazne;Prislovka;vyrazne;Príslovka
prispelo;Sloveso;prispelo;Sloveso
aj;Castica;aj;Častica
to;Zameno;to;Zámeno
,;Interpunkcia;,;Interpunkcia
ze;Spojka;ze;Citový výraz
sa;Zvratne zameno;sa;Zvratné zámeno
madarske;Pridavne meno;madarske;Prídavné meno
"""";Interpunkcia;"""";Interpunkcia
nemzet;Neurcitelny slovny druh;nemzet;Neurčiteľný slovný druh
"""";Interpunkcia;"""";Interpunkcia
da;Sloveso;da;Neurčiteľný slovný druh
pouzivat;Sloveso;pouzivat;Neurčiteľný slovný druh
v;Predlozka;v;Predložka
oboch;Cislovka;oboch;Číslovka
tychto;Zameno;tychto;Zámeno
vyznamoch;Podstatne meno;vyznamoch;Podstatné meno
.;Interpunkcia;.;Interpunkcia
To;Zameno;To;Zámeno
malo;Sloveso;malo;Sloveso
obrovsky;Pridavne meno;obrovsky;Príslovka
narodnozachovny;Pridavne meno;narodnozachovny;Prídavné meno
vyznam;Podstatne meno;vyznam;Podstatné meno
v;Predlozka;v;Predložka
druhej;Cislovka;druhej;Číslovka
polovici;Podstatne meno;polovici;Podstatné meno
XIX;Cislica;XIX;Číslica
.;Interpunkcia;.;Interpunkcia
storocia;Podstatne meno;storocia;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ked;Spojka;ked;Spojka
madarizacia;Podstatne meno;madarizacia;Podstatné meno
realne;Prislovka;realne;Príslovka
ohrozovala;Sloveso;ohrozovala;Sloveso
samotnu;Pridavne meno;samotnu;Prídavné meno
existenciu;Podstatne meno;existenciu;Podstatné meno
slovenskeho;Pridavne meno;slovenskeho;Prídavné meno
naroda;Podstatne meno;naroda;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Lubomir;Podstatne meno;Lubomir;Podstatné meno
Durovic;Podstatne meno;Durovic;Podstatné meno
Mal;Sloveso;Mal;Sloveso
som;Sloveso;som;Sloveso
velke;Pridavne meno;velke;Prídavné meno
potesenie;Podstatne meno;potesenie;Podstatné meno
z;Predlozka;z;Predložka
knizky;Podstatne meno;knizky;Podstatné meno
Antona;Podstatne meno;Antona;Podstatné meno
Dinku;Podstatne meno;Dinku;Podstatné meno
Skalica;Podstatne meno;Skalica;Podstatné meno
"""";Interpunkcia;"""";Interpunkcia
moja;Zameno;moja;Zámeno
laska;Podstatne meno;laska;Podstatné meno
,;Interpunkcia;,;Interpunkcia
osud;Podstatne meno;osud;Podstatné meno
a;Spojka;a;Spojka
poteseni;Neurcitelny slovny druh;poteseni;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Jeho;Zameno;Jeho;Zámeno
obaja;Cislovka;obaja;Číslovka
starsi;Pridavne meno;starsi;Prídavné meno
bratia;Podstatne meno;bratia;Podstatné meno
isli;Sloveso;isli;Sloveso
do;Predlozka;do;Predložka
skol;Podstatne meno;skol;Podstatné meno
a;Spojka;a;Spojka
Ferda;Podstatne meno;Ferda;Podstatné meno
mal;Sloveso;mal;Sloveso
prevziat;Sloveso;prevziat;Číslovka
obchod;Podstatne meno;obchod;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Intenzivne;Prislovka;Intenzivne;Príslovka
sa;Zvratne zameno;sa;Zvratné zámeno
pamatam;Sloveso;pamatam;Sloveso
na;Predlozka;na;Predložka
pristavbu;Podstatne meno;pristavbu;Podstatné meno
javiska;Podstatne meno;javiska;Podstatné meno
k;Predlozka;k;Predložka
cirkevnej;Pridavne meno;cirkevnej;Prídavné meno
sieni;Podstatne meno;sieni;Podstatné meno
na;Predlozka;na;Predložka
evanjelickej;Pridavne meno;evanjelickej;Prídavné meno
fare;Podstatne meno;fare;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Potom;Prislovka;Potom;Príslovka
prisiel;Sloveso;prisiel;Sloveso
koniec;Podstatne meno;koniec;Podstatné meno
vojny;Podstatne meno;vojny;Podstatné meno
,;Interpunkcia;,;Interpunkcia
bolo;Sloveso;bolo;Sloveso
obnovene;Pricastie - Sloveso;obnovene;Príslovka
Ceskoslovensko;Podstatne meno;Ceskoslovensko;Podstatné meno
,;Interpunkcia;,;Interpunkcia
zacali;Sloveso;zacali;Sloveso
sa;Zvratne zameno;sa;Zvratné zámeno
celkom;Prislovka;celkom;Častica
ine;Zameno;ine;Prídavné meno
pomery;Podstatne meno;pomery;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Cinnost;Podstatne meno;Cinnost;Citový výraz
nasho;Zameno;nasho;Citový výraz
zdruzenia;Podstatne meno;zdruzenia;Citový výraz
zatisli;Sloveso;zatisli;Sloveso
do;Predlozka;do;Predložka
pozadia;Podstatne meno;pozadia;Podstatné meno
ine;Zameno;ine;Prídavné meno
potreby;Podstatne meno;potreby;Podstatné meno
.;Interpunkcia;.;Interpunkcia
To;Zameno;To;Zámeno
sa;Zvratne zameno;sa;Zvratné zámeno
menuje;Sloveso;menuje;Sloveso
iniciativnost;Podstatne meno;iniciativnost;Podstatné meno
a;Spojka;a;Spojka
innovativnost;Podstatne meno;innovativnost;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Lubomir;Podstatne meno;Lubomir;Citový výraz
Durovic;Podstatne meno;Durovic;Citový výraz
ODCHODY;Podstatne meno;ODCHODY;Podstatné meno
A;Spojka;A;Citový výraz
navraty;Podstatne meno;navraty;Citový výraz
LUBOMIRA;Podstatne meno;LUBOMIRA;Citový výraz
Durovica;Podstatne meno;Durovica;Citový výraz
(;Interpunkcia;(;Interpunkcia
I;Znacky;I;Číslica
.;Interpunkcia;.;Interpunkcia
);Interpunkcia;);Interpunkcia
"""";Interpunkcia;"""";Interpunkcia
Nebyt;Sloveso;Nebyt;Podstatné meno
toho;Zameno;toho;Zámeno
,;Interpunkcia;,;Interpunkcia
Slovensko;Podstatne meno;Slovensko;Podstatné meno
by;Kondicionalova morfema;by;Kondicionálová morféma
dnes;Prislovka;dnes;Príslovka
neexistovalo;Sloveso;neexistovalo;Sloveso
,;Interpunkcia;,;Interpunkcia
"""";Interpunkcia;"""";Interpunkcia
hovori;Sloveso;hovori;Citový výraz
Lubomir;Podstatne meno;Lubomir;Citový výraz
Durovic;Podstatne meno;Durovic;Citový výraz
.;Interpunkcia;.;Interpunkcia
To;Zameno;To;Zámeno
je;Sloveso;je;Sloveso
MOZNO;Castica;MOZNO;Častica
ta;Zameno;ta;Zámeno
pozitivna;Pridavne meno;pozitivna;Prídavné meno
stranka;Podstatne meno;stranka;Podstatné meno
ROZDELENIA;Podstatne meno;ROZDELENIA;Podstatné meno
REPUBLIKY;Podstatne meno;REPUBLIKY;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Negativnych;Pridavne meno;Negativnych;Prídavné meno
stranok;Podstatne meno;stranok;Podstatné meno
je;Sloveso;je;Sloveso
mnozstvo;Podstatne meno;mnozstvo;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Nakoniec;Castica;Nakoniec;Príslovka
,;Interpunkcia;,;Interpunkcia
takisto;Zameno;takisto;Zámeno
moze;Sloveso;moze;Citový výraz
aj;Castica;aj;Spojka
Cech;Podstatne meno;Cech;Citový výraz
citat;Sloveso;citat;Citový výraz
slovenske;Pridavne meno;slovenske;Prídavné meno
,;Interpunkcia;,;Interpunkcia
keby;Spojka;keby;Spojka
chcel;Sloveso;chcel;Sloveso
,;Interpunkcia;,;Interpunkcia
oni;Zameno;oni;Zámeno
vsak;Spojka;vsak;Zámeno
tu;Zameno;tu;Zámeno
potrebu;Podstatne meno;potrebu;Podstatné meno
V;Predlozka;V;Predložka
ROVNAKEJ;Pridavne meno;ROVNAKEJ;Prídavné meno
MIERE;Podstatne meno;MIERE;Podstatné meno
nemaju;Sloveso;nemaju;Podstatné meno
.;Interpunkcia;.;Interpunkcia
"""";Interpunkcia;"""";Interpunkcia
"""";Interpunkcia;"""";Interpunkcia
Konkretne;Prislovka;Konkretne;Príslovka
je;Sloveso;je;Sloveso
to;Zameno;to;Zámeno
obdobie;Podstatne meno;obdobie;Podstatné meno
od;Predlozka;od;Predložka
roku;Podstatne meno;roku;Podstatné meno
1963;Cislica;"""";Interpunkcia
do;Predlozka;do;Predložka
roku;Podstatne meno;roku;Podstatné meno
1968;Cislica;"""";Interpunkcia
.;Interpunkcia;.;Interpunkcia
Vtedy;Zameno;Vtedy;Zámeno
sa;Zvratne zameno;sa;Zvratné zámeno
naraz;Prislovka;naraz;Príslovka
ukazalo;Sloveso;ukazalo;Sloveso
,;Interpunkcia;,;Interpunkcia
ze;Spojka;ze;Citový výraz
komunisticka;Pridavne meno;komunisticka;Prídavné meno
strana;Podstatne meno;strana;Podstatné meno
s;Predlozka;s;Predložka
jej;Zameno;jej;Zámeno
zlocineckymi;Pridavne meno;zlocineckymi;Prídavné meno
sposobmi;Podstatne meno;sposobmi;Podstatné meno
skrachovala;Sloveso;skrachovala;Sloveso
.;Interpunkcia;.;Interpunkcia
Vtedy;Zameno;Vtedy;Zámeno
vysla;Sloveso;vysla;Sloveso
moja;Zameno;moja;Zámeno
KNIHA;Podstatne meno;KNIHA;Podstatné meno
Paradigmatika;Podstatne meno;Paradigmatika;Podstatné meno
spisovnej;Pridavne meno;spisovnej;Prídavné meno
rustiny;Podstatne meno;rustiny;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ktora;Zameno;ktora;Podstatné meno
sa;Zvratne zameno;sa;Zvratné zámeno
stala;Sloveso;stala;Sloveso
celostatnou;Pridavne meno;celostatnou;Prídavné meno
univerzitnou;Pridavne meno;univerzitnou;Prídavné meno
ucebnicou;Podstatne meno;ucebnicou;Podstatné meno
ruskej;Pridavne meno;ruskej;Prídavné meno
TEORETICKEJ;Pridavne meno;TEORETICKEJ;Prídavné meno
morfologie;Podstatne meno;morfologie;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Uvedomovali;Sloveso;Uvedomovali;Sloveso
sme;Sloveso;sme;Sloveso
si;Zvratne zameno;si;Zvratné zámeno
,;Interpunkcia;,;Interpunkcia
ze;Spojka;ze;Citový výraz
"""";Interpunkcia;"""";Interpunkcia
sa;Zvratne zameno;sa;Citový výraz
moze;Sloveso;moze;Citový výraz
"""";Interpunkcia;"""";Interpunkcia
.;Interpunkcia;.;Interpunkcia
Dovtedy;Zameno;Dovtedy;Zámeno
to;Zameno;to;Zámeno
vsak;Castica;vsak;Častica
bolo;Sloveso;bolo;Sloveso
obdobie;Podstatne meno;obdobie;Podstatné meno
velkej;Pridavne meno;velkej;Prídavné meno
nadeje;Podstatne meno;nadeje;Sloveso
.;Interpunkcia;.;Interpunkcia
Ja;Zameno;Ja;Zámeno
ich;Zameno;ich;Zámeno
poznam;Sloveso;poznam;Sloveso
.;Interpunkcia;.;Interpunkcia
A;Spojka;A;Častica
mal;Sloveso;mal;Sloveso
pravdu;Podstatne meno;pravdu;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Sklamanie;Podstatne meno;Sklamanie;Podstatné meno
po;Predlozka;po;Predložka
vojne;Podstatne meno;vojne;Podstatné meno
Lubomir;Podstatne meno;Lubomir;Citový výraz
Durovic;Podstatne meno;Durovic;Citový výraz
do;Predlozka;do;Predložka
komunistickej;Pridavne meno;komunistickej;Prídavné meno
strany;Podstatne meno;strany;Podstatné meno
