Slovo;Číslo;Slovo2;Číslo2
,;;,;
ktorý;jednotné;ktorý;jednotné
cestuje;jednotné;cestuje;jednotné
za;;za;
svojím;jednotné;svojím;jednotné
obchodom;jednotné;obchodom;jednotné
alebo;;alebo;
za;;za;
svojou;jednotné;svojou;jednotné
dovolenkou;jednotné;dovolenkou;jednotné
.;;.;
Ľubomír;jednotné;Ľubomír;jednotné
Ďurovič;jednotné;Ďurovič;jednotné
Pojem;jednotné;Pojem;jednotné
slavico;;slavico;
-;;-;
bohemicus;;bohemicus;
zo;;zo;
začiatku;jednotné;začiatku;jednotné
XVIII;;XVIII;
.;;.;
storočia;jednotné;storočia;jednotné
je;jednotné;je;jednotné
začiatok;jednotné;začiatok;jednotné
pojmu;jednotné;pojmu;jednotné
česko;;česko;
(;;(;
-;;-;
);;);
slovenský;jednotné;slovenský;jednotné
.;;.;
Krman;jednotné;Krman;jednotné
si;;si;
bol;jednotné;bol;jednotné
vedomý;jednotné;vedomý;jednotné
,;;,;
že;;že;
meno;jednotné;meno;jednotné
Slovákov;množné;Slovákov;množné
treba;;treba;
aj;;aj;
v;;v;
latinčine;jednotné;latinčine;jednotné
odlišovať;;odlišovať;
od;;od;
všeobecného;jednotné;všeobecného;jednotné
názvu;jednotné;názvu;jednotné
slavi;;slavi;
a;;a;
vytvoril;jednotné;vytvoril;jednotné
nové;jednotné;nové;jednotné
slovo;jednotné;slovo;jednotné
slovacii;;slovacii;
.;;.;
Druhá;jednotné;Druhá;jednotné
Doležalova;jednotné;Doležalova;jednotné
inovácia;jednotné;inovácia;jednotné
je;jednotné;je;jednotné
v;;v;
gramatickom;jednotné;gramatickom;jednotné
popise;jednotné;popise;jednotné
tohto;jednotné;tohto;jednotné
jazyka;jednotné;jazyka;jednotné
.;;.;
Obsiahly;jednotné;Obsiahly;jednotné
vlastivedný;jednotné;vlastivedný;jednotné
úvod;jednotné;úvod;jednotné
(;;(;
Praefatio;;Praefatio;
);;);
k;;k;
Doležalovej;jednotné;Doležalovej;jednotné
gramatike;jednotné;gramatike;jednotné
napísal;jednotné;napísal;jednotné
o;;o;
generáciu;jednotné;generáciu;jednotné
starší;množné;starší;množné
Matej;jednotné;Matej;jednotné
Bel;jednotné;Bel;jednotné
.;;.;
V;;V;
každom;jednotné;každom;jednotné
prípade;jednotné;prípade;jednotné
aj;;aj;
text;jednotné;text;jednotné
jeho;jednotné;jeho;jednotné
úvodu;jednotné;úvodu;jednotné
dal;jednotné;dal;jednotné
Doležalovej;jednotné;Doležalovej;jednotné
gramatike;jednotné;gramatike;jednotné
punc;jednotné;punc;jednotné
najautoritatívnejšieho;jednotné;najautoritatívnejšieho;jednotné
zdroja;jednotné;zdroja;jednotné
poznania;jednotné;poznania;jednotné
vtedajšieho;jednotné;vtedajšieho;jednotné
spisovného;jednotné;spisovného;jednotné
jazyka;jednotné;jazyka;jednotné
Čechov;množné;Čechov;množné
i;;i;
Slovákov;množné;Slovákov;množné
.;;.;
Táto;jednotné;Táto;jednotné
kralická;jednotné;kralická;jednotné
norma;jednotné;norma;jednotné
je;jednotné;je;jednotné
dodnes;;dodnes;
základom;jednotné;základom;jednotné
spisovnej;jednotné;spisovnej;jednotné
češtiny;jednotné;češtiny;jednotné
.;;.;
Štúrovský;jednotné;Štúrovský;jednotné
nový;jednotné;nový;jednotné
slovenský;jednotné;slovenský;jednotné
spisovný;jednotné;spisovný;jednotné
jazyk;jednotné;jazyk;jednotné
má;jednotné;má;jednotné
niekoľko;jednotné;niekoľko;jednotné
vrstiev;množné;vrstiev;množné
.;;.;
Radikálnou;jednotné;Radikálnou;jednotné
inováciou;jednotné;inováciou;jednotné
je;jednotné;je;jednotné
hláskoslovie;jednotné;hláskoslovie;jednotné
a;;a;
tvaroslovie;jednotné;tvaroslovie;jednotné
.;;.;
Ľubomír;jednotné;Ľubomír;jednotné
Ďurovič;jednotné;Ďurovič;jednotné
Profesor;jednotné;Profesor;jednotné
Eugen;jednotné;Eugen;jednotné
Jóna;jednotné;Jóna;jednotné
,;;,;
ktorý;jednotné;ktorý;jednotné
sa;;sa;
dejinami;množné;dejinami;množné
spisovnej;jednotné;spisovnej;jednotné
slovenčiny;jednotné;slovenčiny;jednotné
dlhé;množné;dlhé;množné
roky;množné;roky;množné
zaoberal;jednotné;zaoberal;jednotné
,;;,;
si;;si;
uvedomil;jednotné;uvedomil;jednotné
potrebu;jednotné;potrebu;jednotné
dať;;dať;
do;;do;
rúk;množné;rúk;množné
slovenskej;jednotné;slovenskej;jednotné
i;;i;
medzinárodnej;jednotné;medzinárodnej;jednotné
vedeckej;jednotné;vedeckej;jednotné
verejnosti;jednotné;verejnosti;jednotné
dostatočne;;dostatočne;
prístupný;jednotné;prístupný;jednotné
skutočný;jednotné;skutočný;jednotné
text;jednotné;text;jednotné
tohto;jednotné;tohto;jednotné
základného;jednotné;základného;jednotné
diela;jednotné;diela;jednotné
.;;.;
Ľubomír;jednotné;Ľubomír;jednotné
Ďurovič;jednotné;Ďurovič;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
Ďurovič;jednotné;Ďurovič;jednotné
profesor;jednotné;profesor;jednotné
slovanských;množné;slovanských;množné
jazykov;množné;jazykov;množné
Česko;;Česko;
-;;-;
slovenské;jednotné;slovenské;jednotné
kultúrne;jednotné;kultúrne;jednotné
kontinuum;jednotné;kontinuum;jednotné
Ku;;Ku;
konfliktom;množné;konfliktom;množné
a;;a;
nedorozumeniam;množné;nedorozumeniam;množné
výrazne;;výrazne;
prispelo;jednotné;prispelo;jednotné
aj;;aj;
to;jednotné;to;jednotné
,;;,;
že;;že;
sa;;sa;
maďarské;jednotné;maďarské;jednotné
„;;„;
nemzet;jednotné;nemzet;
“;;“;
dá;jednotné;dá;jednotné
používať;;používať;
v;;v;
oboch;množné;oboch;množné
týchto;množné;týchto;množné
významoch;množné;významoch;množné
.;;.;
To;jednotné;To;jednotné
malo;jednotné;malo;jednotné
obrovský;jednotné;obrovský;jednotné
národnozáchovný;jednotné;národnozáchovný;jednotné
význam;jednotné;význam;jednotné
v;;v;
druhej;jednotné;druhej;jednotné
polovici;jednotné;polovici;jednotné
XIX;;XIX;
.;;.;
storočia;jednotné;storočia;jednotné
,;;,;
keď;;keď;
maďarizácia;jednotné;maďarizácia;jednotné
reálne;;reálne;
ohrozovala;jednotné;ohrozovala;jednotné
samotnú;jednotné;samotnú;jednotné
existenciu;jednotné;existenciu;jednotné
slovenského;jednotné;slovenského;jednotné
národa;jednotné;národa;jednotné
.;;.;
Ľubomír;jednotné;Ľubomír;jednotné
Ďurovič;jednotné;Ďurovič;jednotné
Mal;jednotné;Mal;jednotné
som;jednotné;som;jednotné
veľké;jednotné;veľké;jednotné
potešenie;jednotné;potešenie;jednotné
z;;z;
knižky;jednotné;knižky;jednotné
Antona;jednotné;Antona;jednotné
Dinku;jednotné;Dinku;jednotné
Skalica;jednotné;Skalica;jednotné
–;;–;
moja;jednotné;moja;jednotné
láska;jednotné;láska;jednotné
,;;,;
osud;jednotné;osud;jednotné
a;;a;
poťešeňí;množné;poťešeňí;
.;;.;
Jeho;množné;Jeho;množné
obaja;množné;obaja;množné
starší;množné;starší;množné
bratia;množné;bratia;množné
išli;množné;išli;množné
do;;do;
škôl;množné;škôl;množné
a;;a;
Ferda;jednotné;Ferda;jednotné
mal;jednotné;mal;jednotné
prevziať;;prevziať;
obchod;jednotné;obchod;jednotné
.;;.;
Intenzívne;;Intenzívne;
sa;;sa;
pamätám;jednotné;pamätám;jednotné
na;;na;
prístavbu;jednotné;prístavbu;jednotné
javiska;jednotné;javiska;jednotné
k;;k;
cirkevnej;jednotné;cirkevnej;jednotné
sieni;jednotné;sieni;jednotné
na;;na;
evanjelickej;jednotné;evanjelickej;jednotné
fare;jednotné;fare;jednotné
.;;.;
Potom;;Potom;
prišiel;jednotné;prišiel;jednotné
koniec;jednotné;koniec;jednotné
vojny;jednotné;vojny;jednotné
,;;,;
bolo;jednotné;bolo;jednotné
obnovené;jednotné;obnovené;jednotné
Československo;jednotné;Československo;jednotné
,;;,;
začali;množné;začali;množné
sa;;sa;
celkom;;celkom;
iné;množné;iné;množné
pomery;množné;pomery;množné
.;;.;
Činnosť;jednotné;Činnosť;jednotné
nášho;jednotné;nášho;jednotné
združenia;jednotné;združenia;jednotné
zatisli;množné;zatisli;množné
do;;do;
pozadia;jednotné;pozadia;jednotné
iné;množné;iné;množné
potreby;množné;potreby;množné
.;;.;
To;jednotné;To;jednotné
sa;;sa;
menuje;jednotné;menuje;jednotné
iniciatívnosť;jednotné;iniciatívnosť;jednotné
a;;a;
innovatívnosť;jednotné;innovatívnosť;jednotné
.;;.;
Ľubomír;jednotné;Ľubomír;jednotné
Ďurovič;jednotné;Ďurovič;jednotné
ODCHODY;množné;ODCHODY;množné
A;;A;
návraty;množné;návraty;množné
ĽUBOMÍRA;jednotné;ĽUBOMÍRA;jednotné
Ďuroviča;jednotné;Ďuroviča;jednotné
(;;(;
I;;I;
.;;.;
);;);
„;;„;
Nebyť;;Nebyť;
toho;jednotné;toho;jednotné
,;;,;
Slovensko;jednotné;Slovensko;jednotné
by;;by;
dnes;;dnes;
neexistovalo;jednotné;neexistovalo;jednotné
,;;,;
“;;“;
hovorí;jednotné;hovorí;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
Ďurovič;jednotné;Ďurovič;jednotné
.;;.;
To;jednotné;To;jednotné
je;jednotné;je;jednotné
MOŽNO;;MOŽNO;
tá;jednotné;tá;jednotné
pozitívna;jednotné;pozitívna;jednotné
stránka;jednotné;stránka;jednotné
ROZDELENIA;jednotné;ROZDELENIA;jednotné
REPUBLIKY;jednotné;REPUBLIKY;jednotné
.;;.;
Negatívnych;množné;Negatívnych;množné
stránok;množné;stránok;množné
je;jednotné;je;jednotné
množstvo;jednotné;množstvo;jednotné
.;;.;
Nakoniec;;Nakoniec;
,;;,;
takisto;;takisto;
môže;jednotné;môže;jednotné
aj;;aj;
Čech;jednotné;Čech;jednotné
čítať;;čítať;
slovenské;jednotné;slovenské;množné
,;;,;
keby;;keby;
chcel;jednotné;chcel;jednotné
,;;,;
oni;množné;oni;množné
však;;však;
tú;jednotné;tú;jednotné
potrebu;jednotné;potrebu;jednotné
V;;V;
ROVNAKEJ;jednotné;ROVNAKEJ;jednotné
MIERE;jednotné;MIERE;jednotné
nemajú;množné;nemajú;množné
.;;.;
“;;“;
„;;„;
Konkrétne;;Konkrétne;
je;jednotné;je;jednotné
to;jednotné;to;jednotné
obdobie;jednotné;obdobie;jednotné
od;;od;
roku;jednotné;roku;jednotné
1963;;1963;
do;;do;
roku;jednotné;roku;jednotné
1968;;1968;
.;;.;
Vtedy;;Vtedy;
sa;;sa;
naraz;;naraz;
ukázalo;jednotné;ukázalo;jednotné
,;;,;
že;;že;
komunistická;jednotné;komunistická;jednotné
strana;jednotné;strana;jednotné
s;;s;
jej;množné;jej;množné
zločineckými;množné;zločineckými;množné
spôsobmi;množné;spôsobmi;množné
skrachovala;jednotné;skrachovala;jednotné
.;;.;
Vtedy;;Vtedy;
vyšla;jednotné;vyšla;jednotné
moja;jednotné;moja;jednotné
KNIHA;jednotné;KNIHA;jednotné
Paradigmatika;jednotné;Paradigmatika;jednotné
spisovnej;jednotné;spisovnej;jednotné
ruštiny;jednotné;ruštiny;jednotné
,;;,;
ktorá;jednotné;ktorá;jednotné
sa;;sa;
stala;jednotné;stala;jednotné
celoštátnou;jednotné;celoštátnou;jednotné
univerzitnou;jednotné;univerzitnou;jednotné
učebnicou;jednotné;učebnicou;jednotné
ruskej;jednotné;ruskej;jednotné
TEORETICKEJ;jednotné;TEORETICKEJ;jednotné
morfológie;jednotné;morfológie;jednotné
.;;.;
Uvedomovali;množné;Uvedomovali;množné
sme;množné;sme;množné
si;;si;
,;;,;
že;;že;
„;;„;
sa;;sa;
môže;jednotné;môže;jednotné
“;;“;
.;;.;
Dovtedy;;Dovtedy;
to;jednotné;to;jednotné
však;;však;
bolo;jednotné;bolo;jednotné
obdobie;jednotné;obdobie;jednotné
veľkej;jednotné;veľkej;jednotné
nádeje;jednotné;nádeje;jednotné
.;;.;
Ja;jednotné;Ja;jednotné
ich;množné;ich;množné
poznám;jednotné;poznám;jednotné
.;;.;
A;;A;
mal;jednotné;mal;jednotné
pravdu;jednotné;pravdu;jednotné
.;;.;
Sklamanie;jednotné;Sklamanie;jednotné
po;;po;
vojne;jednotné;vojne;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
Ďurovič;jednotné;Ďurovič;jednotné
do;;do;
komunistickej;jednotné;komunistickej;jednotné
strany;jednotné;strany;jednotné
nevstúpil;jednotné;nevstúpil;jednotné
.;;.;
Piateho;jednotné;Piateho;jednotné
mája;jednotné;mája;jednotné
sa;;sa;
začalo;jednotné;začalo;jednotné
Pražské;jednotné;Pražské;jednotné
povstanie;jednotné;povstanie;jednotné
a;;a;
z;;z;
rádia;jednotné;rádia;jednotné
sa;;sa;
ozývala;jednotné;ozývala;jednotné
výzva;jednotné;výzva;jednotné
o;;o;
pomoc;jednotné;pomoc;jednotné
.;;.;
To;jednotné;To;jednotné
bola;jednotné;bola;jednotné
tá;jednotné;tá;jednotné
zločinecká;jednotné;zločinecká;jednotné
časť;jednotné;časť;jednotné
komunistickej;jednotné;komunistickej;jednotné
strany;jednotné;strany;jednotné
.;;.;
„;;„;
Môj;jednotné;Môj;jednotné
otec;jednotné;otec;jednotné
bol;jednotné;bol;jednotné
selfmademan;jednotné;selfmademan;jednotné
.;;.;
Nedávno;;Nedávno;
som;jednotné;som;jednotné
odovzdal;jednotné;odovzdal;jednotné
do;;do;
skalického;jednotné;skalického;jednotné
Záhorského;jednotné;Záhorského;jednotné
múzea;jednotné;múzea;jednotné
otcove;množné;otcove;množné
denníky;množné;denníky;množné
.;;.;
Je;jednotné;Je;jednotné
to;jednotné;to;jednotné
cenná;jednotné;cenná;jednotné
a;;a;
zaujímavá;jednotné;zaujímavá;jednotné
pamiatka;jednotné;pamiatka;jednotné
o;;o;
20;;20;
.;;.;
storočí;jednotné;storočí;jednotné
.;;.;
Polovicu;jednotné;Polovicu;jednotné
zo;;zo;
všetkého;jednotné;všetkého;jednotné
,;;,;
čo;jednotné;čo;jednotné
vo;;vo;
mne;jednotné;mne;jednotné
je;jednotné;je;jednotné
,;;,;
mám;jednotné;mám;jednotné
z;;z;
domu;jednotné;domu;jednotné
,;;,;
z;;z;
toho;jednotné;toho;jednotné
,;;,;
čo;jednotné;čo;jednotné
sa;;sa;
doma;;doma;
povedalo;jednotné;povedalo;jednotné
,;;,;
napríklad;;napríklad;
pri;;pri;
stole;jednotné;stole;jednotné
.;;.;
Otec;jednotné;Otec;jednotné
veľa;;veľa;
rozprával;jednotné;rozprával;jednotné
o;;o;
svojom;jednotné;svojom;jednotné
literárnovednom;jednotné;literárnovednom;jednotné
výskume;jednotné;výskume;jednotné
,;;,;
ale;;ale;
nevyhýbali;množné;nevyhýbali;množné
sme;množné;sme;množné
sa;;sa;
,;;,;
samozrejme;;samozrejme;
,;;,;
ani;;ani;
súčasným;množné;súčasným;množné
problémom;množné;problémom;množné
.;;.;
Vtedy;;Vtedy;
mi;jednotné;mi;jednotné
utkveli;množné;utkveli;množné
v;;v;
pamäti;jednotné;pamäti;jednotné
dátumy;množné;dátumy;množné
,;;,;
mená;množné;mená;množné
i;;i;
dôležité;množné;dôležité;množné
udalosti;množné;udalosti;množné
z;;z;
minulosti;jednotné;minulosti;jednotné
,;;,;
medzi;;medzi;
ktoré;množné;ktoré;množné
bolo;jednotné;bolo;jednotné
neskôr;;neskôr;
ľahšie;;ľahšie;
dokladať;;dokladať;
nové;množné;nové;množné
dátumy;množné;dátumy;množné
,;;,;
mená;množné;mená;množné
i;;i;
vzťahy;množné;vzťahy;množné
.;;.;
Mama;jednotné;Mama;jednotné
pochádzala;jednotné;pochádzala;jednotné
z;;z;
rodiny;jednotné;rodiny;jednotné
s;;s;
generáciami;množné;generáciami;množné
evanjelických;množné;evanjelických;množné
farárov;množné;farárov;množné
.;;.;
Vzdelanecké;jednotné;Vzdelanecké;jednotné
pozadie;jednotné;pozadie;jednotné
rodiny;jednotné;rodiny;jednotné
malo;jednotné;malo;jednotné
pre;;pre;
moju;jednotné;moju;jednotné
budúcnosť;jednotné;budúcnosť;jednotné
VEĽMI;;VEĽMI;
DÔLEŽITÚ;jednotné;DÔLEŽITÚ;jednotné
úlohu;jednotné;úlohu;jednotné
.;;.;
“;;“;
Rešpektovali;množné;Rešpektovali;množné
ste;množné;ste;množné
otca;jednotné;otca;jednotné
bezvýhradne;;bezvýhradne;
?;;?;
„;;„;
Viera;jednotné;Viera;jednotné
môže;jednotné;môže;jednotné
dávať;;dávať;
človeku;jednotné;človeku;jednotné
životnú;jednotné;životnú;jednotné
istotu;jednotné;istotu;jednotné
“;;“;
,;;,;
mieni;jednotné;mieni;jednotné
profesor;jednotné;profesor;jednotné
Ďurovič;jednotné;Ďurovič;jednotné
.;;.;
Faktom;jednotné;Faktom;jednotné
je;jednotné;je;jednotné
,;;,;
že;;že;
náboženský;jednotné;náboženský;jednotné
fundamentalizmus;jednotné;fundamentalizmus;jednotné
prežíva;jednotné;prežíva;jednotné
svoju;jednotné;svoju;jednotné
regeneráciu;jednotné;regeneráciu;jednotné
.;;.;
“;;“;
Bavilo;jednotné;Bavilo;jednotné
ma;jednotné;ma;jednotné
písať;;písať;
kompozície;množné;kompozície;množné
a;;a;
na;;na;
vynikajúcom;jednotné;vynikajúcom;jednotné
skalickom;jednotné;skalickom;jednotné
gymnáziu;jednotné;gymnáziu;jednotné
boli;množné;boli;množné
veľmi;;veľmi;
dobré;množné;dobré;množné
podmienky;množné;podmienky;množné
pre;;pre;
kultúru;jednotné;kultúru;jednotné
.;;.;
Nevyhýbali;množné;Nevyhýbali;množné
sme;množné;sme;množné
sa;;sa;
ani;;ani;
politike;jednotné;politike;jednotné
.;;.;
Môj;jednotné;Môj;jednotné
otec;jednotné;otec;jednotné
po;;po;
jeho;jednotné;jeho;jednotné
rozpade;jednotné;rozpade;jednotné
niekoľko;jednotné;niekoľko;jednotné
týždňov;množné;týždňov;množné
nespal;jednotné;nespal;jednotné
.;;.;
.;;.;
.;;.;
.;;.;
.;;.;
.;;.;
MÔJ;jednotné;MÔJ;jednotné
PRIMÁRNY;jednotné;PRIMÁRNY;jednotné
ZÁUJEM;jednotné;ZÁUJEM;jednotné
BOLI;množné;BOLI;množné
HUMANIÓRA;množné;HUMANIÓRA;množné
.;;.;
Umožniť;;Umožniť;
jazykovedcovi;jednotné;jazykovedcovi;jednotné
rozhovoriť;;rozhovoriť;
sa;;sa;
o;;o;
systéme;jednotné;systéme;jednotné
v;;v;
jazyku;jednotné;jazyku;jednotné
,;;,;
prináša;jednotné;prináša;jednotné
zdanlivo;;zdanlivo;
nebezpečenstvo;jednotné;nebezpečenstvo;jednotné
,;;,;
že;;že;
sa;;sa;
vstúpi;jednotné;vstúpi;jednotné
do;;do;
nezaujímavého;jednotné;nezaujímavého;jednotné
a;;a;
nudného;jednotné;nudného;jednotné
sveta;jednotné;sveta;jednotné
.;;.;
„;;„;
Ypsilon;jednotné;Ypsilon;jednotné
ako;;ako;
hláska;jednotné;hláska;jednotné
nie;;nie;
je;jednotné;je;jednotné
funkčný;jednotné;funkčný;jednotné
a;;a;
v;;v;
slovenskom;jednotné;slovenskom;jednotné
jazyku;jednotné;jazyku;jednotné
takej;jednotné;takej;jednotné
hlásky;jednotné;hlásky;jednotné
niet;jednotné;niet;jednotné
.;;.;
Ale;;Ale;
takto;;takto;
sa;;sa;
hovorí;jednotné;hovorí;jednotné
v;;v;
Mikuláši;jednotné;Mikuláši;jednotné
!;;!;
Ukazuje;jednotné;Ukazuje;jednotné
sa;;sa;
teda;;teda;
,;;,;
že;;že;
tým;jednotné;tým;jednotné
stredoslovenským;jednotné;stredoslovenským;jednotné
nárečím;jednotné;nárečím;jednotné
,;;,;
ktorÉ;jednotné;ktorÉ;jednotné
Štúrovci;množné;Štúrovci;množné
povýšili;množné;povýšili;množné
na;;na;
spisovný;jednotné;spisovný;jednotné
JAZYK;jednotné;JAZYK;jednotné
,;;,;
bol;jednotné;bol;jednotné
prestížny;jednotné;prestížny;jednotné
liptovský;jednotné;liptovský;jednotné
mestský;jednotné;mestský;jednotné
jazyk;jednotné;jazyk;jednotné
.;;.;
Presvedčil;jednotné;Presvedčil;jednotné
Záborského;jednotné;Záborského;jednotné
,;;,;
že;;že;
správna;jednotné;správna;jednotné
slovenská;jednotné;slovenská;jednotné
výslovnosť;jednotné;výslovnosť;jednotné
je;jednotné;je;jednotné
„;;„;
ľist;;ľist;
“;;“;
.;;.;
V;;V;
lete;jednotné;lete;jednotné
1948;;1948;
v;;v;
Prahe;jednotné;Prahe;jednotné
zažiadal;jednotné;zažiadal;jednotné
o;;o;
zahraničné;jednotné;zahraničné;jednotné
štipendium;jednotné;štipendium;jednotné
.;;.;
VEĽMI;;VEĽMI;
KOMPLIKOVANOU;jednotné;KOMPLIKOVANOU;jednotné
ZHODOU;jednotné;ZHODOU;jednotné
OKOLNOSTÍ;množné;OKOLNOSTÍ;množné
HO;jednotné;HO;jednotné
PO;;PO;
ROKU;jednotné;ROKU;jednotné
dostal;jednotné;dostal;jednotné
a;;a;
odišiel;jednotné;odišiel;jednotné
;;;
ROK;jednotné;ROK;jednotné
do;;do;
Nórska;jednotné;Nórska;jednotné
.;;.;
Keď;;Keď;
sa;;sa;
začal;jednotné;začal;jednotné
semester;jednotné;semester;jednotné
,;;,;
pustil;jednotné;pustil;jednotné
som;jednotné;som;jednotné
sa;;sa;
pod;;pod;
vedením;jednotné;vedením;jednotné
profesora;jednotné;profesora;jednotné
SommerfelTa;jednotné;SommerfelTa;jednotné
do;;do;
čítania;jednotné;čítania;jednotné
textov;množné;textov;množné
.;;.;
Rozprávanie;jednotné;Rozprávanie;jednotné
Ľubomíra;jednotné;Ľubomíra;jednotné
Ďuroviča;jednotné;Ďuroviča;jednotné
PRIPRAVILA;jednotné;PRIPRAVILA;jednotné
Kveta;jednotné;Kveta;jednotné
Škvarková;jednotné;Škvarková;jednotné
.;;.;
Protiprávna;jednotné;Protiprávna;jednotné
vojna;jednotné;vojna;jednotné
v;;v;
Iraku;jednotné;Iraku;jednotné
,;;,;
ktorú;jednotné;ktorú;jednotné
rozpútala;jednotné;rozpútala;jednotné
