Slovo;Rod;Slovo2;Rod2
tej;ženský;tej;ženský
chvíle;ženský;chvíle;ženský
vstupuje;;vstupuje;
do;;do;
hry;ženský;hry;ženský
slovenská;ženský;slovenská;ženský
časť;ženský;časť;ženský
Uhorska;stredný;Uhorska;stredný
.;;.;
Do;;Do;
slovenských;ženský;slovenských;ženský
častí;ženský;častí;ženský
Uhorska;stredný;Uhorska;stredný
sa;;sa;
vtedy;;vtedy;
utiahla;ženský;utiahla;ženský
jedna;ženský;jedna;ženský
časť;ženský;časť;ženský
českých;mužský životný;českých;mužský životný
emigrovaných;mužský životný;emigrovaných;mužský životný
protestantov;mužský životný;protestantov;mužský životný
a;;a;
tu;;tu;
našli;mužský životný;našli;mužský životný
v;;v;
používaní;stredný;používaní;stredný
svoj;mužský neživotný;svoj;mužský neživotný
vlastný;mužský neživotný;vlastný;mužský neživotný
spisovný;mužský neživotný;spisovný;mužský neživotný
jazyk;mužský neživotný;jazyk;mužský neživotný
presne;;presne;
tak;;tak;
,;;,;
ako;;ako;
vo;;vo;
svojej;ženský;svojej;ženský
českej;ženský;českej;ženský
vlasti;ženský;vlasti;ženský
.;;.;
Podľa;;Podľa;
princípu;mužský neživotný;princípu;mužský neživotný
siedmich;stredný;siedmich;stredný
slobodných;stredný;slobodných;stredný
umení;stredný;umení;stredný
prvým;mužský neživotný;prvým;mužský neživotný
stupňom;mužský neživotný;stupňom;mužský neživotný
trivia;stredný;trivia;stredný
je;;je;
gramatika;ženský;gramatika;ženský
.;;.;
Európska;ženský;Európska;ženský
únia;ženský;únia;ženský
,;;,;
čiže;;čiže;
rozmieňanie;stredný;rozmieňanie;stredný
veľkých;ženský;veľkých;ženský
bankoviek;ženský;bankoviek;ženský
na;;na;
drobné;ženský;drobné;ženský
mince;ženský;mince;ženský
.;;.;
Toto;stredný;Toto;stredný
stieranie;stredný;stieranie;stredný
hraníc;ženský;hraníc;ženský
je;;je;
veľmi;;veľmi;
príjemné;stredný;príjemné;stredný
,;;,;
pokiaľ;;pokiaľ;
ide;;ide;
o;;o;
poriadneho;mužský životný;poriadneho;mužský životný
občana;mužský životný;občana;mužský životný
,;;,;
ktorý;mužský životný;ktorý;mužský životný
cestuje;;cestuje;
za;;za;
svojím;mužský neživotný;svojím;mužský neživotný
obchodom;mužský neživotný;obchodom;mužský neživotný
alebo;;alebo;
za;;za;
svojou;ženský;svojou;ženský
dovolenkou;ženský;dovolenkou;ženský
.;;.;
Ľubomír;mužský životný;Ľubomír;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
Pojem;mužský neživotný;Pojem;mužský neživotný
slavico;;slavico;
-;;-;
bohemicus;;bohemicus;
zo;;zo;
začiatku;mužský neživotný;začiatku;mužský neživotný
XVIII;;XVIII;
.;;.;
storočia;stredný;storočia;stredný
je;;je;
začiatok;mužský neživotný;začiatok;mužský neživotný
pojmu;mužský neživotný;pojmu;mužský neživotný
česko;;česko;
(;;(;
-;;-;
);;);
slovenský;mužský neživotný;slovenský;mužský neživotný
.;;.;
Krman;mužský životný;Krman;mužský životný
si;;si;
bol;mužský životný;bol;mužský životný
vedomý;mužský životný;vedomý;mužský životný
,;;,;
že;;že;
meno;stredný;meno;stredný
Slovákov;mužský životný;Slovákov;mužský životný
treba;;treba;
aj;;aj;
v;;v;
latinčine;ženský;latinčine;ženský
odlišovať;;odlišovať;
od;;od;
všeobecného;mužský neživotný;všeobecného;mužský neživotný
názvu;mužský neživotný;názvu;mužský neživotný
slavi;;slavi;
a;;a;
vytvoril;mužský životný;vytvoril;mužský životný
nové;stredný;nové;stredný
slovo;stredný;slovo;stredný
slovacii;;slovacii;
.;;.;
Druhá;ženský;Druhá;ženský
Doležalova;ženský;Doležalova;ženský
inovácia;ženský;inovácia;ženský
je;;je;
v;;v;
gramatickom;mužský neživotný;gramatickom;mužský neživotný
popise;mužský neživotný;popise;mužský neživotný
tohto;mužský neživotný;tohto;mužský neživotný
jazyka;mužský neživotný;jazyka;mužský neživotný
.;;.;
Obsiahly;mužský neživotný;Obsiahly;mužský neživotný
vlastivedný;mužský neživotný;vlastivedný;mužský neživotný
úvod;mužský neživotný;úvod;mužský neživotný
(;;(;
Praefatio;;Praefatio;
);;);
k;;k;
Doležalovej;ženský;Doležalovej;ženský
gramatike;ženský;gramatike;ženský
napísal;mužský životný;napísal;mužský životný
o;;o;
generáciu;ženský;generáciu;ženský
starší;mužský životný;starší;mužský životný
Matej;mužský životný;Matej;mužský životný
Bel;mužský životný;Bel;mužský životný
.;;.;
V;;V;
každom;mužský neživotný;každom;mužský neživotný
prípade;mužský neživotný;prípade;mužský neživotný
aj;;aj;
text;mužský neživotný;text;mužský neživotný
jeho;mužský neživotný;jeho;mužský neživotný
úvodu;mužský neživotný;úvodu;mužský neživotný
dal;mužský neživotný;dal;mužský neživotný
Doležalovej;ženský;Doležalovej;ženský
gramatike;ženský;gramatike;ženský
punc;mužský neživotný;punc;mužský neživotný
najautoritatívnejšieho;mužský neživotný;najautoritatívnejšieho;mužský neživotný
zdroja;mužský neživotný;zdroja;mužský neživotný
poznania;stredný;poznania;stredný
vtedajšieho;mužský neživotný;vtedajšieho;mužský neživotný
spisovného;mužský neživotný;spisovného;mužský neživotný
jazyka;mužský neživotný;jazyka;mužský neživotný
Čechov;mužský životný;Čechov;mužský životný
i;;i;
Slovákov;mužský životný;Slovákov;mužský životný
.;;.;
Táto;ženský;Táto;ženský
kralická;ženský;kralická;ženský
norma;ženský;norma;ženský
je;;je;
dodnes;;dodnes;
základom;mužský neživotný;základom;mužský neživotný
spisovnej;ženský;spisovnej;ženský
češtiny;ženský;češtiny;ženský
.;;.;
Štúrovský;mužský neživotný;Štúrovský;mužský neživotný
nový;mužský neživotný;nový;mužský neživotný
slovenský;mužský neživotný;slovenský;mužský neživotný
spisovný;mužský neživotný;spisovný;mužský neživotný
jazyk;mužský neživotný;jazyk;mužský neživotný
má;;má;
niekoľko;stredný;niekoľko;stredný
vrstiev;ženský;vrstiev;ženský
.;;.;
Radikálnou;ženský;Radikálnou;ženský
inováciou;ženský;inováciou;ženský
je;;je;
hláskoslovie;stredný;hláskoslovie;stredný
a;;a;
tvaroslovie;stredný;tvaroslovie;stredný
.;;.;
Ľubomír;mužský životný;Ľubomír;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
Profesor;mužský životný;Profesor;mužský životný
Eugen;mužský životný;Eugen;mužský životný
Jóna;mužský životný;Jóna;mužský životný
,;;,;
ktorý;mužský životný;ktorý;mužský životný
sa;;sa;
dejinami;ženský;dejinami;ženský
spisovnej;ženský;spisovnej;ženský
slovenčiny;ženský;slovenčiny;ženský
dlhé;mužský neživotný;dlhé;mužský neživotný
roky;mužský neživotný;roky;mužský neživotný
zaoberal;mužský životný;zaoberal;mužský životný
,;;,;
si;;si;
uvedomil;mužský životný;uvedomil;mužský životný
potrebu;ženský;potrebu;ženský
dať;;dať;
do;;do;
rúk;ženský;rúk;ženský
slovenskej;ženský;slovenskej;ženský
i;;i;
medzinárodnej;ženský;medzinárodnej;ženský
vedeckej;ženský;vedeckej;ženský
verejnosti;ženský;verejnosti;ženský
dostatočne;;dostatočne;
prístupný;mužský neživotný;prístupný;mužský neživotný
skutočný;mužský neživotný;skutočný;mužský neživotný
text;mužský neživotný;text;mužský neživotný
tohto;stredný;tohto;stredný
základného;stredný;základného;stredný
diela;stredný;diela;stredný
.;;.;
Ľubomír;mužský životný;Ľubomír;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
Ľubomír;mužský životný;Ľubomír;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
profesor;mužský životný;profesor;mužský životný
slovanských;mužský neživotný;slovanských;mužský neživotný
jazykov;mužský neživotný;jazykov;mužský neživotný
Česko;;Česko;
-;;-;
slovenské;stredný;slovenské;stredný
kultúrne;stredný;kultúrne;stredný
kontinuum;stredný;kontinuum;stredný
Ku;;Ku;
konfliktom;mužský neživotný;konfliktom;mužský neživotný
a;;a;
nedorozumeniam;stredný;nedorozumeniam;stredný
výrazne;;výrazne;
prispelo;stredný;prispelo;stredný
aj;;aj;
to;stredný;to;stredný
,;;,;
že;;že;
sa;;sa;
maďarské;stredný;maďarské;stredný
„;;„;
nemzet;mužský neživotný;nemzet;
“;;“;
dá;;dá;
používať;;používať;
v;;v;
oboch;mužský neživotný;oboch;mužský neživotný
týchto;mužský neživotný;týchto;mužský neživotný
významoch;mužský neživotný;významoch;mužský neživotný
.;;.;
To;stredný;To;stredný
malo;stredný;malo;stredný
obrovský;mužský neživotný;obrovský;mužský neživotný
národnozáchovný;mužský neživotný;národnozáchovný;mužský neživotný
význam;mužský neživotný;význam;mužský neživotný
v;;v;
druhej;ženský;druhej;ženský
polovici;ženský;polovici;ženský
XIX;;XIX;
.;;.;
storočia;stredný;storočia;stredný
,;;,;
keď;;keď;
maďarizácia;ženský;maďarizácia;ženský
reálne;;reálne;
ohrozovala;ženský;ohrozovala;ženský
samotnú;ženský;samotnú;ženský
existenciu;ženský;existenciu;ženský
slovenského;mužský neživotný;slovenského;mužský neživotný
národa;mužský neživotný;národa;mužský neživotný
.;;.;
Ľubomír;mužský životný;Ľubomír;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
Mal;mužský životný;Mal;mužský životný
som;;som;
veľké;stredný;veľké;stredný
potešenie;stredný;potešenie;stredný
z;;z;
knižky;ženský;knižky;ženský
Antona;mužský životný;Antona;mužský životný
Dinku;mužský životný;Dinku;mužský životný
Skalica;ženský;Skalica;ženský
–;;–;
moja;ženský;moja;ženský
láska;ženský;láska;ženský
,;;,;
osud;mužský neživotný;osud;mužský neživotný
a;;a;
poťešeňí;mužský životný;poťešeňí;
.;;.;
Jeho;mužský životný;Jeho;mužský životný
obaja;mužský životný;obaja;mužský životný
starší;mužský životný;starší;mužský životný
bratia;mužský životný;bratia;mužský životný
išli;mužský životný;išli;mužský životný
do;;do;
škôl;ženský;škôl;ženský
a;;a;
Ferda;mužský životný;Ferda;mužský životný
mal;mužský životný;mal;mužský životný
prevziať;;prevziať;
obchod;mužský neživotný;obchod;mužský neživotný
.;;.;
Intenzívne;;Intenzívne;
sa;;sa;
pamätám;;pamätám;
na;;na;
prístavbu;ženský;prístavbu;ženský
javiska;stredný;javiska;stredný
k;;k;
cirkevnej;ženský;cirkevnej;ženský
sieni;ženský;sieni;ženský
na;;na;
evanjelickej;ženský;evanjelickej;ženský
fare;ženský;fare;ženský
.;;.;
Potom;;Potom;
prišiel;mužský neživotný;prišiel;mužský neživotný
koniec;mužský neživotný;koniec;mužský neživotný
vojny;ženský;vojny;ženský
,;;,;
bolo;stredný;bolo;stredný
obnovené;stredný;obnovené;stredný
Československo;stredný;Československo;stredný
,;;,;
začali;mužský neživotný;začali;mužský neživotný
sa;;sa;
celkom;;celkom;
iné;mužský neživotný;iné;mužský neživotný
pomery;mužský neživotný;pomery;mužský neživotný
.;;.;
Činnosť;ženský;Činnosť;ženský
nášho;stredný;nášho;stredný
združenia;stredný;združenia;stredný
zatisli;ženský;zatisli;ženský
do;;do;
pozadia;stredný;pozadia;stredný
iné;ženský;iné;ženský
potreby;ženský;potreby;ženský
.;;.;
To;stredný;To;stredný
sa;;sa;
menuje;;menuje;
iniciatívnosť;ženský;iniciatívnosť;ženský
a;;a;
innovatívnosť;ženský;innovatívnosť;ženský
.;;.;
Ľubomír;mužský životný;Ľubomír;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
ODCHODY;mužský neživotný;ODCHODY;mužský neživotný
A;;A;
návraty;mužský neživotný;návraty;mužský neživotný
ĽUBOMÍRA;mužský životný;ĽUBOMÍRA;mužský životný
Ďuroviča;mužský životný;Ďuroviča;mužský životný
(;;(;
I;;I;
.;;.;
);;);
„;;„;
Nebyť;;Nebyť;
toho;stredný;toho;stredný
,;;,;
Slovensko;stredný;Slovensko;stredný
by;;by;
dnes;;dnes;
neexistovalo;stredný;neexistovalo;stredný
,;;,;
“;;“;
hovorí;;hovorí;
Ľubomír;mužský životný;Ľubomír;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
.;;.;
To;stredný;To;stredný
je;;je;
MOŽNO;;MOŽNO;
tá;ženský;tá;ženský
pozitívna;ženský;pozitívna;ženský
stránka;ženský;stránka;ženský
ROZDELENIA;stredný;ROZDELENIA;stredný
REPUBLIKY;ženský;REPUBLIKY;ženský
.;;.;
Negatívnych;ženský;Negatívnych;ženský
stránok;ženský;stránok;ženský
je;;je;
množstvo;stredný;množstvo;stredný
.;;.;
Nakoniec;;Nakoniec;
,;;,;
takisto;;takisto;
môže;;môže;
aj;;aj;
Čech;mužský životný;Čech;mužský životný
čítať;;čítať;
slovenské;stredný;slovenské;ženský
,;;,;
keby;;keby;
chcel;mužský životný;chcel;mužský životný
,;;,;
oni;mužský životný;oni;mužský životný
však;;však;
tú;ženský;tú;ženský
potrebu;ženský;potrebu;ženský
V;;V;
ROVNAKEJ;ženský;ROVNAKEJ;ženský
MIERE;ženský;MIERE;ženský
nemajú;;nemajú;
.;;.;
“;;“;
„;;„;
Konkrétne;;Konkrétne;
je;;je;
to;stredný;to;stredný
obdobie;stredný;obdobie;stredný
od;;od;
roku;mužský neživotný;roku;mužský neživotný
1963;;1963;
do;;do;
roku;mužský neživotný;roku;mužský neživotný
1968;;1968;
.;;.;
Vtedy;;Vtedy;
sa;;sa;
naraz;;naraz;
ukázalo;stredný;ukázalo;stredný
,;;,;
že;;že;
komunistická;ženský;komunistická;ženský
strana;ženský;strana;ženský
s;;s;
jej;mužský neživotný;jej;mužský neživotný
zločineckými;mužský neživotný;zločineckými;mužský neživotný
spôsobmi;mužský neživotný;spôsobmi;mužský neživotný
skrachovala;ženský;skrachovala;ženský
.;;.;
Vtedy;;Vtedy;
vyšla;ženský;vyšla;ženský
moja;ženský;moja;ženský
KNIHA;ženský;KNIHA;ženský
Paradigmatika;ženský;Paradigmatika;ženský
spisovnej;ženský;spisovnej;ženský
ruštiny;ženský;ruštiny;ženský
,;;,;
ktorá;ženský;ktorá;ženský
sa;;sa;
stala;ženský;stala;ženský
celoštátnou;ženský;celoštátnou;ženský
univerzitnou;ženský;univerzitnou;ženský
učebnicou;ženský;učebnicou;ženský
ruskej;ženský;ruskej;ženský
TEORETICKEJ;ženský;TEORETICKEJ;ženský
morfológie;ženský;morfológie;ženský
.;;.;
Uvedomovali;všeobecný;Uvedomovali;všeobecný
sme;;sme;
si;;si;
,;;,;
že;;že;
„;;„;
sa;;sa;
môže;;môže;
“;;“;
.;;.;
Dovtedy;;Dovtedy;
to;stredný;to;stredný
však;;však;
bolo;stredný;bolo;stredný
obdobie;stredný;obdobie;stredný
veľkej;ženský;veľkej;ženský
nádeje;ženský;nádeje;ženský
.;;.;
Ja;všeobecný;Ja;všeobecný
ich;mužský životný;ich;mužský životný
poznám;;poznám;
.;;.;
A;;A;
mal;mužský životný;mal;mužský životný
pravdu;ženský;pravdu;ženský
.;;.;
Sklamanie;stredný;Sklamanie;stredný
po;;po;
vojne;ženský;vojne;ženský
Ľubomír;mužský životný;Ľubomír;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
do;;do;
komunistickej;ženský;komunistickej;ženský
strany;ženský;strany;ženský
nevstúpil;mužský životný;nevstúpil;mužský životný
.;;.;
Piateho;mužský neživotný;Piateho;mužský neživotný
mája;mužský neživotný;mája;mužský neživotný
sa;;sa;
začalo;stredný;začalo;stredný
Pražské;stredný;Pražské;stredný
povstanie;stredný;povstanie;stredný
a;;a;
z;;z;
rádia;stredný;rádia;stredný
sa;;sa;
ozývala;ženský;ozývala;ženský
výzva;ženský;výzva;ženský
o;;o;
pomoc;ženský;pomoc;ženský
.;;.;
To;stredný;To;stredný
bola;ženský;bola;ženský
tá;ženský;tá;ženský
zločinecká;ženský;zločinecká;ženský
časť;ženský;časť;ženský
komunistickej;ženský;komunistickej;ženský
strany;ženský;strany;ženský
.;;.;
„;;„;
Môj;mužský životný;Môj;mužský životný
otec;mužský životný;otec;mužský životný
bol;mužský životný;bol;mužský životný
selfmademan;mužský životný;selfmademan;mužský životný
.;;.;
Nedávno;;Nedávno;
som;;som;
odovzdal;mužský životný;odovzdal;mužský životný
do;;do;
skalického;stredný;skalického;stredný
Záhorského;stredný;Záhorského;stredný
múzea;stredný;múzea;stredný
otcove;mužský neživotný;otcove;mužský neživotný
denníky;mužský neživotný;denníky;mužský neživotný
.;;.;
Je;;Je;
to;stredný;to;stredný
cenná;ženský;cenná;ženský
a;;a;
zaujímavá;ženský;zaujímavá;ženský
pamiatka;ženský;pamiatka;ženský
o;;o;
20;;20;
.;;.;
storočí;stredný;storočí;stredný
.;;.;
Polovicu;ženský;Polovicu;ženský
zo;;zo;
všetkého;stredný;všetkého;stredný
,;;,;
čo;stredný;čo;stredný
vo;;vo;
mne;všeobecný;mne;všeobecný
je;;je;
,;;,;
mám;;mám;
z;;z;
domu;mužský neživotný;domu;mužský neživotný
,;;,;
z;;z;
toho;stredný;toho;stredný
,;;,;
čo;stredný;čo;stredný
sa;;sa;
doma;;doma;
povedalo;stredný;povedalo;stredný
,;;,;
napríklad;;napríklad;
pri;;pri;
stole;mužský neživotný;stole;mužský neživotný
.;;.;
Otec;mužský životný;Otec;mužský životný
veľa;;veľa;
rozprával;mužský životný;rozprával;mužský životný
o;;o;
svojom;mužský neživotný;svojom;mužský neživotný
literárnovednom;mužský neživotný;literárnovednom;mužský neživotný
výskume;mužský neživotný;výskume;mužský neživotný
,;;,;
ale;;ale;
nevyhýbali;všeobecný;nevyhýbali;všeobecný
sme;;sme;
sa;;sa;
,;;,;
samozrejme;;samozrejme;
,;;,;
ani;;ani;
súčasným;mužský neživotný;súčasným;mužský neživotný
problémom;mužský neživotný;problémom;mužský neživotný
.;;.;
Vtedy;;Vtedy;
mi;všeobecný;mi;všeobecný
utkveli;neurčiteľný;utkveli;neurčiteľný
v;;v;
pamäti;ženský;pamäti;ženský
dátumy;mužský neživotný;dátumy;mužský neživotný
,;;,;
mená;stredný;mená;stredný
i;;i;
dôležité;ženský;dôležité;ženský
udalosti;ženský;udalosti;ženský
z;;z;
minulosti;ženský;minulosti;ženský
,;;,;
medzi;;medzi;
ktoré;;ktoré;
bolo;stredný;bolo;stredný
neskôr;;neskôr;
ľahšie;;ľahšie;
dokladať;;dokladať;
nové;mužský neživotný;nové;mužský neživotný
dátumy;mužský neživotný;dátumy;mužský neživotný
,;;,;
mená;stredný;mená;stredný
i;;i;
vzťahy;mužský neživotný;vzťahy;mužský neživotný
.;;.;
Mama;ženský;Mama;ženský
pochádzala;ženský;pochádzala;ženský
z;;z;
rodiny;ženský;rodiny;ženský
s;;s;
generáciami;ženský;generáciami;ženský
evanjelických;mužský životný;evanjelických;mužský životný
farárov;mužský životný;farárov;mužský životný
.;;.;
Vzdelanecké;stredný;Vzdelanecké;stredný
pozadie;stredný;pozadie;stredný
rodiny;ženský;rodiny;ženský
malo;stredný;malo;stredný
pre;;pre;
moju;ženský;moju;ženský
budúcnosť;ženský;budúcnosť;ženský
VEĽMI;;VEĽMI;
DÔLEŽITÚ;ženský;DÔLEŽITÚ;ženský
úlohu;ženský;úlohu;ženský
.;;.;
“;;“;
Rešpektovali;všeobecný;Rešpektovali;všeobecný
ste;;ste;
otca;mužský životný;otca;mužský životný
bezvýhradne;;bezvýhradne;
?;;?;
„;;„;
Viera;ženský;Viera;ženský
môže;;môže;
dávať;;dávať;
človeku;mužský životný;človeku;mužský životný
životnú;ženský;životnú;ženský
istotu;ženský;istotu;ženský
“;;“;
,;;,;
mieni;;mieni;
profesor;mužský životný;profesor;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
.;;.;
Faktom;mužský neživotný;Faktom;mužský neživotný
je;;je;
,;;,;
že;;že;
náboženský;mužský neživotný;náboženský;mužský neživotný
fundamentalizmus;mužský neživotný;fundamentalizmus;mužský neživotný
prežíva;;prežíva;
svoju;ženský;svoju;ženský
regeneráciu;ženský;regeneráciu;ženský
.;;.;
“;;“;
Bavilo;stredný;Bavilo;stredný
ma;všeobecný;ma;všeobecný
písať;;písať;
kompozície;ženský;kompozície;ženský
a;;a;
na;;na;
vynikajúcom;stredný;vynikajúcom;stredný
skalickom;stredný;skalickom;stredný
gymnáziu;stredný;gymnáziu;stredný
boli;ženský;boli;ženský
veľmi;;veľmi;
dobré;ženský;dobré;ženský
podmienky;ženský;podmienky;ženský
pre;;pre;
kultúru;ženský;kultúru;ženský
.;;.;
Nevyhýbali;všeobecný;Nevyhýbali;všeobecný
sme;;sme;
sa;;sa;
ani;;ani;
politike;ženský;politike;ženský
.;;.;
Môj;mužský životný;Môj;mužský životný
otec;mužský životný;otec;mužský životný
po;;po;
jeho;mužský neživotný;jeho;mužský neživotný
rozpade;mužský neživotný;rozpade;mužský neživotný
niekoľko;stredný;niekoľko;stredný
týždňov;mužský neživotný;týždňov;mužský neživotný
nespal;mužský životný;nespal;mužský životný
.;;.;
.;;.;
.;;.;
.;;.;
.;;.;
.;;.;
MÔJ;mužský neživotný;MÔJ;mužský neživotný
PRIMÁRNY;mužský neživotný;PRIMÁRNY;mužský neživotný
ZÁUJEM;mužský neživotný;ZÁUJEM;mužský neživotný
BOLI;stredný;BOLI;stredný
HUMANIÓRA;stredný;HUMANIÓRA;stredný
.;;.;
Umožniť;;Umožniť;
jazykovedcovi;mužský životný;jazykovedcovi;mužský životný
rozhovoriť;;rozhovoriť;
sa;;sa;
o;;o;
systéme;mužský neživotný;systéme;mužský neživotný
v;;v;
jazyku;mužský neživotný;jazyku;mužský neživotný
,;;,;
prináša;;prináša;
zdanlivo;;zdanlivo;
nebezpečenstvo;stredný;nebezpečenstvo;stredný
,;;,;
že;;že;
sa;;sa;
vstúpi;;vstúpi;
do;;do;
nezaujímavého;mužský neživotný;nezaujímavého;mužský neživotný
a;;a;
nudného;mužský neživotný;nudného;mužský neživotný
sveta;mužský neživotný;sveta;mužský neživotný
.;;.;
„;;„;
Ypsilon;mužský neživotný;Ypsilon;mužský neživotný
ako;;ako;
hláska;ženský;hláska;ženský
nie;;nie;
je;;je;
funkčný;mužský neživotný;funkčný;mužský neživotný
a;;a;
v;;v;
slovenskom;mužský neživotný;slovenskom;mužský neživotný
jazyku;mužský neživotný;jazyku;mužský neživotný
takej;ženský;takej;ženský
hlásky;ženský;hlásky;ženský
niet;;niet;
.;;.;
Ale;;Ale;
takto;;takto;
sa;;sa;
hovorí;;hovorí;
v;;v;
Mikuláši;mužský neživotný;Mikuláši;mužský neživotný
!;;!;
Ukazuje;;Ukazuje;
sa;;sa;
teda;;teda;
,;;,;
že;;že;
tým;stredný;tým;stredný
stredoslovenským;stredný;stredoslovenským;stredný
nárečím;stredný;nárečím;stredný
,;;,;
ktorÉ;stredný;ktorÉ;stredný
Štúrovci;mužský životný;Štúrovci;mužský životný
povýšili;mužský životný;povýšili;mužský životný
na;;na;
spisovný;mužský neživotný;spisovný;mužský neživotný
JAZYK;mužský neživotný;JAZYK;mužský neživotný
,;;,;
bol;mužský neživotný;bol;mužský neživotný
prestížny;mužský neživotný;prestížny;mužský neživotný
liptovský;mužský neživotný;liptovský;mužský neživotný
mestský;mužský neživotný;mestský;mužský neživotný
jazyk;mužský neživotný;jazyk;mužský neživotný
.;;.;
Presvedčil;mužský životný;Presvedčil;mužský životný
Záborského;mužský životný;Záborského;mužský životný
,;;,;
že;;že;
správna;ženský;správna;ženský
slovenská;ženský;slovenská;ženský
výslovnosť;ženský;výslovnosť;ženský
je;;je;
„;;„;
ľist;;ľist;
“;;“;
.;;.;
V;;V;
lete;stredný;lete;stredný
1948;;1948;
v;;v;
Prahe;ženský;Prahe;ženský
zažiadal;mužský životný;zažiadal;mužský životný
o;;o;
zahraničné;stredný;zahraničné;stredný
štipendium;stredný;štipendium;stredný
.;;.;
VEĽMI;;VEĽMI;
KOMPLIKOVANOU;ženský;KOMPLIKOVANOU;ženský
ZHODOU;ženský;ZHODOU;ženský
OKOLNOSTÍ;ženský;OKOLNOSTÍ;ženský
HO;stredný;HO;stredný
PO;;PO;
ROKU;mužský neživotný;ROKU;mužský neživotný
dostal;mužský životný;dostal;mužský životný
a;;a;
odišiel;mužský životný;odišiel;mužský životný
;;;
ROK;mužský neživotný;ROK;mužský neživotný
do;;do;
Nórska;stredný;Nórska;stredný
.;;.;
Keď;;Keď;
sa;;sa;
začal;mužský neživotný;začal;mužský neživotný
semester;mužský neživotný;semester;mužský neživotný
