Slovo;Slovný druh;Slovo2;Slovný druh2
to;Zámeno;to;Zámeno
že;Spojka;že;Spojka
sa;Zámeno;sa;Zvratné zámeno
maďarské;Prídavné meno;maďarské;Prídavné meno
dá;Citoslovce;dá;Sloveso
používať;Sloveso;používať;Sloveso
v;Predložka;v;Predložka
oboch;Číslovka;oboch;Číslovka
týchto;Zámeno;týchto;Zámeno
významoch;Podstatné meno;významoch;Podstatné meno
To;Zámeno;To;Zámeno
malo;Príslovka;malo;Sloveso
obrovský;Prídavné meno;obrovský;Prídavné meno
význam;Podstatné meno;význam;Podstatné meno
v;Predložka;v;Predložka
druhej;Podstatné meno;druhej;Číslovka
polovici;Podstatné meno;polovici;Podstatné meno
storočia;Podstatné meno;storočia;Podstatné meno
keď;Spojka;keď;Spojka
maďarizácia;Podstatné meno;maďarizácia;Podstatné meno
reálne;Príslovka;reálne;Príslovka
ohrozovala;Sloveso;ohrozovala;Sloveso
samotnú;Prídavné meno;samotnú;Prídavné meno
existenciu;Podstatné meno;existenciu;Podstatné meno
slovenského;Prídavné meno;slovenského;Prídavné meno
národa;Podstatné meno;národa;Podstatné meno
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Mal;Skratka;Mal;Sloveso
som;Sloveso;som;Sloveso
veľké;Prídavné meno;veľké;Prídavné meno
potešenie;Podstatné meno;potešenie;Podstatné meno
z;Podstatné meno;z;Predložka
knižky;Podstatné meno;knižky;Podstatné meno
Antona;Podstatné meno;Antona;Podstatné meno
Skalica;Podstatné meno;Skalica;Podstatné meno
moja;Zámeno;moja;Zámeno
láska;Podstatné meno;láska;Podstatné meno
osud;Podstatné meno;osud;Podstatné meno
a;Spojka;a;Spojka
Jeho;Zámeno;Jeho;Zámeno
obaja;Číslovka;obaja;Číslovka
starší;Prídavné meno;starší;Prídavné meno
bratia;Podstatné meno;bratia;Podstatné meno
išli;Sloveso;išli;Sloveso
do;Citoslovce;do;Predložka
škôl;Podstatné meno;škôl;Podstatné meno
a;Spojka;a;Spojka
mal;Skratka;mal;Sloveso
prevziať;Sloveso;prevziať;Sloveso
obchod;Podstatné meno;obchod;Podstatné meno
Intenzívne;Príslovka;Intenzívne;Príslovka
sa;Zámeno;sa;Zvratné zámeno
pamätám;Sloveso;pamätám;Sloveso
na;Citoslovce;na;Predložka
prístavbu;Podstatné meno;prístavbu;Podstatné meno
javiska;Podstatné meno;javiska;Podstatné meno
k;Podstatné meno;k;Predložka
cirkevnej;Prídavné meno;cirkevnej;Prídavné meno
sieni;Podstatné meno;sieni;Podstatné meno
na;Citoslovce;na;Predložka
evanjelickej;Prídavné meno;evanjelickej;Prídavné meno
fare;Podstatné meno;fare;Podstatné meno
Potom;Spojka;Potom;Príslovka
prišiel;Sloveso;prišiel;Sloveso
koniec;Podstatné meno;koniec;Podstatné meno
vojny;Podstatné meno;vojny;Podstatné meno
bolo;Sloveso;bolo;Sloveso
obnovené;Prídavné meno;obnovené;Príčastie - Sloveso
Československo;Podstatné meno;Československo;Podstatné meno
začali;Sloveso;začali;Sloveso
sa;Zámeno;sa;Zvratné zámeno
celkom;Príslovka;celkom;Príslovka
iné;Prídavné meno;iné;Zámeno
pomery;Podstatné meno;pomery;Podstatné meno
Činnosť;Podstatné meno;Činnosť;Podstatné meno
nášho;Zámeno;nášho;Zámeno
združenia;Podstatné meno;združenia;Podstatné meno
zatisli;Sloveso;zatisli;Sloveso
do;Citoslovce;do;Predložka
pozadia;Podstatné meno;pozadia;Podstatné meno
iné;Prídavné meno;iné;Zámeno
potreby;Podstatné meno;potreby;Podstatné meno
To;Zámeno;To;Zámeno
sa;Zámeno;sa;Zvratné zámeno
menuje;Sloveso;menuje;Sloveso
iniciatívnosť;Podstatné meno;iniciatívnosť;Podstatné meno
a;Spojka;a;Spojka
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
ODCHODY;Podstatné meno;ODCHODY;Podstatné meno
A;Spojka;A;Spojka
návraty;Podstatné meno;návraty;Podstatné meno
ĽUBOMÍRA;Podstatné meno;ĽUBOMÍRA;Podstatné meno
I;Spojka;I;Značky
toho;Zámeno;toho;Zámeno
Slovensko;Podstatné meno;Slovensko;Podstatné meno
by;Spojka;by;Kondicionálová morféma
dnes;Príslovka;dnes;Príslovka
hovorí;Sloveso;hovorí;Sloveso
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
To;Zámeno;To;Zámeno
je;Sloveso;je;Sloveso
MOŽNO;Príslovka;MOŽNO;Častica
tá;Zámeno;tá;Zámeno
pozitívna;Prídavné meno;pozitívna;Prídavné meno
stránka;Podstatné meno;stránka;Podstatné meno
ROZDELENIA;Podstatné meno;ROZDELENIA;Podstatné meno
REPUBLIKY;Podstatné meno;REPUBLIKY;Podstatné meno
Negatívnych;Prídavné meno;Negatívnych;Prídavné meno
stránok;Podstatné meno;stránok;Podstatné meno
je;Sloveso;je;Sloveso
množstvo;Podstatné meno;množstvo;Podstatné meno
Nakoniec;Príslovka;Nakoniec;Častica
takisto;Zámeno;takisto;Zámeno
môže;Sloveso;môže;Sloveso
aj;Citoslovce;aj;Častica
Čech;Podstatné meno;Čech;Podstatné meno
čítať;Sloveso;čítať;Sloveso
slovenské;Prídavné meno;slovenské;Prídavné meno
keby;Spojka;keby;Spojka
chcel;Sloveso;chcel;Sloveso
oni;Zámeno;oni;Zámeno
však;Spojka;však;Spojka
tú;Zámeno;tú;Zámeno
potrebu;Podstatné meno;potrebu;Podstatné meno
V;Skratka;V;Predložka
ROVNAKEJ;Prídavné meno;ROVNAKEJ;Prídavné meno
MIERE;Podstatné meno;MIERE;Podstatné meno
Konkrétne;Príslovka;Konkrétne;Príslovka
je;Sloveso;je;Sloveso
to;Zámeno;to;Zámeno
obdobie;Podstatné meno;obdobie;Podstatné meno
od;Predložka;od;Predložka
roku;Podstatné meno;roku;Podstatné meno
do;Citoslovce;do;Predložka
roku;Podstatné meno;roku;Podstatné meno
Vtedy;Príslovka;Vtedy;Zámeno
sa;Zámeno;sa;Zvratné zámeno
naraz;Príslovka;naraz;Príslovka
ukázalo;Sloveso;ukázalo;Sloveso
že;Spojka;že;Spojka
komunistická;Prídavné meno;komunistická;Prídavné meno
strana;Podstatné meno;strana;Podstatné meno
s;Podstatné meno;s;Predložka
jej;Zámeno;jej;Zámeno
zločineckými;Prídavné meno;zločineckými;Prídavné meno
spôsobmi;Podstatné meno;spôsobmi;Podstatné meno
skrachovala;Sloveso;skrachovala;Sloveso
Vtedy;Príslovka;Vtedy;Zámeno
vyšla;Sloveso;vyšla;Sloveso
moja;Zámeno;moja;Zámeno
KNIHA;Podstatné meno;KNIHA;Podstatné meno
spisovnej;Prídavné meno;spisovnej;Prídavné meno
ruštiny;Podstatné meno;ruštiny;Podstatné meno
ktorá;Zámeno;ktorá;Zámeno
sa;Zámeno;sa;Zvratné zámeno
stala;Sloveso;stala;Sloveso
celoštátnou;Prídavné meno;celoštátnou;Prídavné meno
univerzitnou;Prídavné meno;univerzitnou;Prídavné meno
učebnicou;Podstatné meno;učebnicou;Podstatné meno
ruskej;Prídavné meno;ruskej;Prídavné meno
TEORETICKEJ;Prídavné meno;TEORETICKEJ;Prídavné meno
morfológie;Podstatné meno;morfológie;Podstatné meno
Uvedomovali;Sloveso;Uvedomovali;Sloveso
sme;Sloveso;sme;Sloveso
si;Zámeno;si;Zvratné zámeno
že;Spojka;že;Spojka
sa;Zámeno;sa;Zvratné zámeno
môže;Sloveso;môže;Sloveso
Dovtedy;Zámeno;Dovtedy;Zámeno
to;Zámeno;to;Zámeno
však;Spojka;však;Častica
bolo;Sloveso;bolo;Sloveso
obdobie;Podstatné meno;obdobie;Podstatné meno
veľkej;Prídavné meno;veľkej;Prídavné meno
nádeje;Podstatné meno;nádeje;Podstatné meno
Ja;Zámeno;Ja;Zámeno
ich;Zámeno;ich;Zámeno
poznám;Sloveso;poznám;Sloveso
A;Spojka;A;Spojka
mal;Skratka;mal;Sloveso
pravdu;Podstatné meno;pravdu;Podstatné meno
Sklamanie;Podstatné meno;Sklamanie;Podstatné meno
po;Predložka;po;Predložka
vojne;Podstatné meno;vojne;Podstatné meno
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
do;Citoslovce;do;Predložka
komunistickej;Prídavné meno;komunistickej;Prídavné meno
strany;Podstatné meno;strany;Podstatné meno
Piateho;Číslovka;Piateho;Prídavné meno
mája;Podstatné meno;mája;Podstatné meno
sa;Zámeno;sa;Zvratné zámeno
začalo;Sloveso;začalo;Sloveso
Pražské;Prídavné meno;Pražské;Prídavné meno
povstanie;Podstatné meno;povstanie;Podstatné meno
a;Spojka;a;Spojka
z;Podstatné meno;z;Predložka
rádia;Podstatné meno;rádia;Podstatné meno
sa;Zámeno;sa;Zvratné zámeno
ozývala;Sloveso;ozývala;Sloveso
výzva;Podstatné meno;výzva;Podstatné meno
o;Citoslovce;o;Predložka
pomoc;Citoslovce;pomoc;Podstatné meno
To;Zámeno;To;Zámeno
bola;Podstatné meno;bola;Sloveso
tá;Zámeno;tá;Zámeno
zločinecká;Prídavné meno;zločinecká;Prídavné meno
časť;Podstatné meno;časť;Podstatné meno
komunistickej;Prídavné meno;komunistickej;Prídavné meno
strany;Podstatné meno;strany;Podstatné meno
Môj;Zámeno;Môj;Zámeno
otec;Podstatné meno;otec;Podstatné meno
bol;Podstatné meno;bol;Sloveso
Nedávno;Príslovka;Nedávno;Príslovka
som;Sloveso;som;Sloveso
odovzdal;Sloveso;odovzdal;Sloveso
do;Citoslovce;do;Predložka
skalického;Prídavné meno;skalického;Prídavné meno
Záhorského;Prídavné meno;Záhorského;Prídavné meno
múzea;Podstatné meno;múzea;Podstatné meno
otcove;Prídavné meno;otcove;Prídavné meno
denníky;Podstatné meno;denníky;Podstatné meno
Je;Sloveso;Je;Sloveso
to;Zámeno;to;Zámeno
cenná;Prídavné meno;cenná;Prídavné meno
a;Spojka;a;Spojka
zaujímavá;Prídavné meno;zaujímavá;Prídavné meno
pamiatka;Podstatné meno;pamiatka;Podstatné meno
o;Citoslovce;o;Predložka
storočí;Podstatné meno;storočí;Podstatné meno
Polovicu;Podstatné meno;Polovicu;Podstatné meno
zo;Častice;zo;Predložka
všetkého;Zámeno;všetkého;Zámeno
čo;Zámeno;čo;Zámeno
vo;Predložka;vo;Predložka
mne;Zámeno;mne;Zámeno
je;Sloveso;je;Sloveso
mám;Sloveso;mám;Sloveso
z;Podstatné meno;z;Predložka
domu;Podstatné meno;domu;Podstatné meno
z;Podstatné meno;z;Predložka
toho;Zámeno;toho;Zámeno
čo;Zámeno;čo;Zámeno
sa;Zámeno;sa;Zvratné zámeno
doma;Príslovka;doma;Príslovka
povedalo;Sloveso;povedalo;Sloveso
napríklad;Častice;napríklad;Častica
pri;Predložka;pri;Predložka
stole;Podstatné meno;stole;Podstatné meno
Otec;Podstatné meno;Otec;Podstatné meno
veľa;Príslovka;veľa;Príslovka
rozprával;Sloveso;rozprával;Sloveso
o;Citoslovce;o;Predložka
svojom;Zámeno;svojom;Zámeno
literárnovednom;Prídavné meno;literárnovednom;Prídavné meno
výskume;Podstatné meno;výskume;Podstatné meno
ale;Spojka;ale;Spojka
sme;Sloveso;sme;Sloveso
sa;Zámeno;sa;Zvratné zámeno
samozrejme;Príslovka;samozrejme;Častica
ani;Spojka;ani;Častica
súčasným;Prídavné meno;súčasným;Prídavné meno
problémom;Podstatné meno;problémom;Podstatné meno
Vtedy;Príslovka;Vtedy;Zámeno
mi;Zámeno;mi;Zámeno
utkveli;Sloveso;utkveli;Sloveso
v;Predložka;v;Predložka
pamäti;Podstatné meno;pamäti;Podstatné meno
dátumy;Podstatné meno;dátumy;Podstatné meno
mená;Podstatné meno;mená;Podstatné meno
i;Spojka;i;Spojka
dôležité;Prídavné meno;dôležité;Prídavné meno
udalosti;Podstatné meno;udalosti;Podstatné meno
z;Podstatné meno;z;Predložka
minulosti;Podstatné meno;minulosti;Podstatné meno
medzi;Predložka;medzi;Predložka
ktoré;Zámeno;ktoré;Zámeno
bolo;Sloveso;bolo;Sloveso
neskôr;Príslovka;neskôr;Príslovka
ľahšie;Príslovka;ľahšie;Príslovka
dokladať;Sloveso;dokladať;Sloveso
nové;Prídavné meno;nové;Prídavné meno
dátumy;Podstatné meno;dátumy;Podstatné meno
mená;Podstatné meno;mená;Podstatné meno
i;Spojka;i;Spojka
vzťahy;Podstatné meno;vzťahy;Podstatné meno
Mama;Podstatné meno;Mama;Podstatné meno
pochádzala;Sloveso;pochádzala;Sloveso
z;Podstatné meno;z;Predložka
rodiny;Podstatné meno;rodiny;Podstatné meno
s;Podstatné meno;s;Predložka
generáciami;Podstatné meno;generáciami;Podstatné meno
evanjelických;Prídavné meno;evanjelických;Prídavné meno
farárov;Podstatné meno;farárov;Podstatné meno
Vzdelanecké;Prídavné meno;Vzdelanecké;Prídavné meno
pozadie;Podstatné meno;pozadie;Podstatné meno
rodiny;Podstatné meno;rodiny;Podstatné meno
malo;Príslovka;malo;Sloveso
pre;Predložka;pre;Predložka
moju;Zámeno;moju;Zámeno
budúcnosť;Podstatné meno;budúcnosť;Podstatné meno
VEĽMI;Príslovka;VEĽMI;Príslovka
DÔLEŽITÚ;Prídavné meno;DÔLEŽITÚ;Prídavné meno
úlohu;Podstatné meno;úlohu;Podstatné meno
Rešpektovali;Sloveso;Rešpektovali;Sloveso
ste;Číslovka;ste;Sloveso
otca;Podstatné meno;otca;Podstatné meno
bezvýhradne;Príslovka;bezvýhradne;Príslovka
Viera;Podstatné meno;Viera;Podstatné meno
môže;Sloveso;môže;Sloveso
dávať;Sloveso;dávať;Sloveso
človeku;Podstatné meno;človeku;Podstatné meno
životnú;Prídavné meno;životnú;Prídavné meno
istotu;Podstatné meno;istotu;Podstatné meno
mieni;Sloveso;mieni;Sloveso
profesor;Podstatné meno;profesor;Podstatné meno
Faktom;Podstatné meno;Faktom;Podstatné meno
je;Sloveso;je;Sloveso
že;Spojka;že;Spojka
náboženský;Prídavné meno;náboženský;Prídavné meno
fundamentalizmus;Podstatné meno;fundamentalizmus;Podstatné meno
prežíva;Sloveso;prežíva;Sloveso
svoju;Zámeno;svoju;Zámeno
regeneráciu;Podstatné meno;regeneráciu;Podstatné meno
Bavilo;Sloveso;Bavilo;Sloveso
ma;Zámeno;ma;Zámeno
písať;Sloveso;písať;Sloveso
kompozície;Podstatné meno;kompozície;Podstatné meno
a;Spojka;a;Spojka
na;Citoslovce;na;Predložka
vynikajúcom;Prídavné meno;vynikajúcom;Príčastie - Sloveso
skalickom;Prídavné meno;skalickom;Prídavné meno
gymnáziu;Podstatné meno;gymnáziu;Podstatné meno
boli;Sloveso;boli;Sloveso
veľmi;Príslovka;veľmi;Príslovka
