Slovo;Slovný druh;Slovo2;Slovný druh2
odlišovať;Sloveso;odlišovať;Sloveso
od;Predložka;od;Predložka
všeobecného;Prídavné meno;všeobecného;Prídavné meno
názvu;Podstatné meno;názvu;Podstatné meno
slavi;Podstatné meno;slavi;Citový výraz
a;Spojka;a;Spojka
vytvoril;Sloveso;vytvoril;Sloveso
nové;Prídavné meno;nové;Prídavné meno
slovo;Podstatné meno;slovo;Podstatné meno
slovacii;Príčastie - Sloveso;slovacii;Citový výraz
.;Interpunkcia;.;Interpunkcia
Druhá;Číslovka;Druhá;Číslovka
Doležalova;Prídavné meno;Doležalova;Prídavné meno
inovácia;Podstatné meno;inovácia;Podstatné meno
je;Sloveso;je;Sloveso
v;Predložka;v;Predložka
gramatickom;Prídavné meno;gramatickom;Prídavné meno
popise;Podstatné meno;popise;Podstatné meno
tohto;Zámeno;tohto;Zámeno
jazyka;Podstatné meno;jazyka;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Obsiahly;Prídavné meno;Obsiahly;Prídavné meno
vlastivedný;Prídavné meno;vlastivedný;Prídavné meno
úvod;Podstatné meno;úvod;Podstatné meno
(;Interpunkcia;(;Interpunkcia
Praefatio;Citový výraz;Praefatio;Citový výraz
);Interpunkcia;);Interpunkcia
k;Predložka;k;Predložka
Doležalovej;Prídavné meno;Doležalovej;Prídavné meno
gramatike;Podstatné meno;gramatike;Podstatné meno
napísal;Sloveso;napísal;Sloveso
o;Predložka;o;Predložka
generáciu;Podstatné meno;generáciu;Podstatné meno
starší;Prídavné meno;starší;Prídavné meno
Matej;Podstatné meno;Matej;Podstatné meno
Bel;Podstatné meno;Bel;Podstatné meno
.;Interpunkcia;.;Interpunkcia
V;Predložka;V;Predložka
každom;Zámeno;každom;Zámeno
prípade;Podstatné meno;prípade;Podstatné meno
aj;Častica;aj;Častica
text;Podstatné meno;text;Podstatné meno
jeho;Zámeno;jeho;Zámeno
úvodu;Podstatné meno;úvodu;Podstatné meno
dal;Sloveso;dal;Sloveso
Doležalovej;Prídavné meno;Doležalovej;Prídavné meno
gramatike;Podstatné meno;gramatike;Podstatné meno
punc;Podstatné meno;punc;Podstatné meno
najautoritatívnejšieho;Prídavné meno;najautoritatívnejšieho;Prídavné meno
zdroja;Podstatné meno;zdroja;Podstatné meno
poznania;Podstatné meno;poznania;Podstatné meno
vtedajšieho;Prídavné meno;vtedajšieho;Prídavné meno
spisovného;Prídavné meno;spisovného;Prídavné meno
jazyka;Podstatné meno;jazyka;Podstatné meno
Čechov;Podstatné meno;Čechov;Podstatné meno
i;Spojka;i;Spojka
Slovákov;Podstatné meno;Slovákov;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Táto;Zámeno;Táto;Zámeno
kralická;Prídavné meno;kralická;Prídavné meno
norma;Podstatné meno;norma;Podstatné meno
je;Sloveso;je;Sloveso
dodnes;Príslovka;dodnes;Príslovka
základom;Podstatné meno;základom;Podstatné meno
spisovnej;Prídavné meno;spisovnej;Prídavné meno
češtiny;Podstatné meno;češtiny;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Štúrovský;Prídavné meno;Štúrovský;Prídavné meno
nový;Prídavné meno;nový;Prídavné meno
slovenský;Prídavné meno;slovenský;Prídavné meno
spisovný;Prídavné meno;spisovný;Prídavné meno
jazyk;Podstatné meno;jazyk;Podstatné meno
má;Sloveso;má;Sloveso
niekoľko;Zámeno;niekoľko;Zámeno
vrstiev;Podstatné meno;vrstiev;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Radikálnou;Prídavné meno;Radikálnou;Prídavné meno
inováciou;Podstatné meno;inováciou;Podstatné meno
je;Sloveso;je;Sloveso
hláskoslovie;Podstatné meno;hláskoslovie;Podstatné meno
a;Spojka;a;Spojka
tvaroslovie;Podstatné meno;tvaroslovie;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Ďurovič;Podstatné meno;Ďurovič;Podstatné meno
Profesor;Podstatné meno;Profesor;Podstatné meno
Eugen;Podstatné meno;Eugen;Podstatné meno
Jóna;Podstatné meno;Jóna;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ktorý;Zámeno;ktorý;Zámeno
sa;Zvratné zámeno;sa;Zvratné zámeno
dejinami;Podstatné meno;dejinami;Podstatné meno
spisovnej;Prídavné meno;spisovnej;Prídavné meno
slovenčiny;Podstatné meno;slovenčiny;Podstatné meno
dlhé;Prídavné meno;dlhé;Prídavné meno
roky;Podstatné meno;roky;Podstatné meno
zaoberal;Sloveso;zaoberal;Sloveso
,;Interpunkcia;,;Interpunkcia
si;Zvratné zámeno;si;Zvratné zámeno
uvedomil;Sloveso;uvedomil;Sloveso
potrebu;Podstatné meno;potrebu;Podstatné meno
dať;Sloveso;dať;Sloveso
do;Predložka;do;Predložka
rúk;Podstatné meno;rúk;Podstatné meno
slovenskej;Prídavné meno;slovenskej;Prídavné meno
i;Spojka;i;Spojka
medzinárodnej;Prídavné meno;medzinárodnej;Prídavné meno
vedeckej;Prídavné meno;vedeckej;Prídavné meno
verejnosti;Podstatné meno;verejnosti;Podstatné meno
dostatočne;Príslovka;dostatočne;Príslovka
prístupný;Prídavné meno;prístupný;Prídavné meno
skutočný;Prídavné meno;skutočný;Prídavné meno
text;Podstatné meno;text;Podstatné meno
tohto;Zámeno;tohto;Zámeno
základného;Prídavné meno;základného;Prídavné meno
diela;Podstatné meno;diela;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Ďurovič;Podstatné meno;Ďurovič;Podstatné meno
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Ďurovič;Podstatné meno;Ďurovič;Podstatné meno
profesor;Podstatné meno;profesor;Podstatné meno
slovanských;Prídavné meno;slovanských;Prídavné meno
jazykov;Podstatné meno;jazykov;Podstatné meno
Česko;Neurčiteľný slovný druh;Česko;Neurčiteľný slovný druh
-;Interpunkcia;-;Interpunkcia
slovenské;Prídavné meno;slovenské;Prídavné meno
kultúrne;Prídavné meno;kultúrne;Prídavné meno
kontinuum;Podstatné meno;kontinuum;Podstatné meno
Ku;Predložka;Ku;Predložka
konfliktom;Podstatné meno;konfliktom;Podstatné meno
a;Spojka;a;Spojka
nedorozumeniam;Podstatné meno;nedorozumeniam;Podstatné meno
výrazne;Príslovka;výrazne;Príslovka
prispelo;Sloveso;prispelo;Sloveso
aj;Častica;aj;Častica
to;Zámeno;to;Zámeno
,;Interpunkcia;,;Interpunkcia
že;Spojka;že;Spojka
sa;Zvratné zámeno;sa;Zvratné zámeno
maďarské;Prídavné meno;maďarské;Prídavné meno
„;Interpunkcia;„;Interpunkcia
nemzet;Podstatné meno;nemzet;Neurčiteľný slovný druh
“;Interpunkcia;“;Interpunkcia
dá;Sloveso;dá;Sloveso
používať;Sloveso;používať;Sloveso
v;Predložka;v;Predložka
oboch;Číslovka;oboch;Číslovka
týchto;Zámeno;týchto;Zámeno
významoch;Podstatné meno;významoch;Podstatné meno
.;Interpunkcia;.;Interpunkcia
To;Zámeno;To;Zámeno
malo;Sloveso;malo;Sloveso
obrovský;Prídavné meno;obrovský;Prídavné meno
národnozáchovný;Prídavné meno;národnozáchovný;Prídavné meno
význam;Podstatné meno;význam;Podstatné meno
v;Predložka;v;Predložka
druhej;Číslovka;druhej;Číslovka
polovici;Podstatné meno;polovici;Podstatné meno
XIX;Číslica;XIX;Číslica
.;Interpunkcia;.;Interpunkcia
storočia;Podstatné meno;storočia;Podstatné meno
,;Interpunkcia;,;Interpunkcia
keď;Spojka;keď;Spojka
maďarizácia;Podstatné meno;maďarizácia;Podstatné meno
reálne;Príslovka;reálne;Príslovka
ohrozovala;Sloveso;ohrozovala;Sloveso
samotnú;Prídavné meno;samotnú;Prídavné meno
existenciu;Podstatné meno;existenciu;Podstatné meno
slovenského;Prídavné meno;slovenského;Prídavné meno
národa;Podstatné meno;národa;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Ďurovič;Podstatné meno;Ďurovič;Podstatné meno
Mal;Sloveso;Mal;Sloveso
som;Sloveso;som;Sloveso
veľké;Prídavné meno;veľké;Prídavné meno
potešenie;Podstatné meno;potešenie;Podstatné meno
z;Predložka;z;Predložka
knižky;Podstatné meno;knižky;Podstatné meno
Antona;Podstatné meno;Antona;Podstatné meno
Dinku;Podstatné meno;Dinku;Podstatné meno
Skalica;Podstatné meno;Skalica;Podstatné meno
–;Interpunkcia;–;Interpunkcia
moja;Zámeno;moja;Zámeno
láska;Podstatné meno;láska;Podstatné meno
,;Interpunkcia;,;Interpunkcia
osud;Podstatné meno;osud;Podstatné meno
a;Spojka;a;Spojka
poťešeňí;Podstatné meno;poťešeňí;Neurčiteľný slovný druh
.;Interpunkcia;.;Interpunkcia
Jeho;Zámeno;Jeho;Zámeno
obaja;Číslovka;obaja;Číslovka
starší;Prídavné meno;starší;Prídavné meno
bratia;Podstatné meno;bratia;Podstatné meno
išli;Sloveso;išli;Sloveso
do;Predložka;do;Predložka
škôl;Podstatné meno;škôl;Podstatné meno
a;Spojka;a;Spojka
Ferda;Podstatné meno;Ferda;Podstatné meno
mal;Sloveso;mal;Sloveso
prevziať;Sloveso;prevziať;Sloveso
obchod;Podstatné meno;obchod;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Intenzívne;Príslovka;Intenzívne;Príslovka
sa;Zvratné zámeno;sa;Zvratné zámeno
pamätám;Sloveso;pamätám;Sloveso
na;Predložka;na;Predložka
prístavbu;Podstatné meno;prístavbu;Podstatné meno
javiska;Podstatné meno;javiska;Podstatné meno
k;Predložka;k;Predložka
cirkevnej;Prídavné meno;cirkevnej;Prídavné meno
sieni;Podstatné meno;sieni;Podstatné meno
na;Predložka;na;Predložka
evanjelickej;Prídavné meno;evanjelickej;Prídavné meno
fare;Podstatné meno;fare;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Potom;Príslovka;Potom;Príslovka
prišiel;Sloveso;prišiel;Sloveso
koniec;Podstatné meno;koniec;Podstatné meno
vojny;Podstatné meno;vojny;Podstatné meno
,;Interpunkcia;,;Interpunkcia
bolo;Sloveso;bolo;Sloveso
obnovené;Príčastie - Sloveso;obnovené;Príčastie - Sloveso
Československo;Podstatné meno;Československo;Podstatné meno
,;Interpunkcia;,;Interpunkcia
začali;Sloveso;začali;Sloveso
sa;Zvratné zámeno;sa;Zvratné zámeno
celkom;Príslovka;celkom;Príslovka
iné;Zámeno;iné;Zámeno
pomery;Podstatné meno;pomery;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Činnosť;Podstatné meno;Činnosť;Podstatné meno
nášho;Zámeno;nášho;Zámeno
združenia;Podstatné meno;združenia;Podstatné meno
zatisli;Sloveso;zatisli;Sloveso
do;Predložka;do;Predložka
pozadia;Podstatné meno;pozadia;Podstatné meno
iné;Zámeno;iné;Zámeno
potreby;Podstatné meno;potreby;Podstatné meno
.;Interpunkcia;.;Interpunkcia
To;Zámeno;To;Zámeno
sa;Zvratné zámeno;sa;Zvratné zámeno
menuje;Sloveso;menuje;Sloveso
iniciatívnosť;Podstatné meno;iniciatívnosť;Podstatné meno
a;Spojka;a;Spojka
innovatívnosť;Podstatné meno;innovatívnosť;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Ďurovič;Podstatné meno;Ďurovič;Podstatné meno
ODCHODY;Podstatné meno;ODCHODY;Podstatné meno
A;Spojka;A;Spojka
návraty;Podstatné meno;návraty;Podstatné meno
ĽUBOMÍRA;Podstatné meno;ĽUBOMÍRA;Podstatné meno
Ďuroviča;Podstatné meno;Ďuroviča;Podstatné meno
(;Interpunkcia;(;Interpunkcia
I;Číslica;I;Značky
.;Interpunkcia;.;Interpunkcia
);Interpunkcia;);Interpunkcia
„;Interpunkcia;„;Interpunkcia
Nebyť;Sloveso;Nebyť;Sloveso
toho;Zámeno;toho;Zámeno
,;Interpunkcia;,;Interpunkcia
Slovensko;Podstatné meno;Slovensko;Podstatné meno
by;Kondicionálová morféma;by;Kondicionálová morféma
dnes;Príslovka;dnes;Príslovka
neexistovalo;Sloveso;neexistovalo;Sloveso
,;Interpunkcia;,;Interpunkcia
“;Interpunkcia;“;Interpunkcia
hovorí;Sloveso;hovorí;Sloveso
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Ďurovič;Podstatné meno;Ďurovič;Podstatné meno
.;Interpunkcia;.;Interpunkcia
To;Zámeno;To;Zámeno
je;Sloveso;je;Sloveso
MOŽNO;Častica;MOŽNO;Častica
tá;Zámeno;tá;Zámeno
pozitívna;Prídavné meno;pozitívna;Prídavné meno
stránka;Podstatné meno;stránka;Podstatné meno
ROZDELENIA;Podstatné meno;ROZDELENIA;Podstatné meno
REPUBLIKY;Podstatné meno;REPUBLIKY;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Negatívnych;Prídavné meno;Negatívnych;Prídavné meno
stránok;Podstatné meno;stránok;Podstatné meno
je;Sloveso;je;Sloveso
množstvo;Podstatné meno;množstvo;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Nakoniec;Príslovka;Nakoniec;Častica
,;Interpunkcia;,;Interpunkcia
takisto;Zámeno;takisto;Zámeno
môže;Sloveso;môže;Sloveso
aj;Častica;aj;Častica
Čech;Podstatné meno;Čech;Podstatné meno
čítať;Sloveso;čítať;Sloveso
slovenské;Prídavné meno;slovenské;Prídavné meno
,;Interpunkcia;,;Interpunkcia
keby;Spojka;keby;Spojka
chcel;Sloveso;chcel;Sloveso
,;Interpunkcia;,;Interpunkcia
oni;Zámeno;oni;Zámeno
však;Častica;však;Spojka
tú;Zámeno;tú;Zámeno
potrebu;Podstatné meno;potrebu;Podstatné meno
V;Predložka;V;Predložka
ROVNAKEJ;Prídavné meno;ROVNAKEJ;Prídavné meno
MIERE;Podstatné meno;MIERE;Podstatné meno
nemajú;Sloveso;nemajú;Sloveso
.;Interpunkcia;.;Interpunkcia
“;Interpunkcia;“;Interpunkcia
„;Interpunkcia;„;Interpunkcia
Konkrétne;Prídavné meno;Konkrétne;Príslovka
je;Sloveso;je;Sloveso
to;Zámeno;to;Zámeno
obdobie;Podstatné meno;obdobie;Podstatné meno
od;Predložka;od;Predložka
roku;Podstatné meno;roku;Podstatné meno
1963;Číslica;1963;Číslica
do;Predložka;do;Predložka
roku;Podstatné meno;roku;Podstatné meno
1968;Číslica;1968;Číslica
.;Interpunkcia;.;Interpunkcia
Vtedy;Zámeno;Vtedy;Zámeno
sa;Zvratné zámeno;sa;Zvratné zámeno
naraz;Príslovka;naraz;Príslovka
ukázalo;Sloveso;ukázalo;Sloveso
,;Interpunkcia;,;Interpunkcia
že;Spojka;že;Spojka
komunistická;Prídavné meno;komunistická;Prídavné meno
strana;Podstatné meno;strana;Podstatné meno
s;Predložka;s;Predložka
jej;Zámeno;jej;Zámeno
zločineckými;Prídavné meno;zločineckými;Prídavné meno
spôsobmi;Podstatné meno;spôsobmi;Podstatné meno
skrachovala;Sloveso;skrachovala;Sloveso
.;Interpunkcia;.;Interpunkcia
Vtedy;Zámeno;Vtedy;Zámeno
vyšla;Sloveso;vyšla;Sloveso
moja;Zámeno;moja;Zámeno
KNIHA;Podstatné meno;KNIHA;Podstatné meno
Paradigmatika;Podstatné meno;Paradigmatika;Podstatné meno
spisovnej;Prídavné meno;spisovnej;Prídavné meno
ruštiny;Podstatné meno;ruštiny;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ktorá;Zámeno;ktorá;Zámeno
sa;Zvratné zámeno;sa;Zvratné zámeno
stala;Sloveso;stala;Sloveso
celoštátnou;Prídavné meno;celoštátnou;Prídavné meno
univerzitnou;Prídavné meno;univerzitnou;Prídavné meno
učebnicou;Podstatné meno;učebnicou;Podstatné meno
ruskej;Prídavné meno;ruskej;Prídavné meno
TEORETICKEJ;Prídavné meno;TEORETICKEJ;Prídavné meno
morfológie;Podstatné meno;morfológie;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Uvedomovali;Sloveso;Uvedomovali;Sloveso
sme;Sloveso;sme;Sloveso
si;Zvratné zámeno;si;Zvratné zámeno
,;Interpunkcia;,;Interpunkcia
že;Spojka;že;Spojka
„;Interpunkcia;„;Interpunkcia
sa;Zvratné zámeno;sa;Zvratné zámeno
môže;Sloveso;môže;Sloveso
“;Interpunkcia;“;Interpunkcia
.;Interpunkcia;.;Interpunkcia
Dovtedy;Zámeno;Dovtedy;Zámeno
to;Zámeno;to;Zámeno
však;Častica;však;Častica
bolo;Sloveso;bolo;Sloveso
obdobie;Podstatné meno;obdobie;Podstatné meno
veľkej;Prídavné meno;veľkej;Prídavné meno
nádeje;Podstatné meno;nádeje;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Ja;Zámeno;Ja;Zámeno
ich;Zámeno;ich;Zámeno
poznám;Sloveso;poznám;Sloveso
.;Interpunkcia;.;Interpunkcia
A;Spojka;A;Spojka
mal;Sloveso;mal;Sloveso
pravdu;Podstatné meno;pravdu;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Sklamanie;Podstatné meno;Sklamanie;Podstatné meno
po;Predložka;po;Predložka
vojne;Podstatné meno;vojne;Podstatné meno
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Ďurovič;Podstatné meno;Ďurovič;Podstatné meno
do;Predložka;do;Predložka
komunistickej;Prídavné meno;komunistickej;Prídavné meno
